Title,Description,ShortDetails,abstract,email,fullURL,source,year,key,use,pdfURL
DeepBound: Accurate Identification of Transcript Boundaries via Deep Convolutional Neural Fields,"Mingfu Shao, Jianzhu Ma, Sheng Wang",Now published in Bioinformatics. 2017,"Motivation: Reconstructing the full-length expressed transcripts (a.k.a. the transcript assembly problem) from the short sequencing reads produced by RNA-seq protocol plays a central role in identifying novel genes and transcripts as well as in studying gene expressions and gene functions. A crucial step in transcript assembly is to accurately determine the splicing junctions and boundaries of the expressed transcripts from the reads alignment. In contrast to the splicing junctions that can be efficiently detected from spliced reads, the problem of identifying boundaries remains open and challenging, due to the fact that the signal related to boundaries is noisy and weak.

Results: We present DeepBound, an effective approach to identify boundaries of expressed transcripts from RNA-seq reads alignment. In its core DeepBound employs deep convolutional neural fields to learn the hidden distributions and patterns of boundaries. To accurately model the transition probabilities and to solve the label-imbalance problem, we novelly incorporate the AUC (area under the curve) score into the optimizing objective function. To address the issue that deep probabilistic graphical models requires large number of labeled training samples, we propose to use simulated RNA-seq datasets to train our model. Through extensive experimental studies on both simulation datasets of two species and biological datasets, we show that DeepBound consistently and significantly outperforms the two existing methods. 

Availability: DeepBound is freely available at https://github.com/realbigws/DeepBound. 

Contact: mingfu.shao@cs.cmu.edu, realbigws@gmail.com","['mingfu.shao@cs.cmu.edu', 'realbigws@gmail.com', 'journals.permissions@oup.com']",http://www.biorxiv.org/content/early/2017/04/07/125229,biorxiv,2017,0ddeb97c-2e45-4bc7-98da-635caebd107d,1,http://www.biorxiv.org/content/early/2017/04/07/125229.full.pdf
A Model Of Plasticity-Dependent Network Activity In Rodent Hippocampus During Exploration Of Novel Environments,"Panagiota Theodoni, Bernat Rovira, Alex Roxin",Retrieved from bioRxiv. 2017,"Place cells of the rodent hippocampus fire action potentials when the animal traverses a particular spatial location in a given environment. Therefore, for any given trajectory one will observe a repeatable sequence of place cell activations as the animal explores. Interestingly, when the animal is quiescent or sleeping, one can observe similar sequences of activation, although at a highly compressed rate, known as “replays”. It is hypothesized that this replay underlies the process of memory consolidation whereby memories are “transferred” from hippocampus to cortex. However, it remains unclear how the memory of a particular environment is actually encoded in the place cell activity and what the mechanism for replay is. Here we study how plasticity during spatial exploration shapes the patterns of synaptic connectivity in model networks of place cells. Specifically, we show how plasticity leads to the formation of attracting manifolds: patterns of activity which represent the spatial environment learned. These states become spontaneously active when the animal is quiescent, reproducing the phenomenology of replays. Interestingly, the attractors are formed most rapidly when place cell activity is modulated by an ongoing oscillation. The optimal oscillation frequency can be calculated analytically, is directly related to the plasticity rule, and for experimentally determined values of the plasticity window in rodent slices gives values in the theta range. A major prediction of these model is that the pairwise correlation of place cells which encode for neighboring locations should increase during initial exploration, leading up to the critical transition. We find such an increase in a population of simultaneously recorded CA1 pyramidal cells from a rat exploring a novel track. Furthermore, in a rat in which hippocampal theta is reduced through inactivition of the medial septum we find no such increase. This is consistent with the model, which predicts orders of magnitude lower learning rates when theta is absent.",[],http://www.biorxiv.org/content/early/2017/04/06/118489,biorxiv,2017,93e19724-455b-4fc3-a9b9-c64566b19993,1,http://www.biorxiv.org/content/early/2017/04/06/118489.full.pdf
High accuracy label-free classification of kinetic cell states from holographic cytometry,"Miroslav Hejna, Aparna Jorapur, Jun S. Song, Robert L. Judson",Retrieved from bioRxiv. 2017,"Digital holographic microscopy permits live and label-free visualization of adherent cells. Here we report the application of this approach for high accuracy kinetic quantitative cytometry. We identify twenty-six label-free optical and morphological features that are biologically independent. When used as a basis for machine learning, these features allow blind single cell classification with up to 95% accuracy. We present methods to control for inherent holographic noise, thereby establishing a set of reliable quantitative features. Together, these contributions permit continuous digital holographic cytometry for three or more days. Applying our approach to human melanoma cells treated with a panel of cancer therapeutics, we can track the response of each cell, simultaneously classifying multiple behaviors such as cell cycle length, motility, apoptosis, senescence, and heterogeneity of response to each therapeutic. Importantly, we demonstrate relationships between these phenotypes over time. This work thus provides an experimental and computational roadmap for low cost live-cell imaging and kinetic classification of heterogeneous adherent cell populations.","['songj@illinois.edu', 'robert.judson@ucsf.edu']",http://www.biorxiv.org/content/early/2017/04/14/127449,biorxiv,2017,64ef6b6b-c202-4429-a49c-ccbf47d52a37,1,http://www.biorxiv.org/content/early/2017/04/14/127449.full.pdf
Generators and connectivity of the early auditory evoked gamma band response.,"Nenad Polomac, Gregor Leicht, Guido Nolte, Christina Andreou, Till R. Schneider, Saskia Steinmann, Andreas K. Engel, Christoph Mulert",Now published in Brain Topography. 2015,"Background: High frequency oscillations in the gamma range are known to be involved in early stages of auditory information processing in terms of synchronization of brain regions, e.g., in cognitive functions. It has been shown using EEG source localisation, as well as simultaneously recorded EEG-fMRI, that the auditory evoked gamma-band response (aeGBR) is modulated by attention. In addition to auditory cortex activity a dorsal anterior cingulate cortex (dACC) generator could be involved. In the present study we investigated aeGBR magnetic fields using magnetoencephalography (MEG). We aimed to localize the aeGBR sources and its connectivity features in relation to mental effort. 
Methods: We investigated the aeGBR magnetic fields in 13 healthy participants using a 275-channel CTF-MEG system. The experimental paradigms were two auditory choice reaction tasks with different difficulties and demands for mental effort. We performed source localization with eLORETA and calculated the aeGBR lagged phase synchronization between bilateral auditory cortices and frontal midline structures.
Results: The eLORETA analysis revealed sources of the aeGBR within bilateral auditory cortices and in frontal midline structures of the brain including the dACC. Compared to the control condition the dACC source activity was found to be significantly stronger during the performance of the cognitively demanding task. Moreover, this task involved a significantly stronger functional connectivity between auditory cortices and dACC.
Conclusion: In accordance with previous EEG and EEG-fMRI investigations, our study confirms an aeGBR generator in the dACC by means of MEG and suggests its involvement in the effortful processing of auditory stimuli.",['c.mulert@uke.de'],http://www.biorxiv.org/content/early/2015/01/28/014514,biorxiv,2015,bc0aacfe-1b57-4b05-8e90-8d0f242010b3,1,http://www.biorxiv.org/content/early/2015/01/28/014514.full.pdf
Opportunities And Obstacles For Deep Learning In Biology And Medicine," View ORCID ProfileTravers Ching,  View ORCID ProfileDaniel S. Himmelstein,  View ORCID ProfileBrett K. Beaulieu-Jones,  View ORCID ProfileAlexandr A. Kalinin,  View ORCID ProfileBrian T. Do,  View ORCID ProfileGregory P. Way,  View ORCID ProfileEnrico Ferrero,  View ORCID ProfilePaul-Michael Agapow,  View ORCID ProfileWei Xie,  View ORCID ProfileGail L. Rosen,  View ORCID ProfileBenjamin J. Lengerich,  View ORCID ProfileJohnny Israeli,  View ORCID ProfileJack Lanchantin,  View ORCID ProfileStephen Woloszynek,  View ORCID ProfileAnne E. Carpenter,  View ORCID ProfileAvanti Shrikumar,  View ORCID ProfileJinbo Xu,  View ORCID ProfileEvan M. Cofer,  View ORCID ProfileDavid J. Harris,  View ORCID ProfileDave DeCaprio,  View ORCID ProfileYanjun Qi,  View ORCID ProfileAnshul Kundaje,  View ORCID ProfileYifan Peng,  View ORCID ProfileLaura K. Wiley,  View ORCID ProfileMarwin H. S. Segler,  View ORCID ProfileAnthony Gitter,  View ORCID ProfileCasey S. Greene",Retrieved from bioRxiv. 2017,"Deep learning, which describes a class of machine learning algorithms, has recently showed impressive results across a variety of domains. Biology and medicine are data rich, but the data are complex and often ill-understood. Problems of this nature may be particularly well-suited to deep learning techniques. We examine applications of deep learning to a variety of biomedical problems -- patient classification, fundamental biological processes, and treatment of patients -- to predict whether deep learning will transform these tasks or if the biomedical sphere poses unique challenges. We find that deep learning has yet to revolutionize or definitively resolve any of these problems, but promising advances have been made on the prior state of the art. Even when improvement over a previous baseline has been modest, we have seen signs that deep learning methods may speed or aid human investigation. More work is needed to address concerns related to interpretability and how to best model each problem. Furthermore, the limited amount of labeled data for training presents problems in some domains, as can legal and privacy constraints on work with sensitive health records. Nonetheless, we foresee deep learning powering changes at the bench and bedside with the potential to transform several areas of biology and medicine.","['gitter@biostat.wisc.edu', 'csgreene@upenn.edu']",http://www.biorxiv.org/content/early/2017/05/28/142760,biorxiv,2017,001fe918-7444-4b2d-b31d-f5b5264be6f5,1,http://www.biorxiv.org/content/early/2017/05/28/142760.full.pdf
Frontal cortex function derives from hierarchical predictive coding,"William H Alexander, Joshua W Brown",Retrieved from bioRxiv. 2016,"The frontal lobes are essential for human volition and goal-directed behavior, yet their function remains unclear. While various models have highlighted working memory, reinforcement learning, and cognitive control as key functions, a single framework for interpreting the range of effects observed in prefrontal cortex has yet to emerge.  Here we show that a simple computational motif based on predictive coding can be stacked hierarchically to learn and perform arbitrarily complex goal-directed behavior.  The resulting Hierarchical Error Representation (HER) model simulates a wide array of findings from fMRI, ERP, single-units, and neuropsychological studies of both lateral and medial prefrontal cortex.  Additionally, the model compares favorably with current machine learning approaches, learning more rapidly and with comparable performance, while self-organizing representations into efficient hierarchical groups and managing working memory storage.  By reconceptualizing lateral prefrontal activity as anticipating prediction errors, the HER model provides a novel unifying account of prefrontal cortex function with broad implications both for understanding the frontal cortex and building more powerful machine learning applications","['william.alexander@ugent.be', 'jwmbrown@indiana.edu']",http://www.biorxiv.org/content/early/2016/09/21/076505,biorxiv,2016,7abbcf81-d9a0-4bd9-9ff1-fb0fce7b4856,1,http://www.biorxiv.org/content/early/2016/09/21/076505.full.pdf
Sub-kb resolution Hi-C in D. melanogaster reveals conserved characteristics of TADs between insect and mammalian cells,"Qi Wang, Qiu Sun, Daniel M. Czajkowsky, Zhifeng Shao",Retrieved from bioRxiv. 2017,"Topologically associating domains (TADs) are fundamental elements of the 3D structure of the eukaryotic genome. However, while the structural importance of the insulator protein CTCF together with cohesin at TAD borders in mammalian cells is well established, the absence of such co-localization at most TAD borders in recent Hi-C studies of D. melanogaster is enigmatic, raising the possibility that these TAD border elements are not generally conserved among metazoans. Using in situ Hi-C with sub-kb resolution, we show that the genome of D. melanogaster is almost completely partitioned into more than 4,000 TADs (median size, 13 kb), nearly 7-fold more than previously identified. The overwhelming majority of these TADs are demarcated by pairs of Drosophila specific insulator proteins, BEAF-32/CP190 or BEAF-32/Chromator, indicating that these proteins may play an analogous role in Drosophila as that of the CTCF/cohesin pair in mammals. Moreover, we find that previously identified TADs enriched for inactive chromatin are predominantly assembled from the higher-level interactions between smaller TADs. In contrast, the contiguous small TADs in regions previously thought to be unstructured ""inter-TADs"" are organized in an open configuration with far fewer TAD-TAD interactions. Such structures can also be identified in some ""inter-TAD"" regions of the mammalian genome, suggesting that larger assemblages of small self-associating TADs separated by a ""burst"" of contiguous small, weakly associating TADs may be a conserved, basic characteristic of the higher order folding of the metazoan genome.","['zfshao@sjtu.edu.cn', 'dczaj@sjtu.edu.cn.']",http://www.biorxiv.org/content/early/2017/07/17/164467,biorxiv,2017,238cbf74-f6b8-40d2-963f-8a7c0cc5755f,1,http://www.biorxiv.org/content/early/2017/07/17/164467.full.pdf
Rehabilitation promotes the recovery of distinct functional and structural features of healthy neuronal networks after stoke,"Anna Letizia Allegra Mascaro, Emilia Conti, Stefano Lai, Antonino Paolo Di Giovanna, Cristina Spalletti, Claudia Alia, Eros Quarta, Alessandro Panarese, Leonardo Sacconi, Silvestro Micera, Matteo Caleo, Francesco S. Pavone",Retrieved from bioRxiv. 2017,"Rehabilitation is the most effective treatment for promoting the recovery of motor deficits after stroke. Despite its importance, the processes associated with rehabilitative intervention are poorly understood. One of the most challenging experimental goals is to unambiguously link specific circuit changes induced by rehabilitation in recovering animals to improved behavior. Here, we investigate which facets of cortical remodeling are induced by rehabilitative therapy after stroke by combining optical imaging and manipulation tools. We demonstrate the progressive restoration of cortical motor maps and of cortical activity in parallel with the reinforcement of inter-hemispheric connectivity after rehabilitation. Furthermore, we reveal that the increase in vascular density goes along with the stabilization of peri-infarct neural circuitry at synaptic level. The present work provides the first evidences that rehabilitation is sufficient to promote the combined recovery of distinct structural and functional features distinctive of healthy neuronal networks. We believe that understanding the plastic changes induced by rehabilitation will lead to more effective interventions to improve recovery after stroke.",[],http://www.biorxiv.org/content/early/2017/08/02/141697,biorxiv,2017,b56c2e95-67c4-45bc-8ea8-d343740d13e2,1,http://www.biorxiv.org/content/early/2017/08/02/141697.full.pdf
PHATE: A Dimensionality Reduction Method for Visualizing Trajectory Structures in High-Dimensional Biological Data,"Kevin R. Moon, David van Dijk, Zheng Wang, William Chen, Matthew J Hirn, Ronald R Coifman, Natalia B Ivanova, Guy Wolf, Smita Krishnaswamy",Retrieved from bioRxiv. 2017,"In recent years, dimensionality reduction methods have become critical for visualization, exploration, and interpretation of high-throughput, high-dimensional biological data, as they enable the extraction of major trends in the data while discarding noise. However, biological data contains a type of predominant structure that is not preserved in commonly used methods such as PCA and tSNE, namely, branching progression structure. This structure, which is often non-linear, arises from underlying biological processes such as differentiation, graded responses to stimuli, and population drift, which generate cellular (or population) diversity. We propose a novel, affinity-preserving embedding called PHATE (Potential of Heat-diffusion for Affinity-based Trajectory Embedding), designed explicitly to preserve progression structure in data.

PHATE provides a denoised, two or three-dimensional visualization of the complete branching trajectory structure in high-dimensional data. It uses heat-diffusion processes, which naturally denoise the data, to compute cell-cell affinities. Then, PHATE creates a diffusion-potential geometry by free-energy potentials of these processes. This geometry captures high-dimensional trajectory structures, while enabling a natural embedding of the intrinsic data geometry. This embedding accurately visualizes trajectories and data distances, without requiring strict assumptions typically used by path-finding and tree-fitting algorithms, which have recently been used for pseudotime orderings or tree-renderings of cellular data. Furthermore, PHATE supports a wide range of data exploration tasks by providing interpretable overlays on top of the visualization. We show that such overlays can emphasize and reveal trajectory end-points, branch points and associated split-decisions, progression-forming variables (e.g., specific genes), and paths between developmental events in cellular state-space. We demonstrate PHATE on single-cell RNA sequencing and mass cytometry data pertaining to embryoid body differentiation, IPSC reprogramming, and hematopoiesis in the bone marrow. We also demonstrate PHATE on non-single cell data including single-nucleotide polymorphism (SNP) measurements of European populations, and 16s sequencing of gut microbiota.","['smita.krishnaswamy@yale.edu', 'natalia.ivanova@yale.edu']",http://www.biorxiv.org/content/early/2017/03/24/120378,biorxiv,2017,dac726b2-e05f-420a-98d1-90aeed36c98b,1,http://www.biorxiv.org/content/early/2017/03/24/120378.full.pdf
Physiological Gaussian Process Priors for the Hemodynamics in fMRI Analysis,"Josef Wilzen, Anders Eklund, Mattias Villani",Retrieved from bioRxiv. 2017,"Inference from fMRI data faces the challenge that the hemodynamic system, that relates the underlying neural activity to the observed BOLD fMRI signal, is not known. We propose a new Bayesian model for task fMRI data with the following features: (i) joint estimation of brain activity and the underlying hemodynamics, (ii) the hemodynamics is modeled nonparametrically with a Gaussian process (GP) prior guided by physiological information and (iii) the predicted BOLD is not necessarily generated by a linear time-invariant (LTI) system. We place a GP prior directly on the predicted BOLD time series, rather than on the hemodynamic response function as in previous literature. This allows us to incorporate physiological information via the GP prior mean in a flexible way. The prior mean function may be generated from a standard LTI system, based on a canonical hemodynamic response function, or a more elaborate physiological model such as the Balloon model. This gives us the nonparametric flexibility of the GP, but allows the posterior to fall back on the physiologically based prior when the data are weak. Results on simulated data show that even with an erroneous prior for the GP, the proposed model is still able to discriminate between active and non-active voxels in a satisfactory way. The proposed model is also applied to real fMRI data, where our Gaussian process model in several cases finds brain activity where a baseline model with fixed hemodynamics does not.",['josef.wilzen@liu.se'],http://www.biorxiv.org/content/early/2017/08/23/179838,biorxiv,2017,b2c5fa89-2fb1-407b-a527-b61a42fdd581,1,http://www.biorxiv.org/content/early/2017/08/23/179838.full.pdf
