Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Integrating Online and Offline Three-Dimensional Deep Learning for Automated Polyp Detection in Colonoscopy Videos,L. Yu; H. Chen; Q. Dou; J. Qin; P. A. Heng,"Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong",IEEE Journal of Biomedical and Health Informatics,20170520,2017,21,1,65,75,"Automated polyp detection in colonoscopy videos has been demonstrated to be a promising way for colorectal cancer prevention and diagnosis. Traditional manual screening is time consuming, operator dependent, and error prone; hence, automated detection approach is highly demanded in clinical practice. However, automated polyp detection is very challenging due to high intraclass variations in polyp size, color, shape, and texture, and low interclass variations between polyps and hard mimics. In this paper, we propose a novel offline and online three-dimensional (3-D) deep learning integration framework by leveraging the 3-D fully convolutional network (3D-FCN) to tackle this challenging problem. Compared with the previous methods employing hand-crafted features or 2-D convolutional neural network, the 3D-FCN is capable of learning more representative spatio-temporal features from colonoscopy videos, and hence has more powerful discrimination capability. More importantly, we propose a novel online learning scheme to deal with the problem of limited training data by harnessing the specific information of an input video in the learning process. We integrate offline and online learning to effectively reduce the number of false positives generated by the offline network and further improve the detection performance. Extensive experiments on the dataset of MICCAI 2015 Challenge on Polyp Detection demonstrated the better performance of our method when compared with other competitors.",2168-2194;21682194,,10.1109/JBHI.2016.2637004,Hong Kong Special Administrative Region; Shenzhen Science and Technology Program; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776845,Automated polyp detection;colonoscopy video;computer-aided diagnosis;convolutional neural networks (CNNs);deep learning,Cancer;Colonoscopy;Feature extraction;MIMICs;Shape;Three-dimensional displays;Videos,cancer;endoscopes;learning (artificial intelligence);medical image processing;neural nets;video signal processing,3D fully convolutional network;automated polyp detection;colonoscopy videos;colorectal cancer diagnosis;colorectal cancer prevention;offline three-dimensional deep learning integration framework;online three-dimensional deep learning integration framework;spatiotemporal features,,,,,,,20161207,Jan. 2017,,IEEE,IEEE Journals & Magazines
Automatic Detection and Classification of Colorectal Polyps by Transferring Low-Level CNN Features From Nonmedical Domain,R. Zhang; Y. Zheng; T. W. C. Mak; R. Yu; S. H. Wong; J. Y. W. Lau; C. C. Y. Poon,"Department of Surgery, The Chinese University of Hong Kong, Shatin, Hong Kong SAR",IEEE Journal of Biomedical and Health Informatics,20170520,2017,21,1,41,47,"Colorectal cancer (CRC) is a leading cause of cancer deaths worldwide. Although polypectomy at early stage reduces CRC incidence, 90% of the polyps are small and diminutive, where removal of them poses risks to patients that may outweigh the benefits. Correctly detecting and predicting polyp type during colonoscopy allows endoscopists to resect and discard the tissue without submitting it for histology, saving time, and costs. Nevertheless, human visual observation of early stage polyps varies. Therefore, this paper aims at developing a fully automatic algorithm to detect and classify hyperplastic and adenomatous colorectal polyps. Adenomatous polyps should be removed, whereas distal diminutive hyperplastic polyps are considered clinically insignificant and may be left in situ . A novel transfer learning application is proposed utilizing features learned from big nonmedical datasets with 1.4-2.5 million images using deep convolutional neural network. The endoscopic images we collected for experiment were taken under random lighting conditions, zooming and optical magnification, including 1104 endoscopic nonpolyp images taken under both white-light and narrowband imaging (NBI) endoscopy and 826 NBI endoscopic polyp images, of which 263 images were hyperplasia and 563 were adenoma as confirmed by histology. The proposed method identified polyp images from nonpolyp images in the beginning followed by predicting the polyp histology. When compared with visual inspection by endoscopists, the results of this study show that the proposed method has similar precision (87.3% versus 86.4%) but a higher recall rate (87.6% versus 77.0%) and a higher accuracy (85.9% versus 74.3%). In conclusion, automatic algorithms can assist endoscopists in identifying polyps that are adenomatous but have been incorrectly judged as hyperplasia and, therefore, enable timely resection of these polyps at an early stage before they develop into invasive cancer.",2168-2194;21682194,,10.1109/JBHI.2016.2635662,"Chow Yuk Ho Technology Centre for Innovative Medicine; Hong Kong Innovation and Technology Fund, Shaw Endoscopy Center; ",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7769237,Colorectal cancer;deep learning;health informatics;polyp diagnosis,Biomedical imaging;Cancer;Colonoscopy;Feature extraction;Machine learning;Neurons;Training,biological tissues;biomedical optical imaging;cancer;endoscopes,NBI endoscopic polyp images;adenomatous colorectal polyps;cancer deaths;colonoscopy;colorectal cancer;colorectal polyps automatic detection;colorectal polyps classification;deep convolutional neural network;endoscopic images;endoscopic nonpolyp images;fully automatic algorithm;human visual observation;hyperplasia;hyperplastic colorectal polyps;learning application;low-level CNN features;narrowband imaging endoscopy;nonmedical datasets;optical magnification;polyp histology;polypectomy;tissue;white-light endoscopy,,,,,,,20161205,Jan. 2017,,IEEE,IEEE Journals & Magazines
Comparison of hand-craft feature based SVM and CNN based deep learning framework for automatic polyp classification,Y. Shin; I. Balasingham,"Department Electronics and Telecommunications at Norwegian University of Science and Technology (NTNU), Trondheim, Norway",2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20170914,2017,,,3277,3280,"Colonoscopy is a standard method for screening polyps by highly trained physicians. Miss-detected polyps in colonoscopy are potential risk factor for colorectal cancer. In this study, we investigate an automatic polyp classification framework. We aim to compare two different approaches named hand-craft feature method and convolutional neural network (CNN) based deep learning method. Combined shape and color features are used for hand craft feature extraction and support vector machine (SVM) method is adopted for classification. For CNN approach, three convolution and pooling based deep learning framework is used for classification purpose. The proposed framework is evaluated using three public polyp databases. From the experimental results, we have shown that the CNN based deep learning framework shows better classification performance than the hand-craft feature based methods. It achieves over 90% of classification accuracy, sensitivity, specificity and precision.",,Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8,10.1109/EMBC.2017.8037556,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037556,,,,,,,,,,,,11-15 July 2017,,IEEE,IEEE Conference Publications
Combining Convolutional and Recurrent Neural Networks for Human Skin Detection,H. Zuo; H. Fan; E. Blasch; H. Ling,"Department of Chemical Equipment and Control Engineering, China University of Petroleum, Qingdao, China",IEEE Signal Processing Letters,20170209,2017,24,3,289,293,"Skin detection from images, typically used as a preprocessing step, has a wide range of applications such as dermatology diagnostics, human computer interaction designs, and etc. It is a challenging problem due to many factors such as variation in pigment melanin, uneven illumination, and differences in ethnicity geographics. Besides, age and gender introduce additional difficulties to the detection process. It is hard to determine whether a single pixel is skin or nonskin without considering the context. An efficient traditional hand-engineered skin color detection algorithm requires extensive work by domain experts. Recently, deep learning algorithms, especially convolutional neural networks (CNNs), have achieved great success in pixel-wise labeling tasks. However, CNN-based architectures are not sufficient for modeling the relationship between pixels and their neighbors. In this letter, we integrate recurrent neural networks (RNNs) layers into the fully convolutional neural networks (FCNs), and develop an end-to-end network for human skin detection. In particular, FCN layers capture generic local features, while RNN layers model the semantic contextual dependencies in images. Experimental results on the COMPAQ and ECU skin datasets validate the effectiveness of the proposed approach, where RNN layers enhance the discriminative power of skin detection in complex background situations.",1070-9908;10709908,,10.1109/LSP.2017.2654803,U.S. National Science Foundation; 10.13039/501100001809 - National Natural Science Foundation of China; 10.13039/501100004543 - China Scholarship Council; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820144,Convolutional neural networks (CNNs);recurrent neural networks (RNNs);skin classification;skin detection;skin segmentation,Convolution;Detection algorithms;Image color analysis;Lighting;Recurrent neural networks;Skin,image colour analysis;image recognition;recurrent neural nets;skin,COMPAQ skin datasets;ECU skin datasets;FCN layers;complex background situations;convolutional neural networks;deep learning algorithms;dermatology diagnostics;discriminative power;domain experts;end-to-end network;ethnicity geographics;generic local features;hand-engineered skin color detection;human computer interaction;human skin detection;pigment melanin;pixel-wise labeling tasks;preprocessing step;recurrent neural networks;semantic contextual dependency;uneven illumination,,,,,,,20170117,March 2017,,IEEE,IEEE Journals & Magazines
Deep Learning Segmentation of Optical Microscopy Images Improves 3-D Neuron Reconstruction,R. Li; T. Zeng; H. Peng; S. Ji,"School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA",IEEE Transactions on Medical Imaging,20170628,2017,36,7,1533,1541,"Digital reconstruction, or tracing, of 3-D neuron structure from microscopy images is a critical step toward reversing engineering the wiring and anatomy of a brain. Despite a number of prior attempts, this task remains very challenging, especially when images are contaminated by noises or have discontinued segments of neurite patterns. An approach for addressing such problems is to identify the locations of neuronal voxels using image segmentation methods, prior to applying tracing or reconstruction techniques. This preprocessing step is expected to remove noises in the data, thereby leading to improved reconstruction results. In this paper, we proposed to use 3-D convolutional neural networks (CNNs) for segmenting the neuronal microscopy images. Specifically, we designed a novel CNN architecture, that takes volumetric images as the inputs and their voxel-wise segmentation maps as the outputs. The developed architecture allows us to train and predict using large microscopy images in an end-to-end manner. We evaluated the performance of our model on a variety of challenging 3-D microscopy images from different organisms. Results showed that the proposed methods improved the tracing performance significantly when combined with different reconstruction algorithms.",0278-0062;02780062,,10.1109/TMI.2017.2679713,10.13039/100000001 - National Science Foundation; 10.13039/100007588 - Washington State University; 10.13039/100009980 - Old Dominion University; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7874113,BigNeuron;Deep learning;image denoising;image segmentation;neuron reconstruction,Convolution;Image reconstruction;Image segmentation;Microscopy;Morphology;Neurons;Three-dimensional displays,biomedical optical imaging;brain;image denoising;image reconstruction;image segmentation;learning (artificial intelligence);medical image processing;neural nets;neurophysiology;optical microscopy,3-D convolutional neural networks;3-D microscopy images;3-D neuron reconstruction;3-D neuron structure;CNN architecture;brain anatomy;brain wiring;deep learning segmentation;digital reconstruction;digital tracing;discontinued segments;image segmentation methods;neurite patterns;neuronal microscopy images;neuronal voxels;noise removal;optical microscopy images;organisms;preprocessing step;reconstruction algorithms;reversing engineering;tracing performance;volumetric images;voxel-wise segmentation maps,,,,,,,20170308,July 2017,,IEEE,IEEE Journals & Magazines
Hybrid deep learning for Reflectance Confocal Microscopy skin images,P. Kaur; K. J. Dana; G. O. Cula; M. C. Mack,"Department of Electrical and Computer Engineering, Rutgers University, NJ, USA",2016 23rd International Conference on Pattern Recognition (ICPR),20170424,2016,,,1466,1471,"Reflectance Confocal Microscopy (RCM) is used for evaluation of human skin disorders and the effects of skin treatments by imaging the skin layers at different depths. Traditionally, clinical experts manually categorize the images captured into different skin layers. This time-consuming labeling task impedes the convenient analysis of skin image datasets. In recent automated image recognition tasks, deep learning with convolutional neural nets (CNN) has achieved remarkable results. However in many clinical settings, training data is often limited and insufficient for CNN training. For recognition of RCM skin images, we demonstrate that a CNN trained on a moderate size dataset leads to low accuracy. We introduce a hybrid deep learning approach which uses traditional texton-based feature vectors as input to train a deep neural network. This hybrid method uses fixed filters in the input layer instead of tuned filters, yet superior performance is achieved. Our dataset consists of 1500 images from 15 RCM stacks belonging to six different categories of skin layers. We show that our hybrid deep learning approach performs with a test accuracy of 82% compared with 51% for CNN. We also compare the results with additional proposed methods for RCM image recognition and show improved accuracy.",,Electronic:978-1-5090-4847-2; POD:978-1-5090-4848-9,10.1109/ICPR.2016.7899844,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899844,,Epidermis;Histograms;Image recognition;Libraries;Machine learning;Neural networks,convolution;data analysis;filtering theory;image recognition;learning (artificial intelligence);medical image processing;microscopy;vectors;visual databases,CNN training;RCM;automated image recognition tasks;clinical experts;convolutional neural nets;fixed filters;human skin disorders;hybrid deep learning approach;reflectance confocal microscopy skin images;skin image datasets;skin layers;traditional texton-based feature vectors,,,,,,,,4-8 Dec. 2016,,IEEE,IEEE Conference Publications
Human induced pluripotent stem cell region recognition in microscopy images using Convolutional Neural Networks,Y. H. Chang; K. Abe; H. Yokota; K. Sudo; Y. Nakamura; C. Y. Lin; M. D. Tsai,"Department of Information and Computer Engineering, Chung-Yuan Christian University, Chung-Li, 32023, Taiwan",2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20170914,2017,,,4058,4061,"We present a deep learning architecture Convolutional Neural Networks (CNNs) for automatic classification and recognition of reprogramming and reprogrammed human Induced Pluripotent Stem (iPS) cell regions in microscopy images. The differentiated cells that possibly undergo reprogramming to iPS cells can be detected by this method for screening reagents or culture conditions in iPS induction. The learning results demonstrate that our CNNs can achieve the Top-1 and Top-2 error rates of 9.2% and 0.84%, respectively, to produce probability maps for the automatic analysis. The implementation results show that this automatic method can successfully detect and localize the human iPS cell formation, thereby yield a potential tool for helping iPS cell culture.",,Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8,10.1109/EMBC.2017.8037747,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037747,,,,,,,,,,,,11-15 July 2017,,IEEE,IEEE Conference Publications
Spatiotemporal Joint Mitosis Detection Using CNN-LSTM Network in Time-Lapse Phase Contrast Microscopy Images,Y. T. Su; Y. Lu; M. Chen; A. A. Liu,"School of Electrical and Information Engineering, Tianjin University, Tianjin 300072, China.",IEEE Access,,2017,PP,99,1,1,"We present an approach to jointly detect mitotic events spatially and temporally in time-lapse phase contrast microscopy images. In particular, we combine a Convolutional Neural Network (CNN) and a Long Short Term Memory network (LSTM) to detect mitotic events in patch sequences. The CNN-LSTM network can be trained end-to-end to simultaneously learn convolutional features within each frame and temporal dynamics between frames, without hand-crafted visual or temporal feature design. Owing to the LSTM layer, this approach is able to detect mitotic events in patch sequences of variable length, as well as making use of longer context information among frames in the sequences. To the best of our knowledge, this is the first work to detect mitosis using deep learning in both spatial and temporal domains. Experiments have shown that the CNN-LSTM network can be trained efficiently, and we evaluate this design by applying the network to original raw microscopy image sequences to locate mitotic events both spatially and temporally. The data we validate the proposed method on include C3H10 mesenchymal and C2C12 myoblastic stem cell populations. Our approach achieved the F score of 98.72% on the C2C12 dataset, and the F score of 96.5% on the C3H10 dataset. The results on both datasets outperform traditional graph model based approaches by a large margin, both in terms of detection accuracy and frame localization accuracy. Furthermore, we have developed a framework to aid humans in annotating mitosis with high efficiency and accuracy in raw phase contrast microscopy images based on the joint detection results using the proposed method. Under this framework, expert level annotations can be obtained in raw phase contrast microscopy image sequences, and the annotations have shown to further improve the training performance of CNN-LSTM network.",,,10.1109/ACCESS.2017.2745544,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019789,biomedical imaging;computer vision;machine learning;mitosis detection;stem cell,Computer architecture;Feature extraction;Hidden Markov models;Machine learning;Microscopy;Spatiotemporal phenomena;Visualization,,,,,,,,,20170829,,,IEEE,IEEE Early Access Articles
An efficient method for neuronal tracking in electron microscopy images,L. Yin; C. Xiao; Q. Xie; X. Chen; L. Shen; H. Han,"Computational Mathematics, Hubei University, Wuhan, 430062, China",2017 IEEE International Conference on Mechatronics and Automation (ICMA),20170824,2017,,,1865,1870,"With the introduction of deep learning, a wave of artificial intelligence research has been set off again. Scientists focus on brain-inspired intelligence, namely, try to get inspiration from the brain nervous system and cognitive behavior mechanism, to develop intelligent computing models as well as algorithms with stronger information representation, processing and learning ability. So, the study of neurons and the connections between neurons of brain are needed. One major obstacle of reconstruction lies in segmenting and tracking neuronal processes. Electron microscopy is producing neurons images rapidly. In response, we propose an efficient method for neuronal tracking in electron microscopy images to help scientists reconstruct complex neurons. First, we track neurons by kernelized correlation filter to get candidate neuron; then we calculate overlap area and distance of the contours between two consecutive images to get final neuron. We evaluate the performance of our method on a public electron microscopy dataset. The method is superior in accuracy and efficiency.",,CD:978-1-5090-6757-2; Electronic:978-1-5090-6759-6; POD:978-1-5090-6760-2; Paper:978-1-5090-6758-9,10.1109/ICMA.2017.8016102,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016102,3D reconstruction;correlation filters;electron microscopy;neuron;tracking,Correlation;Electron microscopy;Image segmentation;Neurons;Target tracking,,,,,,,,,,6-9 Aug. 2017,,IEEE,IEEE Conference Publications
MIMO-Net: A multi-input multi-output convolutional neural network for cell segmentation in fluorescence microscopy images,S. E. A. Raza; L. Cheung; D. Epstein; S. Pelengaris; M. Khan; N. M. Rajpoot,"Department of Computer Science, University of Warwick, Coventry, UK",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619,2017,,,337,340,"We propose a novel multiple-input multiple-output convolution neural network (MIMO-Net) for cell segmentation in fluorescence microscopy images. The proposed network trains the network parameters using multiple resolutions of the input image, connects the intermediate layers for better localization and context and generates the output using multi-resolution deconvolution filters. The MIMO-Net allows us to deal with variable intensity cell boundaries and highly variable cell size in the mouse pancreatic tissue by adding extra convolutional layers which bypass the max-pooling operation. The results show that our method outperforms state-of-the-art deep learning based approaches for segmentation.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950532,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950532,Cell Segmentation;Deep Learning;Fluorescence Microscopy,Biomembranes;Computer architecture;Convolution;Image segmentation;Machine learning;Microprocessors;Microscopy,biomedical optical imaging;fluorescence;image resolution;image segmentation;medical image processing;neural nets;optical microscopy,cell segmentation;deep learning based approaches;fluorescence microscopy images;mouse pancreatic tissue;multipleinput multipleoutput convolution neural network;multiresolution deconvolution filters;variable intensity cell boundaries,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
