"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D10%26queryText%3Ddeep+learning+medical+imaging",2017/09/15 09:34:03
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep learning for tumour classification in homogeneous breast tissue in medical microwave imaging","B. Gerazov; R. C. Conceicao","Faculty of Electrical Engineering and Information Technologies, Ss Cyril and Methodius University in Skopje, Skopje, Macedonia","IEEE EUROCON 2017 -17th International Conference on Smart Technologies","20170817","2017","","","564","569","Deep learning has become the state-of-the-art in the area of biomedical imaging, leading to a large boost in performance that approaches human levels. Medical microwave imaging is an emerging technology that has great potential especially in the area of breast cancer diagnosis. Moreover, the obtained backscatter signals have also been shown to be a good basis for differentiating malignant and benign tumour type. We further analyse these results by applying deep learning methods to a dataset of Finite Difference Time Domain (FDTD) numerical simulations of tumour models embedded in homogeneous breast adipose tissue. Specifically we use Deep and Convolutional Neural Networks and obtain an accuracy of 93.44% which outperforms conventional machine learning previously used on the analysed dataset.","","Electronic:978-1-5090-3843-5; POD:978-1-5090-3844-2; USB:978-1-5090-3842-8","10.1109/EUROCON.2017.8011175","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8011175","CNN;DNN;breast tumour classification;deep learning;feature embedding;medical microwave imaging","Biomedical imaging;Finite difference methods;Machine learning;Microwave theory and techniques;Numerical models;Time-domain analysis;Tumors","cancer;convolution;finite difference time-domain analysis;image classification;learning (artificial intelligence);medical image processing;microwave imaging;neural nets;tumours","FDTD numerical simulations;backscatter signals;breast cancer diagnosis;convolutional neural networks;deep learning;deep neural networks;finite difference time domain;homogeneous breast tissue;medical microwave imaging;tumour classification","","","","","","","","6-8 July 2017","","IEEE","IEEE Conference Publications"
"Deep Features Learning for Medical Image Analysis with Convolutional Autoencoder Neural Network","M. Chen; X. Shi; Y. Zhang; D. Wu; M. Guizani","School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, HuBei China (e-mail: minchen@ieee.org)","IEEE Transactions on Big Data","","2017","PP","99","1","1","At present, computed tomography (CT) are widely used to assist diagnosis. Especially, computer aided diagnosis (CAD) based on artificial intelligence (AI) is an extremely important research field in intelligent healthcare. However, it is a great challenge to establish an adequate labeled dataset for CT analysis assistance, due to the privacy and security issues. Therefore, this paper proposes a convolutional autoencoder deep learning framework to support unsupervised image features learning for lung nodule through unlabeled data, which only needs a small amount of labeled data for efficient feature learning. Through comprehensive experiments, it evaluates that the proposed scheme is superior to other approaches, which effectively solves the intrinsic labor-intensive problem during of artificial image labeling. Moreover, it verifies that the proposed convolutional autoencoder approach can be extended for similarity measurement of lung nodules images. Especially, the features extracted through unsupervised learning are also applicable in other related scenarios.","","","10.1109/TBDATA.2017.2717439","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7954012","Convolutional autoencoder neural network;Feature learning;Hand-craft feature;Lung nodule;Unsupervised learning","Biomedical imaging;Computed tomography;Convolutional codes;Feature extraction;Image analysis;Lungs;Training","","","","","","","","","20170620","","","IEEE","IEEE Early Access Articles"
"A comparison of deep learning and hand crafted features in medical image modality classification","S. Khan; S. P. Yong","Computer and Information Sciences Department, Universiti Teknologi PETRONAS, Malaysia","2016 3rd International Conference on Computer and Information Sciences (ICCOINS)","20161215","2016","","","633","638","Modality corresponding to medical images is a vital filter in medical image retrieval systems, as radiologists or physicians are interested in only one of radiology images e.g CT scan, MRI, X-ray. Various handcrafted feature schemes have been proposed for medical image modality classification. On the other hand not enough attempts have been made for deep learned feature extraction. A comparative evaluation of both handcrafted and deep learned features for medical image modality classification is presented in this paper. The experiments are performed on IMAGECLEF 2012 data. After carrying out the experiments it is shown that the handcrafted features outperforms the deep learned features and shows the potential of handcrafted feature extraction models in the medical image field.","","Electronic:978-1-5090-2549-7; POD:978-1-5090-2550-3; USB:978-1-5090-5144-1","10.1109/ICCOINS.2016.7783289","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7783289","Feature representations;deep learned features;handcrafted features;modality classification","Biomedical imaging;Computer architecture;Computers;Feature extraction;Machine learning;Visualization","feature extraction;image classification;image retrieval;learning (artificial intelligence);medical image processing;radiology","IMAGECLEF 2012 data;deep learned feature extraction;hand crafted features;handcrafted feature extraction models;medical image modality classification;medical image retrieval systems;radiology images","","","","","","","","15-17 Aug. 2016","","IEEE","IEEE Conference Publications"
"Deep learning of feature representation with multiple instance learning for medical image analysis","Y. Xu; T. Mo; Q. Feng; P. Zhong; M. Lai; E. I. C. Chang","State Key Lab. of Software Dev. Environ., Beihang Univ., Beijing, China","2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","20140714","2014","","","1626","1630","This paper studies the effectiveness of accomplishing high-level tasks with a minimum of manual annotation and good feature representations for medical images. In medical image analysis, objects like cells are characterized by significant clinical features. Previously developed features like SIFT and HARR are unable to comprehensively represent such objects. Therefore, feature representation is especially important. In this paper, we study automatic extraction of feature representation through deep learning (DNN). Furthermore, detailed annotation of objects is often an ambiguous and challenging task. We use multiple instance learning (MIL) framework in classification training with deep learning features. Several interesting conclusions can be drawn from our work: (1) automatic feature learning outperforms manual feature; (2) the unsupervised approach can achieve performance that's close to fully supervised approach (93.56%) vs. (94.52%); and (3) the MIL performance of coarse label (96.30%) outweighs the supervised performance of fine label (95.40%) in supervised deep learning features.","1520-6149;15206149","Electronic:978-1-4799-2893-4; POD:978-1-4799-2894-1; USB:978-1-4799-2892-7","10.1109/ICASSP.2014.6853873","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6853873","deep learning;feature learning;multiple instance learning;supervised;un-supervised","Biomedical imaging;Cancer;Feature extraction;Manuals;Supervised learning;Training;Vectors","feature extraction;image representation;learning (artificial intelligence);medical image processing","DNN;HARR features;MIL framework;SIFT features;automatic feature representation extraction;classification training;clinical features;feature representation;manual annotation;medical image analysis;multiple instance learning;supervised deep learning features;unsupervised approach","","14","","26","","","","4-9 May 2014","","IEEE","IEEE Conference Publications"
"Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique","H. Greenspan; B. van Ginneken; R. M. Summers","Biomedical Image Computing Lab, Department of Biomedical Engineering, Faculty of Engineering, Tel-Aviv University, Tel-Aviv, Israel","IEEE Transactions on Medical Imaging","20160429","2016","35","5","1153","1159","The papers in this special section focus on the technology and applications supported by deep learning. Deep learning is a growing trend in general data analysis and has been termed one of the 10 breakthrough technologies of 2013. Deep learning is an improvement of artificial neural networks, consisting of more layers that permit higher levels of abstraction and improved predictions from data. To date, it is emerging as the leading machine-learning tool in the general imaging and computer vision domains. In particular, convolutional neural networks (CNNs) have proven to be powerful tools for a broad range of computer vision tasks. Deep CNNs automatically learn mid-level and high-level abstractions obtained from raw data (e.g., images). Recent results indicate that the generic descriptors extracted from CNNs are extremely effective in object recognition and localization in natural images. Medical image analysis groups across the world are quickly entering the field and applying CNNs and other deep learning methodologies to a wide variety of applications.","0278-0062;02780062","","10.1109/TMI.2016.2553401","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7463094","","Artificial neural networks;Biomedical image processing;Computer vision;Data analysis;Machine learning;Special issues and sections","","","","22","","38","","","","May 2016","","IEEE","IEEE Journals & Magazines"
"Iterative deep convolutional encoder-decoder network for medical image segmentation","J. U. Kim; H. G. Kim; Y. M. Ro","Image and Video Systems Lab., School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Republic of Korea","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","685","688","In this paper, we propose a novel medical image segmentation using iterative deep learning framework. We have combined an iterative learning approach and an encoder-decoder network to improve segmentation results, which enables to precisely localize the regions of interest (ROIs) including complex shapes or detailed textures of medical images in an iterative manner. The proposed iterative deep convolutional encoder-decoder network consists of two main paths: convolutional encoder path and convolutional decoder path with iterative learning. Experimental results show that the proposed iterative deep learning framework is able to yield excellent medical image segmentation performances for various medical images. The effectiveness of the proposed method has been proved by comparing with other state-of-the-art medical image segmentation methods.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036917","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036917","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Intervertebral disc detection in X-ray images using faster R-CNN","R. Sa; W. Owens; R. Wiegand; M. Studin; D. Capoferri; K. Barooha; A. Greaux; R. Rattray; A. Hutton; J. Cintineo; V. Chaudhary","State University of New York (SUNY) at Buffalo, United States of America","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","564","567","Automatic identification of specific osseous landmarks on the spinal radiograph can be used to automate calculations for correcting ligament instability and injury, which affect 75% of patients injured in motor vehicle accidents. In this work, we propose to use deep learning based object detection method as the first step towards identifying landmark points in lateral lumbar X-ray images. The significant breakthrough of deep learning technology has made it a prevailing choice for perception based applications, however, the lack of large annotated training dataset has brought challenges to utilizing the technology in medical image processing field. In this work, we propose to fine tune a deep network, Faster-RCNN, a state-of-the-art deep detection network in natural image domain, using small annotated clinical datasets. In the experiment we show that, by using only 81 lateral lumbar X-Ray training images, one can achieve much better performance compared to traditional sliding window detection method on hand crafted features. Furthermore, we fine-tuned the network using 974 training images and tested on 108 images, which achieved average precision of 0.905 with average computation time of 3 second per image, which greatly outperformed traditional methods in terms of accuracy and efficiency.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036887","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036887","X-Ray;deep learning;detection;intervertebral disc","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Automatic Skin Lesion Segmentation Using Deep Fully Convolutional Networks With Jaccard Distance","Y. Yuan; M. Chao; Y. C. Lo","Department of Radiation Oncology, Icahn School of Medicine at Mount Sinai, New York, NY, USA","IEEE Transactions on Medical Imaging","20170830","2017","36","9","1876","1886","Automatic skin lesion segmentation in dermoscopic images is a challenging task due to the low contrast between lesion and the surrounding skin, the irregular and fuzzy lesion borders, the existence of various artifacts, and various imaging acquisition conditions. In this paper, we present a fully automatic method for skin lesion segmentation by leveraging 19-layer deep convolutional neural networks that is trained end-to-end and does not rely on prior knowledge of the data. We propose a set of strategies to ensure effective and efficient learning with limited training data. Furthermore, we design a novel loss function based on Jaccard distance to eliminate the need of sample re-weighting, a typical procedure when using cross entropy as the loss function for image segmentation due to the strong imbalance between the number of foreground and background pixels. We evaluated the effectiveness, efficiency, as well as the generalization capability of the proposed framework on two publicly available databases. One is from ISBI 2016 <italic>skin lesion analysis towards melanoma detection</italic> challenge, and the other is the PH2 database. Experimental results showed that the proposed method outperformed other state-of-the-art algorithms on these two databases. Our method is general enough and only needs minimum pre- and post-processing, which allows its adoption in a variety of medical image segmentation tasks.","0278-0062;02780062","","10.1109/TMI.2017.2695227","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7903636","Deep learning;dermoscopy;fully convolutional neural networks;image segmentation;jaccard distance;melanoma","Biomedical imaging;Databases;Image segmentation;Lesions;Malignant tumors;Skin","","","","","","","","","20170418","Sept. 2017","","IEEE","IEEE Journals & Magazines"
"Looking Under the Hood: Deep Neural Network Visualization to Interpret Whole-Slide Image Analysis Outcomes for Colorectal Polyps","B. Korbar; A. M. Olofson; A. P. Miraflor; C. M. Nicka; M. A. Suriawinata; L. Torresani; A. A. Suriawinata; S. Hassanpour","","2017 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","20170824","2017","","","821","827","Histopathological characterization of colorectal polyps is an important principle for determining the risk of colorectal cancer and future rates of surveillance for patients. The process of characterization is time-intensive and requires years of specialized medical training. In this work, we propose a deep-learning-based image analysis approach that not only can accurately classify different types of polyps in whole-slide images, but also generates major regions and features on the slide through a model visualization approach. We argue that this visualization approach will make sense of the underlying reasons for the classification outcomes, significantly reduce the cognitive burden on clinicians, and improve the diagnostic accuracy for whole-slide image characterization tasks. Our results show the efficacy of this network visualization approach in recovering decisive regions and features for different types of polyps on whole-slide images according to the domain expert pathologists.","","Electronic:978-1-5386-0733-6; POD:978-1-5386-0734-3","10.1109/CVPRW.2017.114","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8014848","","Agriculture;Backpropagation;Cancer;Computer architecture;Neural networks;Training;Visualization","","","","","","","","","","21-26 July 2017","","IEEE","IEEE Conference Publications"
"Retrieval From and Understanding of Large-Scale Multi-modal Medical Datasets: A Review","H. Müller; D. Unay","Information Systems Institute, HES-SO Valais, Sierre, Switzerland","IEEE Transactions on Multimedia","20170814","2017","19","9","2093","2104","Content-based multimedia retrieval (CBMR) has been an active research domain since the mid 1990s. In medicine visual retrieval started later and has mostly remained a research instrument and less a clinical tool. The limited size of data sets due to privacy constraints is often mentioned as reason for these limitations. Nevertheless, much work has been done in CBMR, including the availability of increasingly large data sets and scientific challenges. Annotated data sets and clinical data for images have now become available and can be combined for multi-modal retrieval. Much has been learned on user behavior and application scenarios. This text is motivated by the advances in medical image analysis and the availability of public large data sets that often include clinical data. It is a systematic review of recent work (concentrating on the period 2011-2017) on multi-modal CBMR and image understanding in the medical domain, where image understanding includes techniques such as detection, localization, and classification for leveraging visual content. With the objective of summarizing the current state of research for multimedia researchers outside the medical field, the text provides ways to get data sets and identifies current limitations and promising research directions. The text highlights advances in the past six years and a trend to use larger scale training data and deep learning approaches that can replace/complement hand-crafted features. Using images alone will likely only work in limited domains but combining multiple sources of data for multi-modal retrieval has the biggest chances of success, particularly for clinical impact.","1520-9210;15209210","","10.1109/TMM.2017.2729400","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984864","Big data;content–based image retrieval;deep learning;large scale datasets;medical images;multi–modality","Machine learning;Medical diagnostic imaging;Multimedia communication;Tools;Visualization","Big Data;data privacy;image retrieval;information retrieval;medical administrative data processing;medical image processing","active research domain;annotated data sets;clinical data;clinical impact;clinical tool;content-based multimedia retrieval;deep learning;hand-crafted features;large-scale multimodal medical datasets;medical domain;medical field;medical image analysis;medicine visual retrieval;multimedia researchers;multimodal CBMR;multimodal retrieval;privacy constraints;public large data sets;research instrument;training data;user behavior","","","","","","","20170719","Sept. 2017","","IEEE","IEEE Journals & Magazines"
