"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7950544,7918014,7493402,7163869,7961205,7949028,7966408,7954012,7950542,7950660,7950543,7576695,7883849,7844626,7841003,7727966,7727205,7163826,8005794,7862905,7950686,7950488,7950585,7950587,7947200,7934380,7776792,7926678,7872780,7555958,7493206,7404017,7426826,7422082,7401039,7393571,7422783",2017/09/15 09:40:09
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Scale Rotation-Invariant Convolutional Neural Networks for Lung Texture Classification","Q. Wang; Y. Zheng; g. yang; W. Jin; X. Chen; y. yin","School of Computer Science and Technology, Shandong University, Jinan 250101, China.(email:shdyn2000@mail.sdu.edu.cn)","IEEE Journal of Biomedical and Health Informatics","","2017","PP","99","1","1","We propose a new Multi-scale Rotation-invariant Convolutional Neural Network (MRCNN) model for classifying various lung tissue types on high-resolution computed tomography (HRCT). MRCNN employs Gabor-local binary pattern (Gabor-LBP) which introduces a good property in image analysis - invariance to image scales and rotations. In addition, we offer an approach to deal with the problems caused by imbalanced number of samples between different classes in most of the existing works, accomplished by changing the overlapping size between the adjacent patches. Experimental results on a public Interstitial Lung Disease (ILD) database show a superior performance of the proposed method to state-of-the-art.","2168-2194;21682194","","10.1109/JBHI.2017.2685586","NSFC Joint Fund with Guangdong under Key Project; National Natural Science Foundation of China under Grant; the Fostering Project of Dominant Discipline and Talent Team of Shandong Province Higher Education Institutions; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883849","Gabor filter;Interstitial Lung Disease (ILD) classification;convolutional neural network (CNN);local binary pattern (LBP);lung classification","Biomedical imaging;Computed tomography;Feature extraction;Informatics;Lungs;Neural networks;Support vector machines","","","","","","","","","20170321","","","IEEE","IEEE Early Access Articles"
"Adrenal lesions detection on low-contrast CT images using fully convolutional networks with multi-scale integration","L. Bi; J. Kim; T. Su; M. Fulham; D. Feng; G. Ning","School of Information Technologies, University of Sydney, Australia","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","895","898","Adrenal lesions include a wide variety of benign and malignant neoplasms of the adrenal gland, and are seen in up to 5% of computed tomography (CT) examinations of the abdomen. Better identification of these lesions is important for effective management and patient prognosis. Detection on low-contrast CT images, however, even for experienced physicians can be difficult and error-prone, because the lesions are often problematic to be separated from the normal surrounding structures. Existing lesion detection techniques have problems in identifying and differentiating low-contrast tumors, which is related to their use of low-level features rather than high level of semantics. Hence we propose an automated approach using fully convolutional networks (FCNs) and multi-scale integration to detect adrenal lesion on low-contrast CT scans. The architecture of FCNs includes deep, coarse, semantic information and shallow, fine, appearance information in a hierarchical manner and it enables the encoding of image-wide location and semantics, which are desirable characteristics for adrenal lesion detection. We also propose a multi-scale integration with a superpixel based random walk (MI-SRW) approach to refine the lesion boundaries on different scales. The MI-SRW technique enables us to constrain the spatial and appearance consistency and then use complementary information provided on different scales to detect adrenal lesions of various sizes and characteristics. We used 38 adrenal lesions detected on low-contrast CT and compared our approach to existing `state-of-the-art' methods and found that our approach had superior detection performance.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950660","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950660","Adrenal lesions;Detection;Fully Convolutional Networks (FCN)","Biomedical imaging;Computed tomography;Feature extraction;Lesions;Semantics;Support vector machines","biological organs;cancer;computerised tomography;feature extraction;image coding;medical image processing;tumours","MI-SRW approach;adrenal gland;adrenal lesion;adrenal lesion detection;adrenal lesions detection;appearance consistency;benign neoplasms;complementary information;computed tomography examinations;deep coarse semantic information;fully convolutional networks;hierarchical manner;image-wide location encoding;lesion boundaries;lesion detection techniques;low-contrast CT image detection;low-contrast CT images;low-contrast CT scans;low-contrast tumors;low-level features;malignant neoplasms;multiscale integration;normal surrounding structures;patient prognosis;semantics encoding;shallow fine appearance information;spatial consistency;superpixel based random walk","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Anatomy-specific classification of medical images using deep convolutional nets","H. R. Roth; C. T. Lee; H. C. Shin; A. Seff; L. Kim; J. Yao; L. Lu; R. M. Summers","Imaging Biomarkers and Computer-Aided Diagnosis Laboratory, Radiology and Imaging Sciences Department, National Institutes of Health Clinical Center, Bethesda, MD 20892, USA","2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI)","20150723","2015","","","101","104","Automated classification of human anatomy is an important prerequisite for many computer-aided diagnosis systems. The spatial complexity and variability of anatomy throughout the human body makes classification difficult. “Deep learning” methods such as convolutional networks (ConvNets) outperform other state-of-the-art methods in image classification tasks. In this work, we present a method for organ- or body-part-specific anatomical classification of medical images acquired using computed tomography (CT) with ConvNets. We train a ConvNet, using 4,298 separate axial 2D key-images to learn 5 anatomical classes. Key-images were mined from a hospital PACS archive, using a set of 1,675 patients. We show that a data augmentation approach can help to enrich the data set and improve classification performance. Using ConvNets and data augmentation, we achieve anatomy-specific classification error of 5.9 % and area-under-the-curve (AUC) values of an average of 0.998 in testing. We demonstrate that deep learning can be used to train very reliable and accurate classifiers that could initialize further computer-aided diagnosis.","1945-7928;19457928","Electronic:978-1-4799-2374-8; POD:978-1-4673-9330-0","10.1109/ISBI.2015.7163826","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7163826","Computed tomography (CT);Convolutional Networks;Deep Learning;Image Classification","Computed tomography;Convolution;Lungs;Medical diagnostic imaging;Neural networks;Training","PACS;biological organs;computerised tomography;image classification;medical image processing","ConvNets;anatomy variability;anatomy-specific classification;anatomy-specific classification error;area-under-the-curve;automated classification;axial 2D key-images;body part-specific anatomical classification;computed tomography;computer-aided diagnosis systems;convolutional networks;data augmentation;data augmentation approach;deep convolutional nets;deep learning methods;hospital PACS archive;human anatomy;image classification;medical images;organ-specific anatomical classification;spatial complexity","","5","","16","","","","16-19 April 2015","","IEEE","IEEE Conference Publications"
"Deep Convolutional Neural Network for Inverse Problems in Imaging","K. H. Jin; M. T. McCann; E. Froustey; M. Unser","Biomedical Imaging Group, &#x00C9;cole Polytechnique F&#x00E9;d&#x00E9;rale de Lausanne, Lausanne, Switzerland","IEEE Transactions on Image Processing","20170711","2017","26","9","4509","4522","In this paper, we propose a novel deep convolutional neural network (CNN)-based algorithm for solving ill-posed inverse problems. Regularized iterative algorithms have emerged as the standard approach to ill-posed inverse problems in the past few decades. These methods produce excellent results, but can be challenging to deploy in practice due to factors including the high computational cost of the forward and adjoint operators and the difficulty of hyperparameter selection. The starting point of this paper is the observation that unrolled iterative methods have the form of a CNN (filtering followed by pointwise nonlinearity) when the normal operator (H*H, where H* is the adjoint of the forward imaging operator, H) of the forward model is a convolution. Based on this observation, we propose using direct inversion followed by a CNN to solve normal-convolutional inverse problems. The direct inversion encapsulates the physical model of the system, but leads to artifacts when the problem is ill posed; the CNN combines multiresolution decomposition and residual learning in order to learn to remove these artifacts while preserving image structure. We demonstrate the performance of the proposed network in sparse-view reconstruction (down to 50 views) on parallel beam X-ray computed tomography in synthetic phantoms as well as in real experimental sinograms. The proposed network outperforms total variation-regularized iterative reconstruction for the more realistic phantoms and requires less than a second to reconstruct a 512 × 512 image on the GPU.","1057-7149;10577149","","10.1109/TIP.2017.2713099","10.13039/100000070 - National Institute of Biomedical Imaging and Bioengineering; 10.13039/100010661 - European Union¿¿¿s Horizon 2020 Framework Programme for Research and Innovation (call 2015); 10.13039/501100000781 - European Research Council (H2020-ERC Project GlobalBioIm); 10.13039/501100006391 - Center for Biomedical Imaging of the Geneva-Lausanne Universities and EPFL; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7949028","Image restoration;biomedical imaging;biomedical signal processing;computed tomography;image reconstruction;magnetic resonance imaging;reconstruction algorithms;tomography","Computed tomography;Convolution;Image reconstruction;Inverse problems;Iterative methods;Neural networks","computerised tomography;feedforward neural nets;image resolution;iterative methods;learning (artificial intelligence);medical image processing","CNN;GPU;adjoint operators;deep convolutional neural network;direct inversion;forward model;forward operators;hyperparameter selection;ill-posed inverse problems;image structure;multiresolution decomposition;normal-convolutional inverse problems;parallel beam X-ray computed tomography;regularized iterative algorithms;residual learning;synthetic phantoms;total variation-regularized iterative reconstruction","","","","","","","20170615","Sept. 2017","","IEEE","IEEE Journals & Magazines"
"Convolutional Neural Networks for Medical Image Analysis: Full Training or Fine Tuning?","N. Tajbakhsh; J. Y. Shin; S. R. Gurudu; R. T. Hurst; C. B. Kendall; M. B. Gotway; J. Liang","Department of Biomedical Informatics, Arizona State University, Scottsdale, AZ, USA","IEEE Transactions on Medical Imaging","20160429","2016","35","5","1299","1312","Training a deep convolutional neural network (CNN) from scratch is difficult because it requires a large amount of labeled training data and a great deal of expertise to ensure proper convergence. A promising alternative is to fine-tune a CNN that has been pre-trained using, for instance, a large set of labeled natural images. However, the substantial differences between natural and medical images may advise against such knowledge transfer. In this paper, we seek to answer the following central question in the context of medical image analysis: Can the use of pre-trained deep CNNs with sufficient fine-tuning eliminate the need for training a deep CNN from scratch? To address this question, we considered four distinct medical imaging applications in three specialties (radiology, cardiology, and gastroenterology) involving classification, detection, and segmentation from three different imaging modalities, and investigated how the performance of deep CNNs trained from scratch compared with the pre-trained CNNs fine-tuned in a layer-wise manner. Our experiments consistently demonstrated that 1) the use of a pre-trained CNN with adequate fine-tuning outperformed or, in the worst case, performed as well as a CNN trained from scratch; 2) fine-tuned CNNs were more robust to the size of training sets than CNNs trained from scratch; 3) neither shallow tuning nor deep tuning was the optimal choice for a particular application; and 4) our layer-wise fine-tuning scheme could offer a practical way to reach the best performance for the application at hand based on the amount of available data.","0278-0062;02780062","","10.1109/TMI.2016.2535302","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426826","Carotid intima-media thickness;computer-aided detection;convolutional neural networks;deep learning;fine-tuning;medical image analysis;polyp detection;pulmonary embolism detection;video quality assessment","Biomedical imaging;Computed tomography;Feature extraction;Image analysis;Image segmentation;Training;Tuning","biomedical optical imaging;endoscopes;image classification;image segmentation;medical image processing;neural nets","cardiology;classification;deep convolutional neural network;distinct medical imaging applications;gastroenterology;imaging modalities;labeled training data;layer-wise fine-tuning scheme;medical image analysis;radiology;segmentation","","34","","76","","","20160307","May 2016","","IEEE","IEEE Journals & Magazines"
"Size and Texture-Based Classification of Lung Tumors with 3D CNNs","Z. Luo; M. A. Brubaker; M. Brudno","","2017 IEEE Winter Conference on Applications of Computer Vision (WACV)","20170515","2017","","","806","814","In this paper, we explore the use of current deep learning methods in the field of computer-aided diagnosis (CAD). Specifically we propose the use of 3D convolutional neural nets (CNN) in classifying lung nodules based off of their appearance in CT scans. We explore the choices of network architectures, learning parameters and problem formulations. Comparing these results to other methods we show that the proposed method has close to perfect performance on the publicly available LIDC dataset, achieving an AUC of 0:9685 and a false positive rate of 0:46% with a true positive rate of 90% where the ground truth is the expert opinion of a radiologist.","","Electronic:978-1-5090-4822-9; POD:978-1-5090-4823-6","10.1109/WACV.2017.95","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7926678","","Biological neural networks;Cancer;Computed tomography;Lungs;Three-dimensional displays;Tumors","","","","","","","","","","24-31 March 2017","","IEEE","IEEE Conference Publications"
"Lung nodule detection in CT images using deep convolutional neural networks","R. Golan; C. Jacob; J. Denzinger","Dept. of Computer Science, University of Calgary, Alberta, Canada T2N 1N4","2016 International Joint Conference on Neural Networks (IJCNN)","20161103","2016","","","243","250","Early detection of lung nodules in thoracic Computed Tomography (CT) scans is of great importance for the successful diagnosis and treatment of lung cancer. Due to improvements in screening technologies, and an increased demand for their use, radiologists are required to analyze an ever increasing amount of image data, which can affect the quality of their diagnoses. Computer-Aided Detection (CADe) systems are designed to assist radiologists in this endeavor. Here, we present a CADe system for the detection of lung nodules in thoracic CT images. Our system is based on (1) the publicly available Lung Image Database Consortium (LIDC) and Image Database Resource Initiative (IDRI) database, which contains 1018 thoracic CT scans with nodules of different shape and size, and (2) a deep Convolutional Neural Network (CNN), which is trained, using the back-propagation algorithm, to extract valuable volumetric features from the input data and detect lung nodules in sub-volumes of CT images. Considering only those test nodules that have been annotated by four radiologists, our CADe system achieves a sensitivity (true positive rate) of 78.9% with 20 false positives (FPs) per scan, or a sensitivity of 71.2% with 10 FPs per scan. This is achieved without using any segmentation or additional FP reduction procedures, both of which are commonly used in other CADe systems. Furthermore, our CADe system is validated on a larger number of lung nodules compared to other studies, which increases the variation in their appearance, and therefore, makes their detection by a CADe system more challenging.","","","10.1109/IJCNN.2016.7727205","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7727205","","Biological neural networks;Biomedical imaging;Cancer;Computed tomography;Image databases;Lungs","backpropagation;cancer;computerised tomography;feature extraction;medical image processing;neural nets;object detection;patient diagnosis;patient treatment","CADe systems;CNN;IDRI database;LIDC database;backpropagation algorithm;computer-aided detection system;deep convolutional neural network;deep convolutional neural networks;image data;image database resource initiative database;lung cancer diagnosis;lung cancer treatment;lung image database consortium database;lung nodule detection;screening technology;thoracic CT images;thoracic computed tomography scans;valuable volumetric feature extraction","","","","","","","","24-29 July 2016","","IEEE","IEEE Conference Publications"
"Low-Dose CT with a Residual Encoder-Decoder Convolutional Neural Network (RED-CNN)","H. Chen; Y. Zhang; M. K. Kalra; F. Lin; Y. Chen; P. Liao; J. Zhou; G. Wang","College of Computer Science, Sichuan University, Chengdu 610065, China.","IEEE Transactions on Medical Imaging","","2017","PP","99","1","1","Given the potential risk of X-ray radiation to the patient, low-dose CT has attracted a considerable interest in the medical imaging field. Currently, the main stream low-dose CT methods include vendor-specific sinogram domain filtration and iterative reconstruction algorithms, but they need to access raw data whose formats are not transparent to most users. Due to the difficulty of modeling the statistical characteristics in the image domain, the existing methods for directly processing reconstructed images cannot eliminate image noise very well while keeping structural details. Inspired by the idea of deep learning, here we combine the autoencoder, deconvolution network, and shortcut connections into the residual encoder-decoder convolutional neural network (RED-CNN) for low-dose CT imaging. After patch-based training, the proposed RED-CNN achieves a competitive performance relative to the-state-of-art methods in both simulated and clinical cases. Especially, our method has been favorably evaluated in terms of noise suppression, structural preservation, and lesion detection.","0278-0062;02780062","","10.1109/TMI.2017.2715284","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7947200","Low-dose CT;auto-encoder;convolutional;deconvolutional;deep learning;residual neural network","Computed tomography;Convolution;Decoding;Feature extraction;Image reconstruction;X-ray imaging","","","","","","","","","20170613","","","IEEE","IEEE Early Access Articles"
"Automatic segmentation of the left ventricle in cardiac CT angiography using convolutional neural networks","M. Zreik; T. Leiner; B. D. de Vos; R. W. van Hamersvelt; M. A. Viergever; I. Išgum","Image Sciences Institute, University Medical Center Utrecht, The Netherlands","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","40","43","Accurate delineation of the left ventricle (LV) is an important step in evaluation of cardiac function. In this paper, we present an automatic method for segmentation of the LV in cardiac CT angiography (CCTA) scans. Segmentation is performed in two stages. First, a bounding box around the LV is detected using a combination of three convolutional neural networks (CNNs). Subsequently, to obtain the segmentation of the LV, voxel classification is performed within the defined bounding box using a CNN. The study included CCTA scans of sixty patients, fifty scans were used to train the CNNs for the LV localization, five scans were used to train LV segmentation and the remaining five scans were used for testing the method. Automatic segmentation resulted in the average Dice coefficient of 0.85 and mean absolute surface distance of 1.1 mm. The results demonstrate that automatic segmentation of the LV in CCTA scans using voxel classification with convolutional neural networks is feasible.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493206","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493206","Cardiac CT Angiography;Classification;Convolutional Neural Network;Deep learning;Left ventricle segmentation","Biomedical imaging;Computed tomography;Heart;Image segmentation;Manuals;Neural networks;Observers","","","","","","16","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
"Classification of radiology reports using neural attention models","B. Shin; F. H. Chokshi; T. Lee; J. D. Choi","Mathematics and Computer Science, Emory University, Atlanta, GA 30322","2017 International Joint Conference on Neural Networks (IJCNN)","20170703","2017","","","4363","4370","The electronic health record (EHR) contains a large amount of multi-dimensional and unstructured clinical data of significant operational and research value. Distinguished from previous studies, our approach embraces a double-annotated dataset and strays away from obscure “black-box” models to comprehensive deep learning models. In this paper, we present a novel neural attention mechanism that not only classifies clinically important findings. Specifically, convolutional neural networks (CNN) with attention analysis are used to classify radiology head computed tomography reports based on five categories that radiologists would account for in assessing acute and communicable findings in daily practice. The experiments show that our CNN attention models outperform non-neural models, especially when trained on a larger dataset. Our attention analysis demonstrates the intuition behind the classifier's decision by generating a heatmap that highlights attended terms used by the CNN model; this is valuable when potential downstream medical decisions are to be performed by human experts or the classifier information is to be used in cohort construction such as for epidemiological studies.","","Electronic:978-1-5090-6182-2; POD:978-1-5090-6183-9","10.1109/IJCNN.2017.7966408","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7966408","","Computational modeling;Convolution;Machine learning;Neural networks;Radiology;Sentiment analysis;Support vector machines","computerised tomography;convolution;data analysis;electronic health records;neural nets;pattern classification;radiology","CNN;EHR;attention analysis;convolutional neural networks;double-annotated dataset;electronic health record;neural attention mechanism;neural attention models;radiology head computed tomography reports classification","","","","","","","","14-19 May 2017","","IEEE","IEEE Conference Publications"
