"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3DConvolutional+mri",2017/09/15 09:43:17
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Residual and plain convolutional neural networks for 3D brain MRI classification","S. Korolev; A. Safiullin; M. Belyaev; Y. Dodonova","Skolkovo Institute of Science and Technology, Russia","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","835","838","In the recent years there have been a number of studies that applied deep learning algorithms to neuroimaging data. Pipelines used in those studies mostly require multiple processing steps for feature extraction, although modern advancements in deep learning for image classification can provide a powerful framework for automatic feature generation and more straightforward analysis. In this paper, we show how similar performance can be achieved skipping these feature extraction steps with the residual and plain 3D convolutional neural network architectures. We demonstrate the performance of the proposed approach for classification of Alzheimer's disease versus mild cognitive impairment and normal controls on the Alzheimers Disease National Initiative (ADNI) dataset of 3D structural MRI brain scans.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950647","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950647","Alzheimer's Disease;Convolutional Neural Network;Deep Learning;MRI;Residual Neural Network","Alzheimer's disease;Biological neural networks;Feature extraction;Machine learning;Magnetic resonance imaging;Three-dimensional displays","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural net architecture","3D brain MRI classification;3D plain convolutional neural network architecture;3D residual convolutional neural network architecture;3D structural MRI brain scans;ADNI dataset;Alzheimers disease national initiative dataset;cognitive impairment;deep learning algorithms;feature extraction;feature generation;image classification;neuroimaging data","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Brain MRI super-resolution using deep 3D convolutional networks","C. H. Pham; A. Ducournau; R. Fablet; F. Rousseau","Institut Mines T&#x00E9;l&#x00E9;com Atlantique, LaTIM U1101 INSERM, France","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","197","200","Example-based single image super-resolution (SR) has recently shown outcomes with high reconstruction performance. Several methods based on neural networks have successfully introduced techniques into SR problem. In this paper, we propose a three-dimensional (3D) convolutional neural network to generate high-resolution (HR) brain image from its input low-resolution (LR) with the help of patches of other HR brain images. Our work demonstrates the need of fitting data and network parameters for 3D brain MRI.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950500","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950500","3D convolutional neural network;Super-resolution;brain MRI","Biological neural networks;Image resolution;Image restoration;Magnetic resonance imaging;Three-dimensional displays;Training;Two dimensional displays","biomedical MRI;brain;image reconstruction;image resolution;medical image processing;neural nets;neurophysiology","3D brain MRI;HR brain images;SR problem;brain MRI super-resolution;data fitting;deep 3D convolutional networks;example-based single image super-resolution;high reconstruction performance;high-resolution brain image;input low-resolution;network parameters;neural networks;three-dimensional convolutional neural network","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Biopsy-guided learning with deep convolutional neural networks for Prostate Cancer detection on multiparametric MRI","Y. Tsehay; N. Lay; X. Wang; J. T. Kwak; B. Turkbey; P. Choyke; P. Pinto; B. Wood; R. M. Summers","Imaging Biomarkers and Computer-Aided Diagnosis Laboratory, Department of Radiology and Imaging Science, National Institute of Health, Clinical Center, Bethesda, MD 20892, United States of America","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","642","645","Prostate Cancer (PCa) is highly prevalent and is the second most common cause of cancer-related deaths in men. Multiparametric MRI (mpMRI) is robust in detecting PCa. We developed a weakly supervised computer-aided detection (CAD) system that uses biopsy points to learn to identify PCa on mpMRI. Our CAD system, which is based on a deep convolutional neural network architecture, yielded an area under the curve (AUC) of 0.903±0.009 on a receiver operation characteristic (ROC) curve computed on 10 different models in a 10 fold cross-validation. 9 of the 10 ROCs were statistically significantly different from a competing support vector machine based CAD, which yielded a 0.86 AUC when tested on the same dataset (α = 0.05). Furthermore, our CAD system proved to be more robust in detecting high-grade transition zone lesions.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950602","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950602","Biopsy Database;Computer-Aided Detection;Holistically-nested Edge Detection;Prostate;Prostate-CAD;Radiology","Biopsy;Databases;Lesions;Principal component analysis;Solid modeling;Training","biomedical MRI;cancer;learning (artificial intelligence);medical image processing;neural nets;sensitivity analysis;support vector machines","biopsy-guided learning;computer-aided detection;deep convolutional neural network;multiparametric MRI;prostate cancer detection;receiver operation characteristic curve;support vector machine","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Identifying Carotid Plaque Composition in MRI with Convolutional Neural Networks","Y. Dong; Y. Pan; X. Zhao; R. Li; C. Yuan; W. Xu","Inst. for Interdiscipl. Inf. Sci., Tsinghua Univ., Beijing, China","2017 IEEE International Conference on Smart Computing (SMARTCOMP)","20170615","2017","","","1","8","Carotid plaques may cause strokes. The composition of the plaque helps assessing the risk. Magnetic resonance imaging (MRI) is a powerful technology for analyzing the composition. It is both tedious and error-prone for a human radiologist to review such images. Traditional computer-aided diagnosis tools use manually crafted features that lack both generality and accuracy. We propose a novel approach using Deep convolutional neural networks (CNN) to classify these plaque tissues. In order to accommodate the multi-contrast MRI images, we modify state-of-the-art CNN models to support different number of input channels, and also adapt the models to do pixel- wise predictions. On a dataset with 1,098 human subjects, we show that we achieve significantly better accuracy than previous models. Our result also indicates interesting relations between contrast weightings and tissue types.","","Electronic:978-1-5090-6517-2; POD:978-1-5090-6518-9","10.1109/SMARTCOMP.2017.7947015","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7947015","","Adaptation models;Atherosclerosis;Biomedical imaging;Hemorrhaging;Magnetic resonance imaging;Neural networks","biomedical MRI;feedforward neural nets;medical image processing","CNN;carotid plaque composition;contrast weightings;deep convolutional neural networks;human radiologist;magnetic resonance imaging;multicontrast MRI images;plaque tissues;tissue types","","","","","","","","29-31 May 2017","","IEEE","IEEE Conference Publications"
"On hierarchical brain tumor segmentation in MRI using fully convolutional neural networks: A preliminary study","S. Pereira; A. Oliveira; V. Alves; C. A. Silva","CMEMS-UMinho Research Unit, University of Minho, Guimar&#x00E3;es, Portugal","2017 IEEE 5th Portuguese Meeting on Bioengineering (ENBENG)","20170330","2017","","","1","4","Magnetic Resonance Imaging is the preferred imaging modality for assessing brain tumors, and segmentation is necessary for diagnosis and treatment planning. Thus, robust automatic segmentation methods are required. Machine learning proposals where the model is learned from data are quite successful. Hierarchical segmentation approaches firstly segment the whole tumor, followed by intra-tumor tissue identification. However, results comparing it with single stages approaches are needed, as state of the art results are also achieved by all-at-once strategies. Currently, fully convolutional networks approaches for segmentation are very efficient. In this paper, a hierarchical approach for brain tumor segmentation using a fully convolutional network is studied. The evaluation is performed on the Brain Tumor Segmentation Challenge 2013 dataset, and we report the metrics Dice Score Coefficient, Positive Predictive Value, and Sensitivity. Results show benefits from segmenting the complete tumor first, over all tissues in one stage. Moreover, the tumor core also benefits from such approach. This behavior may be justified by the high data imbalance observed between tumor and normal tissues, which is mitigated by considering the tumor as a whole.","","Electronic:978-1-5090-4801-4; POD:978-1-5090-4802-1","10.1109/ENBENG.2017.7889452","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889452","Brain tumor segmentation;Convolutional neural network;Magnetic Resonance Imaging","Image segmentation;Magnetic resonance imaging;Neural networks;Sensitivity;Training;Tumors","biomedical MRI;brain;image segmentation;medical image processing;neural nets;tumours","MRI;hierarchical brain tumor segmentation;machine learning;magnetic resonance imaging;neural networks","","","","","","","","16-18 Feb. 2017","","IEEE","IEEE Conference Publications"
"Mental Disease Feature Extraction with MRI by 3D Convolutional Neural Network with Multi-channel Input","L. Cao; Z. Liu; X. He; Y. Cao; K. Li","Sch. of Inf. Sci. & Eng., Shandong Univ., Jinan, China","2016 IEEE International Conference on Smart Cloud (SmartCloud)","20161226","2016","","","224","227","Magnetic resonance imaging (MRI) plays an important role in early diagnosis, which can accurately capture the disease variations of the anatomical brain structure. We propose a novel method for improving feature extraction performance from magnetic resonance images (MRI). This study presents a combination of multi-channel input and 3D convolutional neural network architecture which can reduce the feature dimensionality. Multi-channel input scheme is devised to apply prior knowledge on MRI original inputs in order to overcame possibly uncertainty and unsteadiness on the final features. While, the 3D-CNN model can simultaneously extract features from spatial and temporal dimensions for purpose of capturing the variations of constructive information.","","Electronic:978-1-5090-5263-9; POD:978-1-5090-5264-6","10.1109/SmartCloud.2016.38","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7796178","3D convolutional neural network;MRI;Multi-channel input;feature extraction","Convolution;Feature extraction;Kernel;Magnetic resonance imaging;Three-dimensional displays;Wavelet transforms","biomedical MRI;brain;convolution;diseases;feature extraction;medical image processing;neural nets;patient diagnosis;stereo image processing","3D convolutional neural network;MRI;anatomical brain structure;diagnosis;magnetic resonance imaging;mental disease feature extraction;multichannel input","","","","","","","","18-20 Nov. 2016","","IEEE","IEEE Conference Publications"
"MRI image segmentation by fully convolutional networks","Y. Wang; Z. Sun; C. Liu; W. Peng; J. Zhang","Key Laboratory of Convergence Medical Engineering System and Healthcare Technology, the Ministry of Industry and Information Technology, School of Life Science, Beijing Institute of Technology, Beijing, China","2016 IEEE International Conference on Mechatronics and Automation","20160905","2016","","","1697","1702","With the development of various imaging technologies, medical imaging has been playing more important roles on providing scientific proof for doctors to make decisions on clinical diagnosis. At the same time, it is very important to excavate valuable information hidden in those images and take over some auxiliary medical works from doctors by the computer. Therefore, a large number of image segmentation methods, including some classic algorithms have been proposed and some of them perform well. In this paper, we built a deep convolutional neural network to segment the MRI brain images. Results show that the network has a good performance on segmentation of the gray and white matter of brains, it also had a good generalization ability.","","CD-ROM:978-1-5090-2394-3; Electronic:978-1-5090-2396-7; POD:978-1-5090-2397-4","10.1109/ICMA.2016.7558819","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7558819","MRI brain imaging;deep convolutional network;fully convolutional network;image segmentation","Agriculture;Brain;Image segmentation;Magnetic resonance imaging;Medical diagnostic imaging;Medical services","biomedical MRI;image segmentation;medical image processing;neural nets","MRI brain images;MRI image segmentation;deep convolutional neural network;magnetic resonance imaging","","","","","","","","7-10 Aug. 2016","","IEEE","IEEE Conference Publications"
"Compressed sensing reconstruction of dynamic contrast enhanced MRI using GPU-accelerated convolutional sparse coding","T. M. Quan; W. K. Jeong","School of Electrical and Computer Engineering, Ulsan National Institute of Science and Technology (UNIST), Ulsan, South Korea","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","518","521","In this paper, we propose a data-driven image reconstruction algorithm that specifically aims to reconstruct undersampled dynamic contrast enhanced (DCE) MRI data. The proposed method is based on the convolutional sparse coding algorithm, which leverages the Fourier convolution theorem to accelerate the process of learning a collections of filters and iteratively refines the reconstruction result using the sparse codes found during the reconstruction process. We introduce a novel energy formation based on the learning over time-varing DCE-MRI images, and propose an extension of Alternating Direction Method of Multiplier (ADMM) method to solve the constrained optimization problem efficiently using the GPU. We assess the performance of the proposed method by comparing with the state-of-the-art dictionary-based compressed sensing (CS) MRI method.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493321","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493321","Compressed Sensing;Convolutional Sparse Coding;GPU;MRI","Convolution;Convolutional codes;Dictionaries;Encoding;Fourier transforms;Image reconstruction;Magnetic resonance imaging","","","","","","7","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
"Brain Tumor Segmentation Using Convolutional Neural Networks in MRI Images","S. Pereira; A. Pinto; V. Alves; C. A. Silva","CMEMS-UMinho Research Unit, University of Minho, Guimar&#x00E3;es, Portugal","IEEE Transactions on Medical Imaging","20160429","2016","35","5","1240","1251","Among brain tumors, gliomas are the most common and aggressive, leading to a very short life expectancy in their highest grade. Thus, treatment planning is a key stage to improve the quality of life of oncological patients. Magnetic resonance imaging (MRI) is a widely used imaging technique to assess these tumors, but the large amount of data produced by MRI prevents manual segmentation in a reasonable time, limiting the use of precise quantitative measurements in the clinical practice. So, automatic and reliable segmentation methods are required; however, the large spatial and structural variability among brain tumors make automatic segmentation a challenging problem. In this paper, we propose an automatic segmentation method based on Convolutional Neural Networks (CNN), exploring small 3 ×3 kernels. The use of small kernels allows designing a deeper architecture, besides having a positive effect against overfitting, given the fewer number of weights in the network. We also investigated the use of intensity normalization as a pre-processing step, which though not common in CNN-based segmentation methods, proved together with data augmentation to be very effective for brain tumor segmentation in MRI images. Our proposal was validated in the Brain Tumor Segmentation Challenge 2013 database (BRATS 2013), obtaining simultaneously the first position for the complete, core, and enhancing regions in Dice Similarity Coefficient metric (0.88, 0.83, 0.77) for the Challenge data set. Also, it obtained the overall first position by the online evaluation platform. We also participated in the on-site BRATS 2015 Challenge using the same model, obtaining the second place, with Dice Similarity Coefficient metric of 0.78, 0.65, and 0.75 for the complete, core, and enhancing regions, respectively.","0278-0062;02780062","","10.1109/TMI.2016.2538465","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426413","Brain tumor;brain tumor segmentation;convolutional neural networks;deep learning;glioma;magnetic resonance imaging","Brain modeling;Context;Image segmentation;Kernel;Magnetic resonance imaging;Training;Tumors","biomedical MRI;brain;cancer;image segmentation;medical image processing;neurophysiology;tumours","CNN-based segmentation methods;Dice similarity coefficient metrics;MRI images;automatic segmentation;automatic segmentation methods;brain tumor segmentation;clinical practice;convolutional neural networks;data augmentation;gliomas;imaging technique;intensity normalization;kernels;magnetic resonance imaging;manual segmentation;on-site BRATS 2015 Challenge;oncological patients;online evaluation platform;precise quantitative measurements;preprocessing step;quality-of-life;reliable segmentation methods;spatial variability;structural variability","","15","","52","","","20160304","May 2016","","IEEE","IEEE Journals & Magazines"
"Deep Convolutional Neural Networks for left ventricle segmentation","S. Molaei; M. Shiri; K. Horan; D. Kahrobaei; B. Nallamothu; K. Najarian","Department of Emergency Medicine, University of Michigan, Ann Arbor, USA","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","668","671","Left ventricle (LV) segmentation is crucial for quantitative cardiac function analysis. Manual segmentation of the endocardium and epicardium is highly cumbersome; physicians limit delineation to the end-diastolic and end-systolic phases. A fully automated system could provide an analysis of cardiac morphology for all phases in a much shorter time. Most of the current LV segmentation methods are semi-automated and require error prone manual initialization. A fully-automated LV segmentation method would expedite the functional analysis of the LV, reduce subjectivity and improve patient experience. We automatically segment the LV wall in cardiac MRI images with a Deep Convolutional Neural Network (DCNN). This algorithm first calculates the probability of a pixel belonging to the LV wall or background and then generates a label based on those probabilities without manual initialization. We then compare these results to the results obtained with another DCNN initialization method using Gabor filters. With Gabor DCNN we obtain an accuracy of 0.97, specificity of 0.984, sensitivity of 0.841 and mean accuracy of 0.902. This shows that Gabor filters perform better than random filters in the DCNN for LV segmentation.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036913","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036913","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Constrained Deep Weak Supervision for Histopathology Image Segmentation","Z. Jia; X. Huang; E. I. C. Chang; Y. Xu","Microsoft Research, Beijing 100080, China and Institute for Interdisciplinary Information Sciences, Tsinghua University, Beijing 100084, China.","IEEE Transactions on Medical Imaging","","2017","PP","99","1","1","In this paper, we develop a new weakly-supervised learning algorithm to learn to segment cancerous regions in histopathology images. Our work is under a multiple instance learning framework (MIL) with a new formulation, deep weak supervision (DWS); we also propose an effective way to introduce constraints to our neural networks to assist the learning process. The contributions of our algorithm are threefold: (1) We build an end-to-end learning system that segments cancerous regions with fully convolutional networks (FCN) in which image-toimage weakly-supervised learning is performed. (2) We develop a deep week supervision formulation to exploit multi-scale learning under weak supervision within fully convolutional networks. (3) Constraints about positive instances are introduced in our approach to effectively explore additional weakly-supervised information that is easy to obtain and enjoys a significant boost to the learning process. The proposed algorithm, abbreviated as DWS-MIL, is easy to implement and can be trained efficiently. Our system demonstrates state-of-the-art results on large-scale histopathology image datasets and can be applied to various applications in medical imaging beyond histopathology images such as MRI, CT, and ultrasound images.","0278-0062;02780062","","10.1109/TMI.2017.2724070","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7971941","Convolutional neural networks;fully convolutional networks;histopathology image segmentation;multiple instance learning;weakly supervised learning","Biomedical imaging;Cancer;Image segmentation;Neural networks;Prediction algorithms;Supervised learning;Training","","","","","","","","","20170707","","","IEEE","IEEE Early Access Articles"
