"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dcnn+medical",2017/09/15 10:02:56
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Variational computing based segmentation methods for medical imaging by using CNN","A. Gacsádi; P. Szolgay","Electronics Department, University of Oradea, Oradea, Romania","2010 12th International Workshop on Cellular Nanoscale Networks and their Applications (CNNA 2010)","20100329","2010","","","1","6","The paper presents a new variational computing based medical image segmentation method by using Cellular Neural Networks (CNN). By implementing the proposed algorithm on FPGA (Field Programmable Gate Array) with an emulated digital CNN-UM (CNN-Universal Machine) there is the possibility to meet the requirements for medical image segmentation.","2165-0144;21650144","Electronic:978-1-4244-6680-1; POD:978-1-4244-6679-5","10.1109/CNNA.2010.5430256","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5430256","cellular neural networks;medical imaging;segmentation;variational computing","Application software;Biomedical imaging;Cellular networks;Cellular neural networks;Computed tomography;Computer networks;Image segmentation;Magnetic resonance imaging;Medical diagnostic imaging;Optimization methods","cellular neural nets;field programmable gate arrays;image segmentation;medical image processing;variational techniques","cellular neural networks;digital CNN-universal machine;field programmable gate array;medical image segmentation;medical imaging;variational computing","","3","","20","","","","3-5 Feb. 2010","","IEEE","IEEE Conference Publications"
"Design of complex-valued CNN filters for medical image enhancement","K. Kondo; M. Iguchi; H. Ishigaki; Y. Konishi; K. Mabuchi","Fac. of Eng., Himeji Inst. of Technol., Hyogo, Japan","Proceedings Joint 9th IFSA World Congress and 20th NAFIPS International Conference (Cat. No. 01TH8569)","20020807","2001","3","","1642","1646 vol.3","In this paper, we present a new image enhancement technique, using cellular neural network (CNN) filters with complex weighting factors, that is applicable to medical images. Since CNN-type filters have only spatially local interconnections and the number of connections between neurons is relatively low, the required computation in the learning phase is a reasonable amount. However, the output/input behavior is restrictive. The proposed CNN filters are designed as complex-coefficient filters which can improve the output SNR and process the 2D analytic signals of input images. The filter parameters are determined by applying a complex domain backpropagation algorithm. Through several simulations, it is shown that the proposed filters are robust and noise-tolerant for medical images","","POD:0-7803-7078-3","10.1109/NAFIPS.2001.943797","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=943797","","Backpropagation algorithms;Biomedical imaging;Cellular neural networks;Filters;Image analysis;Image enhancement;Neurons;Signal analysis;Signal design;Signal processing","backpropagation;cellular neural nets;filtering theory;image enhancement;medical image processing","2D analytic signal processing;complex domain backpropagation algorithm;complex weighting factors;complex-coefficient filters;complex-valued cellular neural network filters;computational requirements;filter parameters;learning phase;medical image enhancement;noise tolerance;output/input behavior;robustness;signal-to-noise ratio;simulations;spatially local neuron interconnections","","0","","6","","","","25-28 July 2001","25 Jul 2001-28 Jul 2001","IEEE","IEEE Conference Publications"
"Medical Concept Normalization for Online User-Generated Texts","K. Lee; S. A. Hasan; O. Farri; A. Choudhary; A. Agrawal","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","462","469","Social media has become an important tool for sharing content in the last decade. People often talk about their experiences and opinions on different health-related issues e.g. they write reviews on medications, describe symptoms and ask informal questions about various health concerns. Due to the colloquial nature of the languages used in the social media, it is often difficult for an automated system to accurately interpret them for appropriate clinical understanding. To address this challenge, this paper proposes a novel approach for medical concept normalization of user-generated texts to map a health condition described in the colloquial language to a medical concept defined in standard clinical terminologies. We use multiple deep learning architectures such as convolutional neural networks (CNN) and recurrent neural networks (RNN) with input word embeddings trained on various clinical domain-specific knowledge sources. Extensive experiments on two benchmark datasets demonstrate that the proposed models can achieve up to 21.28% accuracy improvements over the existing models when we use the combination of all knowledge sources to learn neural embeddings.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.59","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031195","deep learning;medical concept normalization;social media","Drugs;Hair;Hidden Markov models;Medical diagnostic imaging;Pain;Recurrent neural networks;Social network services","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"Image quality classification for DR screening using deep learning","F. Yu; J. Sun; A. Li; J. Cheng; C. Wan; J. Liu","Nanjing University of Aeronautics and Astronautics, China","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","664","667","The quality of input images significantly affects the outcome of automated diabetic retinopathy (DR) screening systems. Unlike the previous methods that only consider simple low-level features such as hand-crafted geometric and structural features, in this paper we propose a novel method for retinal image quality classification (IQC) that performs computational algorithms imitating the working of the human visual system. The proposed algorithm combines unsupervised features from saliency map and supervised features coming from convolutional neural networks (CNN), which are fed to an SVM to automatically detect high quality vs poor quality retinal fundus images. We demonstrate the superior performance of our proposed algorithm on a large retinal fundus image dataset and the method could achieve higher accuracy than other methods. Although retinal images are used in this study, the methodology is applicable to the image quality assessment and enhancement of other types of medical images.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036912","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036912","convolutional neural networks;image quality classification;saliency map","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Fine-grained image recognition via weakly supervised click data guided bilinear CNN model","G. Zheng; M. Tan; J. Yu; Q. Wu; J. Fan","Key Laboratory of Complex Systems Modeling and Simulation, School of Computer Science and Technology, Hangzhou Dianzi University","2017 IEEE International Conference on Multimedia and Expo (ICME)","20170831","2017","","","661","666","Bilinear convolutional neural networks (BCNN) model, the state-of-the-art in fine-grained image recognition, fails in distinguishing the categories with subtle visual differences. We design a novel BCNN model guided by user click data (C-BCNN) to improve the performance via capturing both the visual and semantical content in images. Specially, to deal with the heavy noise in large-scale click data, we propose a weakly supervised learning approach to learn the C-BCNN, namely W-C-BCNN. It can automatically weight the training images based on their reliability. Extensive experiments are conducted on the public Clickture-Dog dataset. It shows that: (1) integrating CNN with click feature largely improves the performance; (2) both the click data and visual consistency can help to model image reliability. Moreover, the method can be easily customized to medical image recognition. Our model performs much better than conventional BCNN models on both the Clickture-Dog and medical image dataset.","","Electronic:978-1-5090-6067-2; POD:978-1-5090-6068-9; USB:978-1-5090-6066-5","10.1109/ICME.2017.8019407","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019407","Bilinear CNN;Fine-grained Image Recognition;User Click Data;Weakly Supervised Learning","Computational modeling;Data models;Feature extraction;Image recognition;Reliability;Training;Visualization","","","","","","","","","","10-14 July 2017","","IEEE","IEEE Conference Publications"
"Analysis of Disfluencies for automatic detection of Mild Cognitive Impartment: a deep learning approach","K. Lopez-de-Ipina; U. Martinez-de-Lizarduy; P. M. Calvo; B. Beitia; J. Garcia-Melero; M. Ecay-Torres; A. Estanga; M. Faundez-Zanuy","Faculty of Engineering 20018, Donostia-San Sebastian Spain Universidad del Pais Vasco/Euskal Herriko Unibertsitatea (UPV/EHU) {karmele.ipina, unai.martinezdelizarduy, pilarmaria.calvo, mariablanca.beitia","2017 International Conference and Workshop on Bioinspired Intelligence (IWOBI)","20170724","2017","","","1","4","The so-called Mild Cognitive Impairment (MCI) or cognitive loss appears in a previous stage before Alzheimer's Disease (AD), but it does not seem sufficiently severe to interfere in independent abilities of daily life, so it usually does not receive an appropriate diagnosis. Its detection is a challenging issue to be addressed by medical specialists. This work presents a novel proposal based on automatic analysis of speech and disfluencies aimed at supporting MCI diagnosis. The approach includes deep learning by means of Convolutional Neural Networks (CNN) and non-linear multifeature modelling. Moreover, to select the most relevant features non-parametric Mann-Whitney U-testt and Support Vector Machine Attribute (SVM) evaluation are used.","","Electronic:978-1-5386-0850-0; POD:978-1-5386-0851-7","10.1109/IWOBI.2017.7985526","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985526","Automatic speechanalysis;Convolutional Neural Networks;Deep Learning;Disfluencies;Mild Cognitive Impairment;Nonlinearfeatures","Dementia;Frequency modulation;Machine learning;Neurons;Speech;Support vector machines","cognition;diseases;learning (artificial intelligence);medical signal detection;neural nets;speech;speech processing;support vector machines","Alzheimer disease;MCI diagnosis;automatic mild cognitive impartment detection;convolutional neural networks;deep learning approach;disfluencies analysis;nonlinear multifeature modelling;nonparametric Mann-Whitney U-test;speech analysis;support vector machine attribute evaluation","","","","","","","","10-12 July 2017","","IEEE","IEEE Conference Publications"
"Cell classification using convolutional neural networks in medical hyperspectral imagery","Xiang Li; W. Li; Xiaodong Xu; Wei Hu","College of Information Science & Technology, Beijing University of Chemical Technology, China","2017 2nd International Conference on Image, Vision and Computing (ICIVC)","20170720","2017","","","501","504","Hyperspectral imaging is a rising imaging modality in the field of medical applications, and the combination of both spectral and spatial information provides wealth information for cell classification. In this paper, deep convolutional neural network (CNN) is employed to achieve blood cell discrimination in medical hyperspectral images (MHSI). As a deep learning architecture, CNNs are expected to get more discriminative and semantic features, which effect classification accuracy to a certain extent. Experimental results based on two real medical hyperspectral image data sets demonstrate that cell classification using CNNs is effective. In addition, compared to traditional support vector machine (SVM), the proposed method, which jointly exploits spatial and spectral features, can achieve better classification performance, showcasing the CNN-based methods' tremendous potential for accurate medical hyperspectral data classification.","","DVD:978-1-5090-6236-2; Electronic:978-1-5090-6238-6; POD:978-1-5090-6239-3","10.1109/ICIVC.2017.7984606","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984606","blood cell classification;convolutional neural network;deep learning;medical hyperspectral imagery","Blood;Computer architecture;Hyperspectral imaging;Medical diagnostic imaging;Microprocessors;Support vector machines","blood;cellular biophysics;feature extraction;hyperspectral imaging;image classification;learning (artificial intelligence);medical image processing;neural nets","CNN;blood cell discrimination;cell classification;deep convolutional neural network;deep learning architecture;discriminative features;hyperspectral imaging;medical applications;medical hyperspectral data classification;medical hyperspectral imagery;semantic features;spatial features;spatial information;spectral features;spectral information","","","","","","","","2-4 June 2017","","IEEE","IEEE Conference Publications"
"Fast medical image segmentation based on patch sharing","Jinjin Hai; Jian Chen; Kai Qiao; Lei Zeng; Jingbo Xu; Bin Yan","National Digital Switching System Engineering & Technological Research Centre, Zhengzhou, China","2017 2nd International Conference on Image, Vision and Computing (ICIVC)","20170720","2017","","","336","340","The lack of labeled medical data is a severe challenge of applying CNNs in medical image segmentation. The common method to solve this problem is employing patches extracted from every pixel of the entire image as train samples. But classifying every pixel in the image is time-consuming, which is not appropriate in practical medical application. This paper proposed a fast segmentation algorithm based on trained network model to reduce test time. Transforming the fully-connected layer of trained network into convolutional layer is used as the test network and the entire image is the input of test network. However, due to the convolutional and pooling operation of CNN, some pixel classification results are missed. To obtain corresponding segmentation, different size of original image are cropped as the input of test network, and interpolation is taken to supply the final image segmentation, according to the offset rule of the input images. The numerical simulation experiments indicated that the proposed algorithm show prominent performance in segmentation time and remain unchanged in the final segmentation result compared with initial train network architecture.","","DVD:978-1-5090-6236-2; Electronic:978-1-5090-6238-6; POD:978-1-5090-6239-3","10.1109/ICIVC.2017.7984573","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984573","convolutional neural network;medical image segmentation;patch sharing","Art;Convolution;Image segmentation;Knowledge engineering;Magnetic resonance imaging;Medical diagnostic imaging","convolution;feature extraction;image classification;image segmentation;learning (artificial intelligence);medical image processing","CNNs;convolutional layer;fast medical image segmentation;image cropping;medical data;patch extraction;patch sharing;pixel classification;trained network model","","","","","","","","2-4 June 2017","","IEEE","IEEE Conference Publications"
"A Unified Deep Learning Model for Protein Structure Prediction","L. Bai; L. Yang","Sch. of Comput., Electron. & Inf. Guangxi Univ., Nanning, China","2017 3rd IEEE International Conference on Cybernetics (CYBCONF)","20170720","2017","","","1","6","Predicting protein tertiary structure from its primary amino acid sequence is one of the most challenging problems in bioinformatics, which makes an important impact in the field of medical science. The mainly difficult is how to learn the most useful and suitable protein features to improve the prediction. In this paper, we propose a novel unified deep learning model for improving protein tertiary structure prediction. The core contribution of this work is the group of deep convolution neural networks (deep CNNs) that can directly learn the high-level relational features from a pair of the query and target protein sequences. The deep CNN can learn high-level relational features from the pairwise protein sequences in a hierarchy by progressively integrating convergent protein property representations from lower levels. Multiple deep CNNs are designed to achieve robust protein structure similarities from different aspects. These relational features are fully connected to the top two Restricted Boltzmann Machines (RBMS) layer to further extract global relational features, which significantly improve the protein structure prediction. Experiments conducted on a well-known benchmark, SCOPe dataset, show that our model significantly outperforms the state-of-the-art methods in various statistical measurements. The results also demonstrate that our deep learning model can improve the learning of protein properties.","","Electronic:978-1-5386-2201-8; POD:978-1-5386-2202-5","10.1109/CYBConf.2017.7985752","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985752","","Convolution;Feature extraction;Hidden Markov models;Machine learning;Predictive models;Protein sequence","Boltzmann machines;bioinformatics;feedforward neural nets;learning (artificial intelligence);proteins;statistical analysis","RBMS layer;SCOPe dataset benchmark;bioinformatics;convergent protein property representations;deep CNN;deep-convolution neural networks;global relational feature extraction;high-level relational feature learning;pairwise protein sequences;primary amino acid sequence;protein feature learning;protein tertiary structure prediction;query protein sequences;restricted Boltzmann machine layer;robust protein structure similarities;statistical measurements;target protein sequences;unified deep-learning model","","","","","","","","21-23 June 2017","","IEEE","IEEE Conference Publications"
"Detecting Anatomical Landmarks From Limited Medical Imaging Data Using Two-Stage Task-Oriented Deep Neural Networks","J. Zhang; M. Liu; D. Shen","Department of Radiology and the Biomedical Research Imaging Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA","IEEE Transactions on Image Processing","20170718","2017","26","10","4753","4764","One of the major challenges in anatomical landmark detection, based on deep neural networks, is the limited availability of medical imaging data for network learning. To address this problem, we present a two-stage task-oriented deep learning method to detect large-scale anatomical landmarks simultaneously in real time, using limited training data. Specifically, our method consists of two deep convolutional neural networks (CNN), with each focusing on one specific task. Specifically, to alleviate the problem of limited training data, in the first stage, we propose a CNN based regression model using millions of image patches as input, aiming to learn inherent associations between local image patches and target anatomical landmarks. To further model the correlations among image patches, in the second stage, we develop another CNN model, which includes a) a fully convolutional network that shares the same architecture and network weights as the CNN used in the first stage and also b) several extra layers to jointly predict coordinates of multiple anatomical landmarks. Importantly, our method can jointly detect large-scale (e.g., thousands of) landmarks in real time. We have conducted various experiments for detecting 1200 brain landmarks from the 3D T1-weighted magnetic resonance images of 700 subjects, and also 7 prostate landmarks from the 3D computed tomography images of 73 subjects. The experimental results show the effectiveness of our method regarding both accuracy and efficiency in the anatomical landmark detection.","1057-7149;10577149","","10.1109/TIP.2017.2721106","10.13039/100000002 - NIH; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961205","Anatomical landmark detection;deep convolutional neural networks;limited medical imaging data;real-time;task-oriented","Biological neural networks;Biomedical imaging;Machine learning;Testing;Three-dimensional displays;Training;Training data","biomedical MRI;computerised tomography;feedforward neural nets;learning (artificial intelligence);medical image processing;object detection;regression analysis","3D T1-weighted magnetic resonance images;3D computed tomography images;CNN based regression model;anatomical landmark coordinate prediction;anatomical landmark detection;brain landmarks;deep convolutional neural networks;fully convolutional network;local image patches;medical imaging data;network learning;prostate landmarks;training data;two-stage task-oriented deep learning method;two-stage task-oriented deep neural networks","","","","","","","20170628","Oct. 2017","","IEEE","IEEE Journals & Magazines"
