"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D50%26queryText%3Drnn+medical",2017/09/15 10:04:23
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Single Sensor Techniques for Sleep Apnea Diagnosis Using Deep Learning","R. K. Pathinarupothi; D. P. J; E. S. Rangan; G. E. A; V. R; K. P. Soman","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","524","529","A large number of obstructive sleep apnea (OSA) cases are under-diagnosed due unavailability, inconvenience or expense of sleep labs. Hence, an automated detection by applying computational techniques to multivariate signals has already become a well-researched subject. However, the best-known techniques that use various features have not achieved the gold standard of polysomnography (PSG) tests. In this paper, we substantiate the medical conjecture that OSA directly impacts body parameters such as Instantaneous Heart Rate (IHR) and blood oxygen saturation (SpO2). We then use a deep learning technique called LSTM-RNN (long short-term memory recurrent neural networks) to experimentally prove that OSA severity detection can be solely based on either IHR or SpO2 signals, which can be easily, obtained using off-the-shelf non-intrusive wearable single sensors. The results obtained from LSTM-RNN model shows an area under curve (AUC) of 0.98 associated with very high accuracy on a dataset of more than 16,000 apnea non-apnea minutes. These results have encouraged our collaborating doctors to further come up with a diagnostic protocol that is based on LSTM-RNN, SpO2, and IHR, thereby increasing the chances of larger adoption among medical community.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.37","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031206","Instantaneous Heart Rate and SpO2;LSTM-RNN;Obstructive sleep apnea","Electrocardiography;Heart rate variability;Medical diagnostic imaging;Sleep apnea;Time series analysis","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"Medical Concept Normalization for Online User-Generated Texts","K. Lee; S. A. Hasan; O. Farri; A. Choudhary; A. Agrawal","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","462","469","Social media has become an important tool for sharing content in the last decade. People often talk about their experiences and opinions on different health-related issues e.g. they write reviews on medications, describe symptoms and ask informal questions about various health concerns. Due to the colloquial nature of the languages used in the social media, it is often difficult for an automated system to accurately interpret them for appropriate clinical understanding. To address this challenge, this paper proposes a novel approach for medical concept normalization of user-generated texts to map a health condition described in the colloquial language to a medical concept defined in standard clinical terminologies. We use multiple deep learning architectures such as convolutional neural networks (CNN) and recurrent neural networks (RNN) with input word embeddings trained on various clinical domain-specific knowledge sources. Extensive experiments on two benchmark datasets demonstrate that the proposed models can achieve up to 21.28% accuracy improvements over the existing models when we use the combination of all knowledge sources to learn neural embeddings.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.59","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031195","deep learning;medical concept normalization;social media","Drugs;Hair;Hidden Markov models;Medical diagnostic imaging;Pain;Recurrent neural networks;Social network services","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"Recurrent neural networks with missing information imputation for medical examination data prediction","Han-Gyu Kim; Gil-Jin Jang; Ho-Jin Choi; Minho Kim; Young-Won Kim; Jaehun Choi","School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea 34141","2017 IEEE International Conference on Big Data and Smart Computing (BigComp)","20170320","2017","","","317","323","In this work, we use recurrent neural network (RNN) to predict the medical examination data with missing parts. There often exist missing parts in medical examination data due to various human factors, for instance, because human subjects occasionally miss their annual examinations. Such missing parts make it hard to predict the future examination data by machines. Thus, imputation of the missing information is needed for accurate prediction of medical examination data. Among various types of RNNs, we choose simple recurrent network (SRN) and long short-term memory (LSTM) to predict the missing information as well as the future medical examination data, as they show good performance in many relevant applications. In our proposed method, the temporal trajectories of the medical examination measurements are modeled by RNNs with the missed measurements compensated, which is then used to predict the future measurements to be used as diagnosing the diseases of the subjects in advance. We have carried out experiments using a medical examination database of Korean people for 12 consecutive years with 13 medical fields. In this database, 11500 people took the medical check-up every year, and 7400 people missed their examination occasionally. We use complete data to train RNNs, and the data with missing parts are used to evaluate the imputation and future measurement prediction performance. In terms of root mean squared error (RMSE) and source to noise ratio (SNR) between the prediction and the actual measurements, the experimental results show that the proposed RNNs predicts medical examination data much better than the conventional linear regression in most of the examination items.","","Electronic:978-1-5090-3015-6; POD:978-1-5090-3016-3; USB:978-1-5090-3014-9","10.1109/BIGCOMP.2017.7881685","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881685","long short-term memory;medical examination data prediction;recurrent neural network","Diseases;Linear regression;Logic gates;Medical diagnostic imaging;Predictive models;Recurrent neural networks","learning (artificial intelligence);medical information systems;recurrent neural nets","Korea;LSTM;RMSE;RNN training;SNR;SRN;disease diagnosis;human factors;long short-term memory;measurement prediction performance evaluation;medical examination data prediction;medical examination database;medical examination measurements;missing information imputation;missing parts;recurrent neural networks;root mean squared error;simple-recurrent network;source-to-noise ratio;temporal trajectories","","","","","","","","13-16 Feb. 2017","","IEEE","IEEE Conference Publications"
"Predicting high-risk prognosis from diagnostic histories of adult disease patients via deep recurrent neural networks","Jung-Woo Ha; Adrian Kim; Dongwon Kim; J. Kim; Jeong-Whun Kim; Jin Joo Park; Borim Ryu","NAVER Corp., Seongnam, Korea","2017 IEEE International Conference on Big Data and Smart Computing (BigComp)","20170320","2017","","","394","399","It is a critical issue to predict the prognosis of adult disease patients due to the possibility of spreading to high-risk symptoms in medical fields. Most studies for predicting prognosis have used complex data from patients such as biomedical images, biomarkers, and pathological measurements. We demonstrate a language model-like method for predicting high-risk prognosis from diagnosis histories of patients using deep recurrent neural networks (RNNs), i.e., prognosis prediction using RNN (PP-RNN). The proposed PP-RNN uses multiple RNNs for learning from diagnosis code sequences of patients in order to predict occurrences of high-risk diseases. The use of RNNs allows the model to learn the status changes of patients considering time, thus enhancing prediction accuracy. We evaluate our method on real-world diagnosis data of over 67,000 adult disease patients recorded for 14 years. Experimental results show the proposed PP-RNN outperforms other standard classification models. In particular, our method provides competitive performance with respect to recall and F1-score on high-risk diseases compared to other models. Furthermore, we investigate the effects of the parameters on the performances.","","Electronic:978-1-5090-3015-6; POD:978-1-5090-3016-3; USB:978-1-5090-3014-9","10.1109/BIGCOMP.2017.7881742","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881742","adult disease;cardiovascular disease;cerebrovascular disease;deep learning;diagnosis sequence;prognosis prediction;recurrent neural network","Biomedical imaging;Diabetes;Diseases;History;Predictive models;Prognostics and health management;Recurrent neural networks","medical diagnostic computing;recurrent neural nets","PP-RNN;adult disease patients;classification models;deep recurrent neural networks;diagnostic histories;high-risk prognosis prediction;language model-like method","","","","","","","","13-16 Feb. 2017","","IEEE","IEEE Conference Publications"
"Artificial neural network electronic nose for volatile organic compounds","H. S. Abdel-Aty-Zohdy","Dept. of Electr. & Syst. Eng., Oakland Univ., Rochester, MI, USA","Proceedings of the 8th Great Lakes Symposium on VLSI (Cat. No.98TB100222)","20020806","1998","","","122","125","Advanced microsystems that include, sensors, interface-circuits, and pattern-recognition integrated monolithically or in a hybrid module are needed for civilian, military, and space applications. These include: automotive, medical applications, environmental engineering, and manufacturing automation. ASICs with Artificial Neural Networks (ANN) are considered in this paper, with the objective of recognizing air-borne volatile organic compounds, especially alcohols, ethers, esters, halocarbons, NH<sub>3</sub>, NO<sub>2</sub>, and other warfare agent simulants. The ASIC inputs are connected to the outputs from array-distributed sensors which measure three-features for identifying each of four chemicals. A Specialized Reinforcement Neural Network (RNN) learning approach is chosen for the chemicals classification problem. Hardware implementation of the RNN is presented for 2 μm CMOS process, MOSIS chip. Design implementation and evaluation are also presented","1066-1395;10661395","POD:0-8186-8409-7","10.1109/GLSV.1998.665211","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=665211","","Artificial neural networks;Automotive engineering;Biomedical engineering;Biomedical equipment;Chemical sensors;Electronic noses;Manufacturing automation;Medical services;Recurrent neural networks;Sensor arrays","CMOS integrated circuits;VLSI;application specific integrated circuits;gas sensors;learning (artificial intelligence);neural chips;pattern classification","2 micron;ANN electronic nose;ASIC;CMOS process;MOSIS chip;NH<sub>3</sub>;NO<sub>2</sub>;air-borne volatile compounds;alcohols;array-distributed sensors;artificial neural network;chemicals classification problem;esters;ethers;halocarbons;reinforcement neural network learning approach;volatile organic compounds;warfare agent simulants","","8","","21","","","","19-21 Feb 1998","19 Feb 1998-21 Feb 1998","IEEE","IEEE Conference Publications"
"Recurrent Neural Network Based Classification of ECG Signal Features for Obstruction of Sleep Apnea Detection","M. Cheng; W. J. Sori; F. Jiang; A. Khan; S. Liu","Coll. of Command Inf. Syst., PLA Univ. of Sci. & Technol., Nanjing, China","2017 IEEE International Conference on Computational Science and Engineering (CSE) and IEEE International Conference on Embedded and Ubiquitous Computing (EUC)","20170810","2017","2","","199","202","This paper introduces an OSA detection method based on Recurrent Neural network. At the first step, RR interval (time interval from one R wave to the next R wave) is employed to extract the signals from Apnea- Electrocardiogram (ECG) where all extracted features are then used as an input for the designed deep model. Then an architecture having four recurrent layers and batch normalization layers are designed and trained with the extracted features for OSA detection. Apnea-ECG datasets from physionet.org are used for training and testing our model. Experimental results reveal that our automatic OSA detection model provides better classification accuracy.","","Electronic:978-1-5386-3221-5; POD:978-1-5386-3222-2; Paper:978-1-5386-3220-8","10.1109/CSE-EUC.2017.220","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005997","Apnea Detection;ECG;Feature extraction;RNN;Sleep Apnea","Electrocardiography;Feature extraction;Mathematical model;Recurrent neural networks;Sleep apnea;Testing;Training","electrocardiography;feature extraction;medical signal detection;recurrent neural nets;signal classification","Apnea- electrocardiogram signals;OSA detection method;RR interval;batch normalization layers;electrocardiogram;feature extraction;obstructive sleep apnea detection;recurrent neural network based classification","","","","","","","","21-24 July 2017","","IEEE","IEEE Conference Publications"
"Using neural networks for simultaneous and proportional estimation of upper arm kinematics","C. Grech; T. Camilleri; M. Bugeja","Faculty of Engineering, Department of Systems and Control Engineering, University of Malta, Msida, Malta","2017 25th Mediterranean Conference on Control and Automation (MED)","20170720","2017","","","247","252","This work compares the use of three different artificial neural networks (ANNs) to estimate shoulder and elbow kinematics using surface electromyographic (EMG) signals for proportional and simultaneous control of multiple degrees of freedom (DOFs). The three different networks considered include a multilayer perceptron (MLP) neural network, a time delay neural network (TDNN), and a recurrent neural network (RNN). In each case, surface EMG signals from agonist and antagonist arm muscles detected during seven different movements, three of which involve the simultaneous activation of the shoulder and elbow, were used as inputs to the neural networks. The three configurations were trained to estimate angular displacements of the shoulder and/or elbow. The average correlation coefficient (CC) between the true and the estimated angular position for simultaneous movements for the elbow and shoulder combined was 0.866 ± 0.050 when using the MLP structure, 0.830 ± 0.130 for the TDNN structure and 0.840 ± 0.058 when using the RNN architecture. These results show that all three neural networks are plausible alternatives to model the EMG to joint angle relationship of the upper arm with the MLP being the most computationally efficient option.","","Electronic:978-1-5090-4533-4; POD:978-1-5090-4534-1; USB:978-1-5090-4532-7","10.1109/MED.2017.7984126","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984126","","Biological neural networks;Elbow;Electromyography;Estimation;Recurrent neural networks;Shoulder","electromyography;estimation theory;medical signal processing;multilayer perceptrons;recurrent neural nets","ANN;EMG signals;MLP;RNN;TDNN;artificial neural networks;elbow kinematics;multilayer perceptron;proportional estimation;recurrent neural network;shoulder kinematics;simultaneous estimation;surface electromyographic signals;time delay neural network;upper arm kinematics","","","","","","","","3-6 July 2017","","IEEE","IEEE Conference Publications"
"A review on emotion recognition using speech","S. Basu; J. Chakraborty; A. Bag; M. Aftabuddin","School of Medical Science and Technology, Indian Institute of Technology Kharagpur and Department of Computer Science and Engineering, Maulana Abul Kalam Azad University of Technology, West Bengal","2017 International Conference on Inventive Communication and Computational Technologies (ICICCT)","20170717","2017","","","109","114","Emotion recognition or affect detection from speech is an old and challenging problem in the field of artificial intelligence. Many significant research works have been done on emotion recognition. In this paper, the recent works on affect detection using speech and different issues related to affect detection has been presented. The primary challenges of emotion recognition are choosing the emotion recognition corpora (speech database), identification of different features related to speech and an appropriate choice of a classification model. Different types of methods to collect emotional speech data and issues related to them are covered by this presentation along with the previous works review. Literature survey on different features used for recognizing emotion from human speech has been discussed. The significance of various classification models has been presented along with some recent research works review. A detailed description of a prime feature extraction technique named Mel Frequency Cepstral Coefficient (MFCC) and brief description of the working principle of some classification models are also discussed here. In this paper terms like affect detection and emotion recognition are used interchangeably.","","Electronic:978-1-5090-5297-4; POD:978-1-5090-5298-1","10.1109/ICICCT.2017.7975169","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975169","Affect Detection;Back Propagation;Classifier;Corpora;Features;GMM (Gaussian Mixture Model);HMM (Hidden Markov Model);KNN (K-Nearest Neighbors);LPC (Linear Prediction Coefficients);LPCC (Linear Prediction Cepstral Coefficients);MFCC (Mel Frequency Cepstral Coefficient);MLP (Multi Layer Perceptron);Neural Network;RNN (Recurrent Neural Network)","Databases;Emotion recognition;Feature extraction;Filter banks;Mel frequency cepstral coefficient;Speech;Speech recognition","emotion recognition;feature extraction;pattern classification;speech recognition","Mel frequency cepstral coefficient;affect detection;artificial intelligence;classification model;emotion recognition corpora;emotional speech data collect;feature identification;human speech;prime feature extraction;speech database","","","","","","","","10-11 March 2017","","IEEE","IEEE Conference Publications"
"Recurrent neural network based retinal nerve fiber layer defect detection in early glaucoma","R. Panda; N. B. Puhan; A. Rao; D. Padhy; G. Panda","School of Electrical Sciences, IIT Bhubaneswar, India","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","692","695","Retinal nerve fiber layer defect (RNFLD) is the earliest objective evidence of glaucoma in fundus images. Glaucoma is an optic neuropathy which causes irreversible vision impairment. Early glaucoma detection and its prevention are the only way to prevent further damage to human vision. In this paper, we propose a new automated method for RNFLD detection in fundus images through patch features driven recurrent neural network (RNN). A new dataset of fundus images is created for evaluation purpose which contains several challenging RNFLD boundaries. The true boundary pixels are classified using the RNN trained by novel cumulative zero count local binary pattern (CZC-LBP), directional differential energy (DDE) patch features. The experimental results demonstrate high RNFLD detection rate along with accurate boundary localization.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950614","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950614","Glaucoma;RNFLD;fundus image;patch feature;recurrent neural network","Feature extraction;Nerve fibers;Optical fibers;Optical imaging;Recurrent neural networks;Retina","biomedical optical imaging;diseases;eye;medical image processing;neurophysiology;optical tomography;recurrent neural nets","cumulative zero count local binary pattern;directional differential energy patch features;early glaucoma;fundus images;irreversible vision impairment;optic neuropathy;recurrent neural network;retinal nerve fiber layer defect detection","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"ECG-based biometrics using recurrent neural networks","R. Salloum; C. C. J. Kuo","Ming Hsieh Department of Electrical Engineering, University of Southern California, Los Angeles, United States of America","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","20170619","2017","","","2062","2066","In this paper, we propose the use of recurrent neural networks (RNNs) to develop an effective solution to two problems in electrocardiogram (ECG)-based biometrics: identification/classification and authentication. Different RNN architectures with various parameter settings were evaluated, including traditional, long short-term memory (LSTM), gated recurrent unit (GRU), unidirectional, and bidirectional networks. Unlike many existing methods, the RNN-based method does not require any feature extraction. The method was evaluated using two publicly available datasets: ECG-ID and MIT-BIH Arrhythmia (MITDB). For the identification problem, nearly 100% classification accuracy on the ECG-ID dataset was achieved, and similar results were observed for the MITDB dataset. For the authentication problem, an RNN was trained and the hidden state at the final time step was extracted to make a decision. We evaluated the effect of the training size on the equal error rate (EER), and showed that the EER drops from approximately 3.5% to nearly 0% as we increased the percentage of subjects used for training from approximately 15% to 80%.","","Electronic:978-1-5090-4117-6; POD:978-1-5090-4118-3; USB:978-1-5090-4116-9","10.1109/ICASSP.2017.7952519","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7952519","Authentication;Biometrics;ECG;Identification;RNN","Authentication;Biometrics (access control);Electrocardiography;Heart beat;Recurrent neural networks;Testing;Training","biometrics (access control);electrocardiography;feature extraction;medical image processing;recurrent neural nets","ECG-ID dataset;ECG-based biometrics;EER;GRU;LSTM;MIT-BIH Arrhythmia;MITDB dataset;RNN architectures;bidirectional networks;electrocardiogram;equal error rate;feature extraction;gated recurrent unit;identification/classification;long short-term memory;publicly available datasets;recurrent neural networks","","","","","","","","5-9 March 2017","","IEEE","IEEE Conference Publications"
