"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3Dultrasound+deep+learning",2017/09/15 10:06:22
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Classification of thyroid nodules in ultrasound images using deep model based transfer learning and hybrid features","T. Liu; S. Xie; J. Yu; L. Niu; W. Sun","Dept. of Electronic Engineering, Tsinghua University, Beijing 100084, China","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","20170619","2017","","","919","923","Ultrasonography is a valuable diagnosis method for thyroid nodules. Automatically discriminating benign and malignant nodules in the ultrasound images can provide aided diagnosis suggestions, or increase the diagnosis accuracy when lack of experts. The core problem in this issue is how to capture appropriate features for this specific task. Here, we propose a feature extraction method for ultrasound images based on the convolution neural networks (CNNs), try to introduce more meaningful semantic features to the classification. Firstly, a CNN model trained with a massive natural dataset is transferred to the ultrasound image domain, to generate semantic deep features and handle the small sample problem. Then, we combine those deep features with conventional features such as Histogram of Oriented Gradient (HOG) and Local Binary Patterns (LBP) together, to form a hybrid feature space. Finally, a positive-sample-first majority voting and a feature-selected based strategy are employed for the hybrid classification. Experimental results on 1037 images show that the accuracy of our proposed method is 0.931, which outperformed other relative methods by over 10%.","","Electronic:978-1-5090-4117-6; POD:978-1-5090-4118-3; USB:978-1-5090-4116-9","10.1109/ICASSP.2017.7952290","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7952290","classification;deep learning;feature fusion;transfer learning;ultrasound image","Biomedical imaging;Cancer;Feature extraction;Indexes;Machine learning;Semantics;Ultrasonic imaging","biomedical ultrasonics;feature extraction;feedforward neural nets;image classification;learning (artificial intelligence);medical image processing;ultrasonic imaging","CNN model trained;HOG;LBP;benign nodules;convolution neural networks;deep model based transfer learning;feature extraction method;feature-selected based strategy;histogram of oriented gradient;hybrid feature space;local binary patterns;malignant nodules;positive-sample-first majority voting;semantic deep features;thyroid nodule classification;thyroid nodules;ultrasonography;ultrasound images","","","","","","","","5-9 March 2017","","IEEE","IEEE Conference Publications"
"Automatic 3D ultrasound segmentation of the first trimester placenta using deep learning","P. Looney; G. N. Stevenson; K. H. Nicolaides; W. Plasencia; M. Molloholli; S. Natsis; S. L. Collins","Nuffield Department of Obstetrics and Gynaecology, University of Oxford, UK","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","279","282","Placental volume measured with 3D ultrasound in the first trimester has been shown to be correlated to adverse pregnancy outcomes. This could potentially be used as a screening test to predict the “at risk” pregnancy. However, manual segmentation whilst previously shown to be accurate and repeatable is very time consuming and semi-automated methods still require operator input. To generate a screening tool, fully automated placental segmentation is required. In this work, a deep convolutional neural network (cNN), DeepMedic, was trained using the output of the semi-automated Random Walker method as ground truth. 300 3D ultrasound scans of first trimester placentas were used to train, validate and test the cNN. Compared against the semi-automated segmentation, resultant median (1<sup>st</sup> Quartile, 3<sup>rd</sup> Quartile) Dice Similarity Coefficient was 0.73 (0.66, 0.76). The median (1<sup>st</sup> Quartile, 3<sup>rd</sup> Quartile) Hausdorff distance was 27 mm (18 mm, 36 mm). We present the first attempt at using a deep cNN for segmentation of 3D ultrasound of the placenta. This work shows that feasible results compared to ground truth were obtained that could form the basis of a fully automatic segmentation method.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950519","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950519","3D;automatic segmentation;deep learning;neural network;placenta;random walker;ultrasound","Biological neural networks;Image segmentation;Magnetic resonance imaging;Pregnancy;Three-dimensional displays;Ultrasonic imaging","biomedical ultrasonics;image segmentation;learning (artificial intelligence);medical image processing;neural nets;obstetrics","DeepMedic;automatic 3D ultrasound segmentation;deep convolutional neural network;deep learning;first trimester placenta","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Hybrid approach for automatic segmentation of fetal abdomen from ultrasound images using deep learning","H. Ravishankar; S. M. Prabhu; V. Vaidya; N. Singhal","GE Global Research, Bangalore, India","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","779","782","In this paper, we propose a hybrid approach combining traditional texture analysis methods with deep learning for the automatic detection and measurement of abdominal contour from 2-D fetal ultrasound images. Following a learning-based procedure for region of interest (ROI) localization to segment the abdominal boundary, we show that convolutional neural networks (CNNs) outperform other state-of-the-art texture features and conventional classifiers, in addressing the binary classification problem of distinguishing between abdomen versus non-abdomen regions. However, we obtain significantly better segmentation results in identifying the best ROI containing fetal abdomen, when the predictions from CNN are combined with those from gradient boosting machine (GBM) using histogram of oriented gradient (HOG) features. We trained our method on a set of 70 images and tested them on another distinct set of 70 images. We obtained a mean DICE similarity coefficient of 0.90, which shows excellent overlap with the ground truth. We report that the mean computed gestational age difference between our segmentation results and the ground truth, is within two weeks for 90% (and within one week for 70%) of the testing cases.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493382","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493382","","Abdomen;Feature extraction;Image segmentation;Machine learning;Training;Ultrasonic imaging;Ultrasonic variables measurement","","","","","","14","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
"Combining Multiple Dynamic Models and Deep Learning Architectures for Tracking the Left Ventricle Endocardium in Ultrasound Data","G. Carneiro; J. C. Nascimento","University of Adelaide, Adelaide","IEEE Transactions on Pattern Analysis and Machine Intelligence","20130917","2013","35","11","2592","2607","We present a new statistical pattern recognition approach for the problem of left ventricle endocardium tracking in ultrasound data. The problem is formulated as a sequential importance resampling algorithm such that the expected segmentation of the current time step is estimated based on the appearance, shape, and motion models that take into account all previous and current images and previous segmentation contours produced by the method. The new appearance and shape models decouple the affine and nonrigid segmentations of the left ventricle to reduce the running time complexity. The proposed motion model combines the systole and diastole motion patterns and an observation distribution built by a deep neural network. The functionality of our approach is evaluated using a dataset of diseased cases containing 16 sequences and another dataset of normal cases comprised of four sequences, where both sets present long axis views of the left ventricle. Using a training set comprised of diseased and healthy cases, we show that our approach produces more accurate results than current state-of-the-art endocardium tracking methods in two test sequences from healthy subjects. Using three test sequences containing different types of cardiopathies, we show that our method correlates well with interuser statistics produced by four cardiologists.","0162-8828;01628828","","10.1109/TPAMI.2013.96","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6517436","Left ventricle segmentation;deep belief networks;discriminative classifiers;dynamical model;particle filters","Computational modeling;Image segmentation;Imaging;Motion segmentation;Shape;Tracking;Training","biomedical ultrasonics;brain;cardiology;computational complexity;image motion analysis;image recognition;medical image processing","appearance model;cardiopathies;deep learning architecture;diastole motion pattern;dynamic model;interuser statistics;left ventricle endocardium tracking;motion model;neural network;sequential importance resampling algorithm;shape model;statistical pattern recognition approach;systole motion pattern;time complexity reduction;ultrasound data","Algorithms;Artificial Intelligence;Computer Simulation;Echocardiography;Endocardium;Heart Ventricles;Humans;Image Interpretation, Computer-Assisted;Models, Cardiovascular;Pattern Recognition, Automated;Ventricular Dysfunction, Left","22","","76","","","20130520","Nov. 2013","","IEEE","IEEE Journals & Magazines"
"The Segmentation of the Left Ventricle of the Heart From Ultrasound Data Using Deep Learning Architectures and Derivative-Based Search Methods","G. Carneiro; J. C. Nascimento; A. Freitas","Australian Centre for Visual Technologies, University of Adelaide, Adelaide, Australia","IEEE Transactions on Image Processing","20120216","2012","21","3","968","982","We present a new supervised learning model designed for the automatic segmentation of the left ventricle (LV) of the heart in ultrasound images. We address the following problems inherent to supervised learning models: 1) the need of a large set of training images; 2) robustness to imaging conditions not present in the training data; and 3) complex search process. The innovations of our approach reside in a formulation that decouples the rigid and nonrigid detections, deep learning methods that model the appearance of the LV, and efficient derivative-based search algorithms. The functionality of our approach is evaluated using a data set of diseased cases containing 400 annotated images (from 12 sequences) and another data set of normal cases comprising 80 annotated images (from two sequences), where both sets present long axis views of the LV. Using several error measures to compute the degree of similarity between the manual and automatic segmentations, we show that our method not only has high sensitivity and specificity but also presents variations with respect to a gold standard (computed from the manual annotations of two experts) within interuser variability on a subset of the diseased cases. We also compare the segmentations produced by our approach and by two state-of-the-art LV segmentation models on the data set of normal cases, and the results show that our approach produces segmentations that are comparable to these two approaches using only 20 training images and increasing the training set to 400 images causes our approach to be generally more accurate. Finally, we show that efficient search methods reduce up to tenfold the complexity of the method while still producing competitive segmentations. In the future, we plan to include a dynamical model to improve the performance of the algorithm, to use semisupervised learning methods to reduce even more the dependence on rich and large training sets, and to design a shape model less dependent on the trai- ing set.","1057-7149;10577149","","10.1109/TIP.2011.2169273","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6026237","","Complexity theory;Image segmentation;Imaging;Robustness;Shape;Supervised learning;Training","biomedical ultrasonics;cardiology;image segmentation;image sequences;learning (artificial intelligence);medical image processing;search problems;ultrasonic imaging","automatic segmentation;complex search process;deep learning methods;derivative based search algorithm;diseased;heart;image annotation;left ventricle;semisupervised learning method;supervised learning model;training image;training set;ultrasound images","Algorithms;Artificial Intelligence;Heart Ventricles;Humans;Hypertrophy, Left Ventricular;Image Interpretation, Computer-Assisted;ROC Curve;Ventricular Dysfunction, Left","24","","59","","","20110923","March 2012","","IEEE","IEEE Journals & Magazines"
"Multiple dynamic models for tracking the left ventricle of the heart from ultrasound data using particle filters and deep learning architectures","G. Carneiro; J. C. Nascimento","Instituto de Sistemas e Rob&#x00F3;tica Instituto Superior T&#x00E9;cnico, Lisbon, Portugal","2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition","20100805","2010","","","2815","2822","The problem of automatic tracking and segmentation of the left ventricle (LV) of the heart from ultrasound images can be formulated with an algorithm that computes the expected segmentation value in the current time step given all previous and current observations using a filtering distribution. This filtering distribution depends on the observation and transition models, and since it is hard to compute the expected value using the whole parameter space of segmentations, one has to resort to Monte Carlo sampling techniques to compute the expected segmentation parameters. Generally, it is straightforward to compute probability values using the filtering distribution, but it is hard to sample from it, which indicates the need to use a proposal distribution to provide an easier sampling method. In order to be useful, this proposal distribution must be carefully designed to represent a reasonable approximation for the filtering distribution. In this paper, we introduce a new LV tracking and segmentation algorithm based on the method described above, where our contributions are focused on a new transition and observation models, and a new proposal distribution. Our tracking and segmentation algorithm achieves better overall results on a previously tested dataset used as a benchmark by the current state-of-the-art tracking algorithms of the left ventricle of the heart from ultrasound images.","1063-6919;10636919","Electronic:978-1-4244-6985-7; POD:978-1-4244-6984-0","10.1109/CVPR.2010.5540013","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5540013","","Computer architecture;Distributed computing;Filtering algorithms;Heart;Image segmentation;Monte Carlo methods;Particle filters;Particle tracking;Proposals;Ultrasonic imaging","Monte Carlo methods;cardiology;medical image processing;particle filtering (numerical methods)","Monte Carlo sampling;deep learning architectures;filtering distribution;heart;left ventricle;multiple dynamic models;particle filters;probability;tracking;ultrasound data;ultrasound images","","15","1","21","","","","13-18 June 2010","","IEEE","IEEE Conference Publications"
"Automatic fetal body and amniotic fluid segmentation from fetal ultrasound images by encoder-decoder network with inner layers","Y. Li; R. Xu; J. Ohya; H. Iwata","Faculty of Science and Engineering, Waseda University, Tokyo, Japan","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","1485","1488","This paper explores the effectiveness of applying a deep learning based method to segment the amniotic fluid and fetal tissues in fetal ultrasound (US) images. The deeply learned model firstly encodes the input image into down scaled feature maps by convolution and pooling structures, then up-scale the feature maps to confidence maps by corresponded un-pooling and convolution layers. Additional convolution layers with 1×1 sized kernels are adopted to enhance the feature representations, which could be used to further improve the discriminative learning of our model. We effectively update the weights of the network by fine-tuning on part of the layers from a pre-trained model. By conducting experiments using clinical data, the feasibility of our proposed approach is compared and discussed. The result proves that this work achieves satisfied results for segmentation of specific anatomical structures from US images.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037116","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037116","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Automated embolic signal detection using Deep Convolutional Neural Network","P. Sombune; P. Phienphanich; S. Phuechpanpaisal; S. Muengtaweepongsa; A. Ruamthanthong; C. Tantibundhit","Faculty of Engineering, Thammasat University, Thailand","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","3365","3368","This work investigated the potential of Deep Neural Network in detection of cerebral embolic signal (ES) from transcranial Doppler ultrasound (TCD). The resulting system is aimed to couple with TCD devices in diagnosing a risk of stroke in real-time with high accuracy. The Adaptive Gain Control (AGC) approach developed in our previous study is employed to capture suspected ESs in real-time. By using spectrograms of the same TCD signal dataset as that of our previous work as inputs and the same experimental setup, Deep Convolutional Neural Network (CNN), which can learn features while training, was investigated for its ability to bypass the traditional handcrafted feature extraction and selection process. Extracted feature vectors from the suspected ESs are later determined whether they are of an ES, artifact (AF) or normal (NR) interval. The effectiveness of the developed system was evaluated over 19 subjects going under procedures generating emboli. The CNN-based system could achieve in average of 83.0% sensitivity, 80.1% specificity, and 81.4% accuracy, with considerably much less time consumption in development. The certainly growing set of training samples and computational resources will contribute to high performance. Besides having potential use in various clinical ES monitoring settings, continuation of this promising study will benefit developments of wearable applications by leveraging learnable features to serve demographic differentials.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037577","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037577","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"CEUS-based classification of liver tumors with deep canonical correlation analysis and multi-kernel learning","L. Guo; D. Wang; H. Xu; Y. Qian; C. Wang; X. Zheng; Q. Zhang; J. Shi","Department of Medical Ultrasound, Shanghai Tenth People's Hospital, Ultrasound Research and Education Institute, School of Medicine, Tongji University, China","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","1748","1751","The contrast-enhanced ultrasound (CEUS) has been a widely accepted imaging modality for diagnosis of liver cancers. In clinical practice, several typical images selected from enhancement patterns of the arterial, portal venous and late phases can provide reliable information basis for diagnosis. In this work, we propose to develop a CEUS-based computer-aided diagnosis (CAD) for liver cancers with only three typical CEUS images selected from three phases, which simulates the clinical diagnosis mode of radiologists. In the proposed CAD, the deep canonical correlation analysis (DCCA) is first performed on three CEUS pairs between arterial and portal venous phases, arterial and late phases, respectively, due to the effectiveness of multi-view fusion of DCCA. The generated six-view features are then fed to a multiple kernel learning (MKL) classifier to further promote the predictive diagnosis result. The experimental results indicate that the proposed DCCA-MKL algorithm achieves best performance for discriminating benign liver tumors from malignant liver cancers.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037181","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037181","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Automatic localization of the needle target for ultrasound-guided epidural injections","M. Pesteie; V. Lessoway; P. Abolmaesumi; R. N. Rohling","Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, B.C., Canada.","IEEE Transactions on Medical Imaging","","2017","PP","99","1","1","Accurate identification of the needle target is crucial for effective epidural anesthesia. Currently, epidural needle placement is administered by a manual technique, relying on the sense of feel, which has a significant failure rate. Moreover, misleading the needle may lead to inadequate anesthesia, post dural puncture headaches and other potential complications. Ultrasound offers guidance to the physician for identification of the needle target, but accurate interpretation and localization remain challenges. A hybrid machine learning system is proposed to automatically localize the needle target for epidural needle placement in ultrasound images of the spine. In particular, a deep network architecture along with a feature augmentation technique is proposed for automatic identification of the anatomical landmarks of the epidural space in ultrasound images. Experimental results of the target localization on planes of 3D as well as 2D images have been compared agianst an expert sonographer. When compared with the expert annotations, the average lateral and vertical error on planes of 3D test data was 1 mm and 0.4 mm, respectively. On 2D test data set, an average lateral error of 1.7 mm and vertical error of 0.8 mm were acquired.","0278-0062;02780062","","10.1109/TMI.2017.2739110","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8008783","3D ultrasound;Epidural injection;deep learning;prepuncture scan;target localization","Anesthesia;Needles;Real-time systems;Spine;Three-dimensional displays;Ultrasonic imaging","","","","","","","","","20170811","","","IEEE","IEEE Early Access Articles"
