"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Ddeep+learning+gene",2017/09/18 11:14:06
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Cancer Classification Based on Microarray Gene Expression Data Using Deep Learning","P. Guillen; J. Ebalunode","Center for Adv. Comput. & Data Syst., Univ. of Houston, Houston, TX, USA","2016 International Conference on Computational Science and Computational Intelligence (CSCI)","20170320","2016","","","1403","1405","The classification of cancer is a major research topic in Medicine. Cancer microarray data normally contains a small number of samples, which have a large number of gene expression levels as features, however, makes the classification quite challenging. Using a deep learning algorithm based on multilayer perceptron, we show that classification performance at least as good as published results can be obtained for cancer classification.","","Electronic:978-1-5090-5510-4; POD:978-1-5090-5511-1","10.1109/CSCI.2016.0270","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881563","cancer;classification;deep learning;machine learning;microarray gene expression","Cancer;Computer architecture;Gene expression;Machine learning;Multilayer perceptrons;Training;Tumors","bioinformatics;cancer;genetics;multilayer perceptrons;pattern classification","cancer classification;deep learning algorithm;microarray gene expression data;multilayer perceptron","","","","","","","","15-17 Dec. 2016","","IEEE","IEEE Conference Publications"
"A predictive model of gene expression using a deep learning framework","Rui Xie; A. Quitadamo; J. Cheng; Xinghua Shi","Department of Computer Science, University of Missouri at Columbia, 65201, USA","2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20170119","2016","","","676","681","With an unprecedented amount of data available, it is important to explore new methods for developing predictive models to mine this data for scientific discoveries. In this study, we propose a deep learning regression model based on MultiLayer Perceptron and Stacked Denoising Auto-encoder (MLP-SAE) to predict gene expression from genotypes of genetic variation. Specifically, we use a stacked denoising auto-encoder to train our regression model in order to extract useful features, and utilize the multilayer perceptron for backpropagation. We further improve our model by adding a dropout technique to prevent overfitting. Our results on a real genomic dataset show that our MLP-SAE model with dropout outperform Lasso, Random Forests, and MLP-SAE without dropout. Our study provides a new application of deep learning in mining genomics data, and demonstrates that deep learning has great potentials in building predictive models to help understand biological systems.","","Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9","10.1109/BIBM.2016.7822599","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822599","","Data models;Gene expression;Machine learning;Mathematical model;Predictive models;Training","backpropagation;biology computing;data mining;feature extraction;genetics;genomics;multilayer perceptrons;regression analysis","MLP-SAE model;backpropagation;biological systems;deep learning regression model;dropout technique;feature extraction;gene expression;genetic variation genotypes;genomic dataset;genomics data mining;multilayer perceptron;stacked denoising autoencoder","","","","","","","","15-18 Dec. 2016","","IEEE","IEEE Conference Publications"
"Aplicación de deep learning en robótica móvil para exploración y reconocimiento de objetos basados en imágenes","S. Contreras; F. De la Rosa","Departamento de Ingenier&#x00ED;a de Sistemas y Computaci&#x00F3;n, Universidad de los Andes, Bogot&#x00E1;, Colombia","2016 IEEE 11th Colombian Computing Conference (CCC)","20161124","2016","","","1","8","Deep Learning is a machine learning technique that seeks to define neural networks based on the recognition of patterns in input data and achieve results with a high confidence level and in a time efficient way. In this paper we apply deep learning in two processes that seek to improve the exploration of a mobile robot in interior spaces. The first process allows the recognition of physical structures such as stairs, elevators and corridors from the images that are obtained from a camera installed on the robot. The second process allows to identify the situation of proximity to the obstacles (from the information of a laser sensor) to decide the direction and speed of the robot to navigate in an interior space. This work applies deep learning in both processes by implementing a parametrizable generic neural network system, in order to create several network instances adaptable to the type of information and its integration with a mobile robot that navigates in simulated and experimental environments.","","Electronic:978-1-5090-2966-2; POD:978-1-5090-2967-9; USB:978-1-5090-2965-5","10.1109/ColumbianCC.2016.7750800","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7750800","aprendizaje de máquina;deep learning;machine learning;navegación en robótica;procesamiento de imágenes;red neuronal;robótica móvil","Backpropagation;Global Positioning System;Graphics processing units;Image resolution;Machine learning;Robot sensing systems","image recognition;learning (artificial intelligence);mobile robots;neural nets","deep learning;exploration;image recognition;interior spaces;mobile robots;neural networks;object recognition;parametrizable generic neural network system","","","","","","","","27-30 Sept. 2016","","IEEE","IEEE Conference Publications"
"Learning structure in gene expression data using deep architectures, with an application to gene clustering","A. Gupta; H. Wang; M. Ganapathiraju","Language Technologies Institute, School of Computer Science, Carnegie Mellon University, Pittsburgh, USA","2015 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20151217","2015","","","1328","1335","Genes play a central role in all biological processes. DNA microarray technology has made it possible to study the expression behavior of thousands of genes in one go. Often, gene expression data is used to generate features for supervised and unsupervised learning tasks. At the same time, advances in the field of deep learning have made available a plethora of architectures. In this paper, we use deep architectures pre-trained in an unsupervised manner using denoising autoencoders as a preprocessing step for a popular unsupervised learning task. Denoising autoencoders (DA) can be used to learn a compact representation of input, and have been used to generate features for further supervised learning tasks. We propose that our deep architectures can be treated as empirical versions of Deep Belief Networks (DBNs). We use our deep architectures to regenerate gene expression time series data for two different data sets. We test our hypothesis on two popular datasets for the unsupervised learning task of clustering and find promising improvements in performance.","","Electronic:978-1-4673-6799-8; POD:978-1-4673-6800-1","10.1109/BIBM.2015.7359871","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359871","autoencoders;deep learning;gene clustering;gene expression","Noise reduction","genetics;learning (artificial intelligence);neural nets;pattern clustering","DNA microarray technology;Deep Belief Networks;biological processes;deep architectures;deep learning;denoising autoencoders;gene clustering;gene expression time series data;learning structure;learning tasks","","","","20","","","","9-12 Nov. 2015","","IEEE","IEEE Conference Publications"
"Machine learning models to search relevant genetic signatures in clinical context","D. Urda; R. M. Luque-Baena; L. Franco; J. M. Jerez; N. Sanchez-Maroño","Universidad de M&#x00E1;laga, Andaluc&#x00ED;a Tech, ETSI Inform&#x00E1;tica (Espa&#x00F1;a)","2017 International Joint Conference on Neural Networks (IJCNN)","20170703","2017","","","1649","1656","Clinicians are interested in the estimation of robust and relevant genetic signatures from gene sequencing data. Many machine learning approaches have been proposed trying to address well-known issues of this complex task (feature or gene selection, classification or model selection, and prediction assessment). Addressing this problem often requires a deep knowledge of these methods and some of them demand high computational resources that may not be affordable. In this paper, an exhaustive study that includes different types of feature selection methods and classifiers is presented, providing clinicians an useful insight of the most suitable methods for this purpose. Predictions assessment is performed using a bootstrap cross-validation strategy as an honest validation scheme. The results of this study for six benchmark datasets show that filter or embedded methods are preferred, in general, to wrapper methods according to their better statistical significant results, in terms of accuracy, and lower demand for computational resources.","","Electronic:978-1-5090-6182-2; POD:978-1-5090-6183-9","10.1109/IJCNN.2017.7966049","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7966049","","Biological cells;Cancer;Computational modeling;Correlation;Genetic algorithms;Genetics;Predictive models","biology computing;feature selection;genetics;learning (artificial intelligence);pattern classification;statistical analysis","bootstrap cross-validation strategy;classifiers;clinical context;complex task;computational resources;feature selection methods;gene sequencing data;honest validation scheme;machine learning models;relevant genetic signatures;statistical significant results;wrapper methods","","","","","","","","14-19 May 2017","","IEEE","IEEE Conference Publications"
"A Deep Learning Model for Epigenomic Studies","G. Lo Bosco; R. Rizzo; A. Fiannaca; M. La Rosa; A. Urso","Dept. of Math. & Comput. Sci. UNIPA, Univ. of Palermo Palermo, Palermo, Italy","2016 12th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)","20170424","2016","","","688","692","Epigenetics is the study of heritable changes in gene expression that does not involve changes to the underlying DNA sequence, i.e. a change in phenotype not involved by a change in genotype. At least three main factor seems responsible for epigenetic change including DNA methylation, histone modification and non-coding RNA, each one sharing having the same property to affect the dynamic of the chromatin structure by acting on Nucleosomes position. A nucleosome is a DNA-histone complex, where around 150 base pairs of double-stranded DNA is wrapped. The role of nucleosomes is to pack the DNA into the nucleus of the Eukaryote cells, to form the Chromatin. Nucleosome positioning plays an important role in gene regulation and several studies shows that distinct DNA sequence features have been identified to be associated with nucleosome presence. Starting from this suggestion, the identification of nucleosomes on a genomic scale has been successfully performed by DNA sequence features representation and classical supervised classification methods such as Support Vector Machines, Logistic regression and so on. Taking in consideration the successful application of the deep neural networks on several challenging classification problems, in this paper we want to study how deep learning network can help in the identification of nucleosomes.","","Electronic:978-1-5090-5698-9; POD:978-1-5090-5699-6","10.1109/SITIS.2016.115","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7907542","Classification;Deep Learning;Nucleosome Positioning","Bioinformatics;DNA;Genomics;Kernel;Machine learning;Neural networks;Support vector machines","biology computing;genomics;learning (artificial intelligence);molecular biophysics;neural nets","DNA methylation;DNA sequence;Eukaryote cells;deep learning model;deep learning network;deep neural networks;epigenomic studies;gene expression;histone modification;noncoding RNA;nucleosomes","","","","","","","","Nov. 28 2016-Dec. 1 2016","","IEEE","IEEE Conference Publications"
"A deep learning model for predicting transcription factor binding location at single nucleotide resolution","S. Salekin; J. M. Zhang; Y. Huang","Electrical and Computer Engineering Department, University of Texas at San Antonio, 1 UTSA Circle, San Antonio, TX 78249, USA","2017 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)","20170413","2017","","","57","60","Transcriptional regulation by transcription factors (TFs) plays a pivotal role in controlling the gene expression. However, understanding the mechanism through which the transcription factors regulate the gene expression is a challenging task. This is primarily hindered by the low specificity in identifying transcription factor binding sites (TFBS). The emergence of the ChIP-exonuclease (ChIP-exo) method enables the detection of TFBS at single nucleotide sensitivity, providing us an opportunity to study the detailed mechanisms of TF regulation. Nevertheless, there is still a lack of computational tools that can also provide single base pair (bp) resolution prediction of TFBS. In this paper, we propose DeepSNR, a Deep Learning algorithm for Single Nucleotide Resolution prediction of transcription factor binding site. Our proposed method is inspired by the similarity between predicting the specific binding location from input nucleotide sequence and image segmentation. Particularly, we adopted the deconvolution network (deconvNet); a deep learning model designed for image segmentation, and developed a TFBS specific deconvNet architecture constructed on top of `DeepBind'. We trained a deconvNet for predicting CTCF binding sites using the data from ChIP-exo experiments. The proposed algorithm achieved median precision and recall of 87% and 77% respectively, significantly outperforming motif search based algorithms such as MatInspector.","","Electronic:978-1-5090-4179-4; POD:978-1-5090-4180-0","10.1109/BHI.2017.7897204","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7897204","","Algorithm design and analysis;Bioinformatics;DNA;Deconvolution;Genomics;Machine learning;Training","biological techniques;biology computing;deconvolution;enzymes;genetics;image segmentation;learning (artificial intelligence);molecular biophysics","CTCF binding sites;ChIP-exonuclease method;DeepBind;DeepSNR;TFBS specific deconvNet architecture;deconvolution network;deep learning model;gene expression;image segmentation;input nucleotide sequence;single nucleotide resolution;single nucleotide sensitivity;transcription factor binding sites","","","","","","","","16-19 Feb. 2017","","IEEE","IEEE Conference Publications"
"DP-miRNA: An improved prediction of precursor microRNA using deep learning model","J. Thomas; S. Thomas; L. Sael","Department of Computer Science, Stony Brook University, NY 11794, USA","2017 IEEE International Conference on Big Data and Smart Computing (BigComp)","20170320","2017","","","96","99","MicroRNA (miRNA) are small non-coding RNAs regulating gene expression at the post-transcriptional level. Detecting miRNA in a genome is challenging experimentally and results vary depending on their cellular environment. These limitations inspire the development of knowledge-based prediction method. This paper proposes a deep learning based classification model for predicting precursor miRNA sequence that contains the miRNA sequence. The feature set consists of sequence features, folding measures, stem-loop features and statistical features. We evaluate the performance of the proposed method on human dataset. The deep neural network based classification outperformed support vector machine, neural network, naive Bayes classifiers, k-nearest neighbors, random forests as well as hybrid systems combining SVM and genetic algorithm.","","Electronic:978-1-5090-3015-6; POD:978-1-5090-3016-3; USB:978-1-5090-3014-9","10.1109/BIGCOMP.2017.7881722","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881722","","Computer science;Machine learning;Neural networks;Predictive models;Proteins;Support vector machines;Training","Bayes methods;RNA;biology computing;cellular biophysics;genetic algorithms;knowledge based systems;learning (artificial intelligence);neural nets;random processes;statistical analysis;support vector machines","DP-miRNA;Naive Bayes classifiers;SVM;cellular environment;deep learning based classification model;deep learning model;deep neural network based classification;folding measures;gene expression;genetic algorithm;genome miRNA detection;human dataset;hybrid systems;k-nearest neighbors;knowledge-based prediction method;noncoding RNA;post-transcriptional level;precursor microRNA prediction;random forests;sequence features;statistical features;stem-loop features;support vector machine","","","","","","","","13-16 Feb. 2017","","IEEE","IEEE Conference Publications"
"Multimodal Deep Boltzmann Machines for feature selection on gene expression data","A. F. Syafiandini; I. Wasito; S. Yazid; A. Fitriawan; M. Amien","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","2016 International Conference on Advanced Computer Science and Information Systems (ICACSIS)","20170309","2016","","","407","412","In this paper, multimodal Deep Boltzmann Machines (DBM) is employed to learn important genes (biomarkers) on gene expression data from human carcinoma colorectal. The learning process involves gene expression data and several patient phenotypes such as lymph node and distant metastasis occurrence. The proposed framework in this paper uses multimodal DBM to train records with metastasis occurrence. Later, the trained model is tested using records with no metastasis occurrence. After that, Mean Squared Error (MSE) is measured from the reconstructed and the original gene expression data. Genes are ranked based on the MSE value. The first gene has the highest MSE value. After that, k-means clustering is performed using various number of genes. Features that give the highest purity index are considered as the important genes. The important genes obtained from the proposed framework and two sample t-test are being compared. From the accuracy of metastasis classification, the proposed framework gives higher results compared to the top genes from two sample t-test.","","Electronic:978-1-5090-4629-4; POD:978-1-5090-4630-0; USB:978-1-5090-4628-7","10.1109/ICACSIS.2016.7872733","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7872733","gene expression;microarray;multimodal DBM","Biomarkers;Gene expression;Lymph nodes;Metastasis;Support vector machines;Testing;Training","Boltzmann machines;bioinformatics;feature selection;genetics;learning (artificial intelligence);mean square error methods;pattern classification","DBM;MSE;biomarkers;feature selection;gene expression data;human carcinoma colorectal;k-means clustering;learning process;mean squared error;metastasis classification;multimodal deep Boltzmann machines;patient phenotypes","","","","","","","","15-16 Oct. 2016","","IEEE","IEEE Conference Publications"
"Cancer subtype identification using deep learning approach","A. F. Syafiandini; I. Wasito; S. Yazid; A. Fitriawan; M. Amien","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","2016 International Conference on Computer, Control, Informatics and its Applications (IC3INA)","20170228","2016","","","108","112","In this paper, a framework using deep learning approach is proposed to identify two subtypes of human colorectal carcinoma cancer. The identification process uses information from gene expression and clinical data which is obtained from data integration process. One of deep learning architecture, multimodal Deep Boltzmann Machines (DBM) is used for data integration process. The joint representation gene expression and clinical is later used as Restricted Boltzmann Machines (RBM) input for cancer subtype identification. Kaplan Meier survival analysis is employed to evaluate the identification result. The curves on survival plot obtained from Kaplan Meier analysis are tested using three statistic tests to ensure that there is a significant difference between those curves. According to Log Rank, Generalized Wilcoxon and Tarone-Ware, the two groups of patients with different cancer subtypes identified using the proposed framework are significantly different.","","Electronic:978-1-5090-2323-3; POD:978-1-5090-2324-0; USB:978-1-5090-2322-6","10.1109/IC3INA.2016.7863033","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7863033","RBM;cancer subtype;deep learning;multimodal DBM","Computer architecture;Data integration;Data mining;Gene expression;Machine learning;Metastasis","Boltzmann machines;cancer;data integration;learning (artificial intelligence);medical computing;statistical analysis","Kaplan Meier survival analysis;Log Rank;RBM;Tarone-Ware;cancer subtype identification;clinical data;data integration process;deep learning approach;gene expression;generalized Wilcoxon;human colorectal carcinoma cancer;restricted Boltzmann machines","","","","","","","","3-5 Oct. 2016","","IEEE","IEEE Conference Publications"
