"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Ddeep+learning+genomics",2017/09/18 11:14:46
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Big data analytics in genomics: The point on Deep Learning solutions","F. Celesti; A. Celesti; L. Carnevale; A. Galletta; S. Campo; A. Romano; P. Bramanti; M. Villari","Department of Biomedical and Dental Sciences and Morphofunctional Images, University of Messina, Italy","2017 IEEE Symposium on Computers and Communications (ISCC)","20170904","2017","","","306","309","Nowadays, Next Generation Sequeencing (NGS) is a catch-all term used to describe different modern DNA sequencing applications that produce big genomics data that can be analysed in a faster fashion than in the past. For this reason, NGS requires more and more sophisticated algorithms and high-performance parallel processing systems able to analyse and extract knowledge from a huge amount of genomics and molecular data. In this context, researchers are beginning to look at emerging deep learning algorithms able to perform efficient big data analytics. In this paper, we analyse and classify the major current deep learning solutions that allow biotechnology researchers to perform big genomics data analytics. Moreover, by means of a taxonomic analysis, we provide a clear picture of the current state of the art also discussing future challenges.","","Electronic:978-1-5386-1629-1; POD:978-1-5386-1630-7; USB:978-1-5386-1628-4","10.1109/ISCC.2017.8024547","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024547","Cloud computing;DNA sequencing;Genomics;NGS;big data;biotechnology;deep learning","Bioinformatics;DNA;Genomics;Machine learning;Proteins;Sequential analysis","","","","","","","","","","3-6 July 2017","","IEEE","IEEE Conference Publications"
"Deep learning based Nucleus Classification in pancreas histological images","Y. H. Chang; G. Thibault; O. Madin; V. Azimi; C. Meyers; B. Johnson; J. Link; A. Margolin; J. W. Gray","Oregon Health and Science University (OHSU), Portland, United States of America","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","672","675","Tumor specimens contain a variety of healthy cells as well as cancerous cells, and this heterogeneity underlies resistance to various cancer therapies. But this problem has not been thoroughly investigated until recently. Meanwhile, technological breakthroughs in imaging have led to an explosion of molecular and cellular profiling data from large numbers of samples, and modern machine learning approaches including deep learning have been shown to produce encouraging results by finding hidden structures and make accurate predictions. In this paper, we propose a Deep learning based Nucleus Classification (DeepNC) approach using paired histopathology and immunofluorescence images (for label), and demonstrate its classification prediction power. This method can solve current issue on discrepancy between genomic- or transcriptomic-based and pathology-based tumor purity estimates by improving histological evaluation. We also explain challenges in training a deep learning model for huge dataset.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036914","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036914","Deep Learning;Histopathology;Immunofluorescence;Segmentation","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Using convolutional neural networks to explore the microbiome","D. Reiman; A. Metwally; Y. Dai","Bioinformatics Program of the Department of Bioengineering, University of Illinois at Chicago, 60612, USA","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","4269","4272","The microbiome has been shown to have an impact on the development of various diseases in the host. Being able to make an accurate prediction of the phenotype of a genomic sample based on its microbial taxonomic abundance profile is an important problem for personalized medicine. In this paper, we examine the potential of using a deep learning framework, a convolutional neural network (CNN), for such a prediction. To facilitate the CNN learning, we explore the structure of abundance profiles by creating the phylogenetic tree and by designing a scheme to embed the tree to a matrix that retains the spatial relationship of nodes in the tree and their quantitative characteristics. The proposed CNN framework is highly accurate, achieving a 99.47% of accuracy based on the evaluation on a dataset 1967 samples of three phenotypes. Our result demonstrated the feasibility and promising aspect of CNN in the classification of sample phenotype.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037799","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037799","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"A Deep Learning Model for Epigenomic Studies","G. Lo Bosco; R. Rizzo; A. Fiannaca; M. La Rosa; A. Urso","Dept. of Math. & Comput. Sci. UNIPA, Univ. of Palermo Palermo, Palermo, Italy","2016 12th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)","20170424","2016","","","688","692","Epigenetics is the study of heritable changes in gene expression that does not involve changes to the underlying DNA sequence, i.e. a change in phenotype not involved by a change in genotype. At least three main factor seems responsible for epigenetic change including DNA methylation, histone modification and non-coding RNA, each one sharing having the same property to affect the dynamic of the chromatin structure by acting on Nucleosomes position. A nucleosome is a DNA-histone complex, where around 150 base pairs of double-stranded DNA is wrapped. The role of nucleosomes is to pack the DNA into the nucleus of the Eukaryote cells, to form the Chromatin. Nucleosome positioning plays an important role in gene regulation and several studies shows that distinct DNA sequence features have been identified to be associated with nucleosome presence. Starting from this suggestion, the identification of nucleosomes on a genomic scale has been successfully performed by DNA sequence features representation and classical supervised classification methods such as Support Vector Machines, Logistic regression and so on. Taking in consideration the successful application of the deep neural networks on several challenging classification problems, in this paper we want to study how deep learning network can help in the identification of nucleosomes.","","Electronic:978-1-5090-5698-9; POD:978-1-5090-5699-6","10.1109/SITIS.2016.115","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7907542","Classification;Deep Learning;Nucleosome Positioning","Bioinformatics;DNA;Genomics;Kernel;Machine learning;Neural networks;Support vector machines","biology computing;genomics;learning (artificial intelligence);molecular biophysics;neural nets","DNA methylation;DNA sequence;Eukaryote cells;deep learning model;deep learning network;deep neural networks;epigenomic studies;gene expression;histone modification;noncoding RNA;nucleosomes","","","","","","","","Nov. 28 2016-Dec. 1 2016","","IEEE","IEEE Conference Publications"
"A predictive model of gene expression using a deep learning framework","Rui Xie; A. Quitadamo; J. Cheng; Xinghua Shi","Department of Computer Science, University of Missouri at Columbia, 65201, USA","2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20170119","2016","","","676","681","With an unprecedented amount of data available, it is important to explore new methods for developing predictive models to mine this data for scientific discoveries. In this study, we propose a deep learning regression model based on MultiLayer Perceptron and Stacked Denoising Auto-encoder (MLP-SAE) to predict gene expression from genotypes of genetic variation. Specifically, we use a stacked denoising auto-encoder to train our regression model in order to extract useful features, and utilize the multilayer perceptron for backpropagation. We further improve our model by adding a dropout technique to prevent overfitting. Our results on a real genomic dataset show that our MLP-SAE model with dropout outperform Lasso, Random Forests, and MLP-SAE without dropout. Our study provides a new application of deep learning in mining genomics data, and demonstrates that deep learning has great potentials in building predictive models to help understand biological systems.","","Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9","10.1109/BIBM.2016.7822599","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822599","","Data models;Gene expression;Machine learning;Mathematical model;Predictive models;Training","backpropagation;biology computing;data mining;feature extraction;genetics;genomics;multilayer perceptrons;regression analysis","MLP-SAE model;backpropagation;biological systems;deep learning regression model;dropout technique;feature extraction;gene expression;genetic variation genotypes;genomic dataset;genomics data mining;multilayer perceptron;stacked denoising autoencoder","","","","","","","","15-18 Dec. 2016","","IEEE","IEEE Conference Publications"
"DeepEnhancer: Predicting enhancers by convolutional neural networks","Xu Min; Ning Chen; Ting Chen; Rui Jiang","MOE Key Laboratory of Bioinformatics, Bioinformatics Division and Center for Synthetic & Systems Biology, TNLIST, Department of Automation, Tsinghua University, Beijing 100084, China","2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20170119","2016","","","637","644","Enhancers are crucial to the understanding of mechanisms underlying gene transcriptional regulation. Although having been successfully applied in such projects as ENCODE and Roadmap to generate landscape of enhancers in human cell lines, high-throughput biological experimental techniques are still costly and time consuming for even larger scale identification of enhancers across a variety of tissues under different disease status, making computational identification of enhancers indispensable. In this paper, we propose a computational framework, named DeepEnhancer, to classify enhancers from background genomic sequences. We construct convolutional neural networks of various architectures and compare the classification performance with traditional sequence-based classifiers. We first train the deep learning model on the FANTOM5 permissive enhancer dataset, and then fine-tune the model on ENCODE cell type-specific enhancer datasets by adopting the transfer learning strategy. Experimental results demonstrate that DeepEnhancer has superior efficiency and effectiveness in classification tasks, and the use of max-pooling and batch normalization is beneficial to higher accuracy. To make our approach more understandable, we propose a strategy to visualize the convolutional kernels as sequence logos and compare them against the JASPAR database using TOMTOM. In summary, DeepEnhancer allows researchers to train highly accurate deep models and will be broadly applicable in computational biology.","","Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9","10.1109/BIBM.2016.7822593","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822593","","Bioinformatics;Computer architecture;DNA;Feature extraction;Genomics;Kernel;Machine learning","biological tissues;biology computing;diseases;genetics;genomics;learning (artificial intelligence);neural nets","DeepEnhancer;ENCODE cell type-specific enhancer datasets;FANTOM5 permissive enhancer dataset;JASPAR database;Roadmap;TOMTOM;background genomic sequences;batch normalization;classification performance;classification tasks;computational biology;computational framework;computational identification;convolutional kernels;convolutional neural networks;deep learning model;disease status;gene transcriptional regulation;high-throughput biological experimental techniques;human cell lines;max-pooling;sequence logos;tissues;traditional sequence-based classifiers;transfer learning strategy","","","","","","","","15-18 Dec. 2016","","IEEE","IEEE Conference Publications"
"Probabilistic Graphical Models and Deep Belief Networks for Prognosis of Breast Cancer","M. Khademi; N. S. Nedialkov","Dept. of Comput. & Software, McMaster Univ., Hamilton, ON, Canada","2015 IEEE 14th International Conference on Machine Learning and Applications (ICMLA)","20160303","2015","","","727","732","We propose a probabilistic graphical model (PGM) for prognosis and diagnosis of breast cancer. PGMs are suitable for building predictive models in medical applications, as they are powerful tools for making decisions under uncertainty from big data with missing attributes and noisy evidence. Previous work relied mostly on clinical data to create a predictive model. Moreover, practical knowledge of an expert was needed to build the structure of a model, which may not be accurate. In our opinion, since cancer is basically a genetic disease, the integration of microarray and clinical data can improve the accuracy of a predictive model. However, since microarray data is high-dimensional, including genomic variables may lead to poor results for structure and parameter learning due to the curse of dimensionality and small sample size problems. We address these problems by applying manifold learning and a deep belief network (DBN) to microarray data. First, we construct a PGM and a DBN using clinical and microarray data, and extract the structure of the clinical model automatically by applying a structure learning algorithm to the clinical data. Then, we integrate these two models using softmax nodes. Extensive experiments using real-world databases, such as METABRIC and NKI, show promising results in comparison to Support Vector Machines (SVMs) and k-Nearest Neighbors (k-NN) classifiers, for classifying tumors and predicting events like recurrence and metastasis.","","Electronic:978-1-5090-0287-0; POD:978-1-5090-0288-7","10.1109/ICMLA.2015.196","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424407","breast cancer;deep belief networks;microarray data;probabilistic graphical models","Approximation algorithms;Breast cancer;Manifolds;Probabilistic logic;Prognostics and health management;Training","bioinformatics;cancer;genomics;graph theory;learning (artificial intelligence);pattern classification;probability;tumours","DBN;METABRIC database;NKI database;PGM;SVM classifier;breast cancer diagnosis;breast cancer prognosis;clinical data integration;curse-of-dimensionality;deep-belief networks;genetic disease;genomic variables;high-dimensional microarray data;k-NN classifier;k-nearest neighbors classifier;manifold learning;medical applications;metastasis event prediction;microarray data integration;parameter learning;predictive model;predictive model accuracy improvement;probabilistic graphical model;recurrence event prediction;softmax nodes;structure learning;structure learning algorithm;support vector machine classifier;tumors","","","","20","","","","9-11 Dec. 2015","","IEEE","IEEE Conference Publications"
"Machine Learning in Genomic Medicine: A Review of Computational Problems and Data Sets","M. K. K. Leung; A. Delong; B. Alipanahi; B. J. Frey","Dept. of Electr. & Comput. Eng., Univ. of Toronto, Toronto, ON, Canada","Proceedings of the IEEE","20151218","2016","104","1","176","197","In this paper, we provide an introduction to machine learning tasks that address important problems in genomic medicine. One of the goals of genomic medicine is to determine how variations in the DNA of individuals can affect the risk of different diseases, and to find causal explanations so that targeted therapies can be designed. Here we focus on how machine learning can help to model the relationship between DNA and the quantities of key molecules in the cell, with the premise that these quantities, which we refer to as cell variables, may be associated with disease risks. Modern biology allows high-throughput measurement of many such cell variables, including gene expression, splicing, and proteins binding to nucleic acids, which can all be treated as training targets for predictive models. With the growing availability of large-scale data sets and advanced computational techniques such as deep learning, researchers can help to usher in a new era of effective genomic medicine.","0018-9219;00189219","","10.1109/JPROC.2015.2494198","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7347331","Computational biology;deep learning;genetic variants;genome analysis;genome biology;genomic medicine;machine learning;precision medicine","Big data;Bioinformatics;Diseases;Genomics;Machine learning;Medical treatment","DNA;cellular biophysics;diseases;genetics;genomics;learning (artificial intelligence);medical computing;medicine","DNA variations;cell variables;deep learning;disease risks;gene expression;gene splicing;genomic medicine;high-throughput measurement;large-scale data sets;machine learning;nucleic acids;proteins","","7","","231","","","20151204","Jan. 2016","","IEEE","IEEE Journals & Magazines"
"The effective diagnosis of schizophrenia by using multi-layer RBMs deep networks","Chen Qiao; D. D. Lin; Shao-Long Cao; Yu-Ping Wang","School of Mathematics and Statistics, Xi'an Jiaotong University, 710049, China","2015 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20151217","2015","","","603","606","Schizophrenia is one of the most prevalent mental diseases, and is considered to be caused by the interplay of a number of genetic factors. In this paper, by constructing a multilayer restricted Boltzmann machines (RBMs) deep network, we use the genomic data (i.e., SNP data) for unsupervised feature learning and disease diagnosis of schizophrenia. In order to obtain some more accurate diagnosis results by RBMs, firstly, we transform the SNP data into binary sequences, and then by training the multi-layer RBMs deep network on unlabeled data, the multi-level abstract features of the genomic data are obtained and stored in the network. Finally, by adding a linear classifier to the top of the multi-layer RBMs deep network, the classification results on the testing data are gained. The results show that the average performance of this method is better than that of other methods, e.g., SVM (including linear SVM as well as SVM with multilayer perceptron kernel), sparse representations based classifier and k-nearest neighbors method. It is indicated that the multi-layer RBMs deep network can extract deep hierarchical representations of the genomic data, and then promises a more comprehensive approach for the mental disease diagnosis.","","Electronic:978-1-4673-6799-8; POD:978-1-4673-6800-1","10.1109/BIBM.2015.7359751","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359751","","Bioinformatics;Genomics;Quality control;Support vector machines","Boltzmann machines;binary sequences;diseases;genomics;patient diagnosis;support vector machines;unsupervised learning","SNP data;SVM;binary sequence;genetic factor;genomic data;k-nearest neighbor method;linear classifier;mental disease diagnosis;multi-layer restricted Boltzmann machines deep network;multilayer RBM deep network;schizophrenia disease diagnosis;sparse representation-based classifier;unsupervised feature learning","","","","16","","","","9-12 Nov. 2015","","IEEE","IEEE Conference Publications"
"Ensemble of deep long short term memory networks for labelling origin of replication sequences","U. Singh; S. Chauhan; A. Krishnamachari; L. Vig","School of Computational and Integrative Sciences, Jawaharlal Nehru University, New Delhi, India","2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA)","20151207","2015","","","1","7","Advancement in sequence data generation technologies are churning out voluminous omics data and posing a massive challenge to annotate the biological functional features. Sequence data from the well studied model organism Saccharomyces cerevisiae has been commonly used to test and validate in silico prediction methods. DNA replication is a critical step in the cellular process and the sequence location where this process originates in the genomic landscape is generally referred as origin of replication. In this paper we investigate the application bidirectional Long Short Term (LSTM) Networks to predict origin of replication sequences. Long Short Term Memory (LSTM) networks have recently been shown to yield state of the art performance in speech recognition, and music generation. These networks are capable of learning long term patterns via the use of multiplication gates. This paper utilizes Deep bidirectional LSTM for prediction of origin of replication sequences belonging to the organism Saccharomyces cerevisiae. Results demonstrate that LSTMs outperform the commonly used machine learning classifiers such as Support Vector Machine (SVM), Random Forest (RF), Artificial Neural Network (ANN), and Hidden Markov Model (HMM). An important additional advantage of LSTMs is that they work directly on the sequences and obviate the need for hand coded features.","","Electronic:978-1-4673-8273-1; POD:978-1-4673-8274-8","10.1109/DSAA.2015.7344871","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344871","","Bioinformatics;Biological cells;Computer architecture;DNA;Genomics;Hidden Markov models;Logic gates","DNA;biology computing;genomics;recurrent neural nets","DNA replication;Saccharomyces cerevisiae;bidirectional long short term memory;biological functional feature;cellular process;deep bidirectional LSTM;deep long short term memory network;genomic landscape;multiplication gates;replication sequences;sequence data generation technology;voluminous omics data","","","","24","","","","19-21 Oct. 2015","","IEEE","IEEE Conference Publications"
