"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Ddeep+learning+microscopy",2017/09/18 11:18:09
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning Segmentation of Optical Microscopy Images Improves 3-D Neuron Reconstruction","R. Li; T. Zeng; H. Peng; S. Ji","School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA","IEEE Transactions on Medical Imaging","20170628","2017","36","7","1533","1541","Digital reconstruction, or tracing, of 3-D neuron structure from microscopy images is a critical step toward reversing engineering the wiring and anatomy of a brain. Despite a number of prior attempts, this task remains very challenging, especially when images are contaminated by noises or have discontinued segments of neurite patterns. An approach for addressing such problems is to identify the locations of neuronal voxels using image segmentation methods, prior to applying tracing or reconstruction techniques. This preprocessing step is expected to remove noises in the data, thereby leading to improved reconstruction results. In this paper, we proposed to use 3-D convolutional neural networks (CNNs) for segmenting the neuronal microscopy images. Specifically, we designed a novel CNN architecture, that takes volumetric images as the inputs and their voxel-wise segmentation maps as the outputs. The developed architecture allows us to train and predict using large microscopy images in an end-to-end manner. We evaluated the performance of our model on a variety of challenging 3-D microscopy images from different organisms. Results showed that the proposed methods improved the tracing performance significantly when combined with different reconstruction algorithms.","0278-0062;02780062","","10.1109/TMI.2017.2679713","10.13039/100000001 - National Science Foundation; 10.13039/100007588 - Washington State University; 10.13039/100009980 - Old Dominion University; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7874113","BigNeuron;Deep learning;image denoising;image segmentation;neuron reconstruction","Convolution;Image reconstruction;Image segmentation;Microscopy;Morphology;Neurons;Three-dimensional displays","biomedical optical imaging;brain;image denoising;image reconstruction;image segmentation;learning (artificial intelligence);medical image processing;neural nets;neurophysiology;optical microscopy","3-D convolutional neural networks;3-D microscopy images;3-D neuron reconstruction;3-D neuron structure;CNN architecture;brain anatomy;brain wiring;deep learning segmentation;digital reconstruction;digital tracing;discontinued segments;image segmentation methods;neurite patterns;neuronal microscopy images;neuronal voxels;noise removal;optical microscopy images;organisms;preprocessing step;reconstruction algorithms;reversing engineering;tracing performance;volumetric images;voxel-wise segmentation maps","","","","","","","20170308","July 2017","","IEEE","IEEE Journals & Magazines"
"Hybrid deep learning for Reflectance Confocal Microscopy skin images","P. Kaur; K. J. Dana; G. O. Cula; M. C. Mack","Department of Electrical and Computer Engineering, Rutgers University, NJ, USA","2016 23rd International Conference on Pattern Recognition (ICPR)","20170424","2016","","","1466","1471","Reflectance Confocal Microscopy (RCM) is used for evaluation of human skin disorders and the effects of skin treatments by imaging the skin layers at different depths. Traditionally, clinical experts manually categorize the images captured into different skin layers. This time-consuming labeling task impedes the convenient analysis of skin image datasets. In recent automated image recognition tasks, deep learning with convolutional neural nets (CNN) has achieved remarkable results. However in many clinical settings, training data is often limited and insufficient for CNN training. For recognition of RCM skin images, we demonstrate that a CNN trained on a moderate size dataset leads to low accuracy. We introduce a hybrid deep learning approach which uses traditional texton-based feature vectors as input to train a deep neural network. This hybrid method uses fixed filters in the input layer instead of tuned filters, yet superior performance is achieved. Our dataset consists of 1500 images from 15 RCM stacks belonging to six different categories of skin layers. We show that our hybrid deep learning approach performs with a test accuracy of 82% compared with 51% for CNN. We also compare the results with additional proposed methods for RCM image recognition and show improved accuracy.","","Electronic:978-1-5090-4847-2; POD:978-1-5090-4848-9","10.1109/ICPR.2016.7899844","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899844","","Epidermis;Histograms;Image recognition;Libraries;Machine learning;Neural networks","convolution;data analysis;filtering theory;image recognition;learning (artificial intelligence);medical image processing;microscopy;vectors;visual databases","CNN training;RCM;automated image recognition tasks;clinical experts;convolutional neural nets;fixed filters;human skin disorders;hybrid deep learning approach;reflectance confocal microscopy skin images;skin image datasets;skin layers;traditional texton-based feature vectors","","","","","","","","4-8 Dec. 2016","","IEEE","IEEE Conference Publications"
"Deep learning for automatic cell detection in wide-field microscopy zebrafish images","B. Dong; L. Shao; M. Da Costa; O. Bandmann; A. F. Frangi","Centre of Computational Imaging & Simulation Technologies in Biomedicine (CISTIB)","2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI)","20150723","2015","","","772","776","The zebrafish has become a popular experimental model organism for biomedical research. In this paper, a unique framework is proposed for automatically detecting Tyrosine Hydroxylase-containing (TH-labeled) cells in larval zebrafish brain z-stack images recorded through the wide-field microscope. In this framework, a supervised max-pooling Convolutional Neural Network (CNN) is trained to detect cell pixels in regions that are preselected by a Support Vector Machine (SVM) classifier. The results show that the proposed deep-learned method outperforms hand-crafted techniques and demonstrate its potential for automatic cell detection in wide-field microscopy z-stack zebrafish images.","1945-7928;19457928","Electronic:978-1-4799-2374-8; POD:978-1-4673-9330-0","10.1109/ISBI.2015.7163986","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7163986","","Computer architecture;Histograms;Microprocessors;Microscopy;Neurons;Three-dimensional displays;Training","biomedical optical imaging;brain;cellular biophysics;convolution;enzymes;feature extraction;image classification;learning (artificial intelligence);medical image processing;molecular biophysics;neural nets;neurophysiology;optical microscopy;support vector machines","SVM classifier;automatic TH-labeled cell detection;automatic tyrosine hydroxylase-containing cell detection;biomedical research;cell pixel detection;convolutional neural network;deep learning;experimental model organism;hand-crafted technique;larval zebrafish brain z-stack image recording;region preselection;supervised max-pooling CNN training;support vector machine;wide-field microscopy","","3","","26","","","","16-19 April 2015","","IEEE","IEEE Conference Publications"
"Human induced pluripotent stem cell region recognition in microscopy images using Convolutional Neural Networks","Y. H. Chang; K. Abe; H. Yokota; K. Sudo; Y. Nakamura; C. Y. Lin; M. D. Tsai","Department of Information and Computer Engineering, Chung-Yuan Christian University, Chung-Li, 32023, Taiwan","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","4058","4061","We present a deep learning architecture Convolutional Neural Networks (CNNs) for automatic classification and recognition of reprogramming and reprogrammed human Induced Pluripotent Stem (iPS) cell regions in microscopy images. The differentiated cells that possibly undergo reprogramming to iPS cells can be detected by this method for screening reagents or culture conditions in iPS induction. The learning results demonstrate that our CNNs can achieve the Top-1 and Top-2 error rates of 9.2% and 0.84%, respectively, to produce probability maps for the automatic analysis. The implementation results show that this automatic method can successfully detect and localize the human iPS cell formation, thereby yield a potential tool for helping iPS cell culture.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037747","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037747","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Spatiotemporal Joint Mitosis Detection Using CNN-LSTM Network in Time-Lapse Phase Contrast Microscopy Images","Y. T. Su; Y. Lu; M. Chen; A. A. Liu","School of Electrical and Information Engineering, Tianjin University, Tianjin 300072, China.","IEEE Access","","2017","PP","99","1","1","We present an approach to jointly detect mitotic events spatially and temporally in time-lapse phase contrast microscopy images. In particular, we combine a Convolutional Neural Network (CNN) and a Long Short Term Memory network (LSTM) to detect mitotic events in patch sequences. The CNN-LSTM network can be trained end-to-end to simultaneously learn convolutional features within each frame and temporal dynamics between frames, without hand-crafted visual or temporal feature design. Owing to the LSTM layer, this approach is able to detect mitotic events in patch sequences of variable length, as well as making use of longer context information among frames in the sequences. To the best of our knowledge, this is the first work to detect mitosis using deep learning in both spatial and temporal domains. Experiments have shown that the CNN-LSTM network can be trained efficiently, and we evaluate this design by applying the network to original raw microscopy image sequences to locate mitotic events both spatially and temporally. The data we validate the proposed method on include C3H10 mesenchymal and C2C12 myoblastic stem cell populations. Our approach achieved the F score of 98.72% on the C2C12 dataset, and the F score of 96.5% on the C3H10 dataset. The results on both datasets outperform traditional graph model based approaches by a large margin, both in terms of detection accuracy and frame localization accuracy. Furthermore, we have developed a framework to aid humans in annotating mitosis with high efficiency and accuracy in raw phase contrast microscopy images based on the joint detection results using the proposed method. Under this framework, expert level annotations can be obtained in raw phase contrast microscopy image sequences, and the annotations have shown to further improve the training performance of CNN-LSTM network.","","","10.1109/ACCESS.2017.2745544","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019789","biomedical imaging;computer vision;machine learning;mitosis detection;stem cell","Computer architecture;Feature extraction;Hidden Markov models;Machine learning;Microscopy;Spatiotemporal phenomena;Visualization","","","","","","","","","20170829","","","IEEE","IEEE Early Access Articles"
"An efficient method for neuronal tracking in electron microscopy images","L. Yin; C. Xiao; Q. Xie; X. Chen; L. Shen; H. Han","Computational Mathematics, Hubei University, Wuhan, 430062, China","2017 IEEE International Conference on Mechatronics and Automation (ICMA)","20170824","2017","","","1865","1870","With the introduction of deep learning, a wave of artificial intelligence research has been set off again. Scientists focus on brain-inspired intelligence, namely, try to get inspiration from the brain nervous system and cognitive behavior mechanism, to develop intelligent computing models as well as algorithms with stronger information representation, processing and learning ability. So, the study of neurons and the connections between neurons of brain are needed. One major obstacle of reconstruction lies in segmenting and tracking neuronal processes. Electron microscopy is producing neurons images rapidly. In response, we propose an efficient method for neuronal tracking in electron microscopy images to help scientists reconstruct complex neurons. First, we track neurons by kernelized correlation filter to get candidate neuron; then we calculate overlap area and distance of the contours between two consecutive images to get final neuron. We evaluate the performance of our method on a public electron microscopy dataset. The method is superior in accuracy and efficiency.","","CD:978-1-5090-6757-2; Electronic:978-1-5090-6759-6; POD:978-1-5090-6760-2; Paper:978-1-5090-6758-9","10.1109/ICMA.2017.8016102","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016102","3D reconstruction;correlation filters;electron microscopy;neuron;tracking","Correlation;Electron microscopy;Image segmentation;Neurons;Target tracking","","","","","","","","","","6-9 Aug. 2017","","IEEE","IEEE Conference Publications"
"MIMO-Net: A multi-input multi-output convolutional neural network for cell segmentation in fluorescence microscopy images","S. E. A. Raza; L. Cheung; D. Epstein; S. Pelengaris; M. Khan; N. M. Rajpoot","Department of Computer Science, University of Warwick, Coventry, UK","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","337","340","We propose a novel multiple-input multiple-output convolution neural network (MIMO-Net) for cell segmentation in fluorescence microscopy images. The proposed network trains the network parameters using multiple resolutions of the input image, connects the intermediate layers for better localization and context and generates the output using multi-resolution deconvolution filters. The MIMO-Net allows us to deal with variable intensity cell boundaries and highly variable cell size in the mouse pancreatic tissue by adding extra convolutional layers which bypass the max-pooling operation. The results show that our method outperforms state-of-the-art deep learning based approaches for segmentation.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950532","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950532","Cell Segmentation;Deep Learning;Fluorescence Microscopy","Biomembranes;Computer architecture;Convolution;Image segmentation;Machine learning;Microprocessors;Microscopy","biomedical optical imaging;fluorescence;image resolution;image segmentation;medical image processing;neural nets;optical microscopy","cell segmentation;deep learning based approaches;fluorescence microscopy images;mouse pancreatic tissue;multipleinput multipleoutput convolution neural network;multiresolution deconvolution filters;variable intensity cell boundaries","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Deep convolutional neural networks for detecting secondary structures in protein density maps from cryo-electron microscopy","R. Li; D. Si; T. Zeng; S. Ji; J. He","Department of Computer Science, Old Dominion University, Norfolk, Virginia 23529, United States of America","2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20170119","2016","","","41","46","The detection of secondary structure of proteins using three dimensional (3D) cryo-electron microscopy (cryo-EM) images is still a challenging task when the spatial resolution of cryo-EM images is at medium level (5-10Å). Prior researches focused on the usage of local features that may not capture the global information of image objects. In this study, we propose to use deep learning methods to extract high representative global features and then automatically detect secondary structures of proteins. In particular, we build a convolutional neural network (CNN) classifier that predicts the probability of label for every individual voxel in 3D cryo-EM image with respect to the secondary structure elements of proteins such as α-helix, β-sheet and background. To effectively incorporate the 3D spatial information in protein structures, we propose to perform 3D convolutions in the convolutional layers of CNNs. We show that the proposed CNN classifier can outperform existing SVM method on identifying the secondary structure elements of proteins from 3D cryo-EM medium resolution images.","","Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9","10.1109/BIBM.2016.7822490","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822490","","Computational modeling;Convolution;Deconvolution;Image resolution;Protein engineering;Proteins;Three-dimensional displays","biology computing;electron microscopy;feature extraction;image resolution;molecular biophysics;molecular configurations;neural nets;probability;proteins;support vector machines","α-helix;β-sheet;3D convolutions;3D cryo-EM image;3D spatial information;CNN classifier;SVM;convolutional layers;convolutional neural network classifier;deep convolutional neural networks;deep learning methods;high-representative global feature extraction;image objects;local features;probability;protein density maps;secondary structure detection;spatial resolution;three-dimensional cryo-electron microscopy images","","","","","","","","15-18 Dec. 2016","","IEEE","IEEE Conference Publications"
"[Title page i]","","","2016 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","20161219","2016","","","i","i","The following topics are dealt with: computer vision; vehicle technology; biometrics; egocentric vision; DeepVision; deep learning; biomedical image registration; large scale 3D data; satellite visual analysis; street imagery; face analysis workshop; embedded vision; computational cameras; differential geometry; machine learning; tracking performance evaluation; microscopy image analysis; moving cameras; video surveillance; body-borne cameras; context-based affect recognition; affective face in-the-wild and automatic traffic surveillance.","","Electronic:978-1-5090-1437-8; POD:978-1-5090-1438-5","10.1109/CVPRW.2016.1","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789491","","","cameras;computer vision;differential geometry;face recognition;geophysical image processing;image registration;learning (artificial intelligence);medical image processing;object tracking;traffic engineering computing;vehicles;video surveillance","DeepVision;affective face in-the-wild;automatic traffic surveillance;biomedical image registration;biometrics;body-borne cameras;computational cameras;computer vision;context-based affect recognition;deep learning;differential geometry;egocentric vision;embedded vision;face analysis workshop;large scale 3D data;machine learning;microscopy image analysis;moving cameras;satellite visual analysis;street imagery;tracking performance evaluation;vehicle technology;video surveillance","","","","","","","","June 26 2016-July 1 2016","","IEEE","IEEE Conference Publications"
"[Copyright notice]","","","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","1","1","The following topics are dealt with: brain CAD; cardiac imaging; fMRI analysis; image reconstruction; interventional imaging; microscopy imaging and reconstruction; musculo-skeletal imaging; retinal imaging; segmentation methods for microscopy images; modeling and simulation; brain segmentation; motion tracking; neuron image analysis; optical imaging; segmentation and quantification of biological images; tissue quantification; ultrasound; visualization; fast MR acquisition and reconstruction; structural brain connectivity; CT reconstruction; image analysis of neurons; perspectives on deep learning for biomedical and biological imaging and image analysis; shape analysis; imaging cellular processes; breast imaging; EEG; foetal imaging; histological image analysis; imaging genetics; and machine learning.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493196","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493196","","","biomedical MRI;biomedical optical imaging;biomedical ultrasonics;brain;cardiology;cellular biophysics;computerised tomography;eye;genetics;image reconstruction;image segmentation;learning (artificial intelligence);mammography;medical image processing;neurophysiology;optical microscopy","CT reconstruction;EEG;biological images;brain CAD;brain segmentation;breast imaging;cardiac imaging;cellular processes;deep learning;fMRI analysis;fast MR acquisition;fetal imaging;histology image analysis;image reconstruction;imaging genetics;interventional imaging;machine learning;microscopy imaging;microscopy reconstruction;motion tracking;musculo-skeletal imaging;neuron image analysis;optical imaging;retinal imaging;segmentation methods;shape analysis;structural brain connectivity;tissue quantification;ultrasound;visualization","","","","","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
