"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Ddeep+learning+healthcare",2017/09/18 11:30:43
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep learning for healthcare decision making with EMRs","Z. Liang; G. Zhang; J. X. Huang; Q. V. Hu","School of Information Technology, York University, Toronto, ON, M3J1P3, Canada","2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20150115","2014","","","556","559","Computer aid technology is widely applied in decision-making and outcome assessment of healthcare delivery, in which modeling knowledge and expert experience is technically important. However, the conventional rule-based models are incapable of capturing the underlying knowledge because they are incapable of simulating the complexity of human brains and highly rely on feature representation of problem domains. Thus we attempt to apply a deep model to overcome this weakness. The deep model can simulate the thinking procedure of human and combine feature representation and learning in a unified model. A modified version of convolutional deep belief networks is used as an effective training method for large-scale data sets. Then it is tested by two instances: a dataset on hypertension retrieved from a HIS system, and a dataset on Chinese medical diagnosis and treatment prescription from a manual converted electronic medical record (EMR) database. The experimental results indicate that the proposed deep model is able to reveal previously unknown concepts and performs much better than the conventional shallow models.","","Electronic:978-1-4799-5669-2; POD:978-1-4799-5670-8","10.1109/BIBM.2014.6999219","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6999219","deep belief network;deep learning;restricted Boltzmann machine;syndrome classification;unsupervised feature learning","Brain modeling;Data models;Hypertension;Medical diagnostic imaging;Support vector machines;Training","belief networks;brain;brain-computer interfaces;decision making;electronic health records;health care;patient diagnosis;patient treatment;unsupervised learning","Chinese medical diagnosis;Chinese medical treatment prescription;EMR database;HIS system;belief networks;computer aid technology;decision making;deep learning;electronic medical record database;feature representation;healthcare;human brains;shallow models;training method","","3","","18","","","","2-5 Nov. 2014","","IEEE","IEEE Conference Publications"
"Staged Inference using Conditional Deep Learning for energy efficient real-time smart diagnosis","M. Parsa; P. Panda; S. Sen; K. Roy","School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN 47907, USA","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","78","81","Recent progress in biosensor technology and wearable devices has created a formidable opportunity for remote healthcare monitoring systems as well as real-time diagnosis and disease prevention. The use of data mining techniques is indispensable for analysis of the large pool of data generated by the wearable devices. Deep learning is among the promising methods for analyzing such data for healthcare applications and disease diagnosis. However, the conventional deep neural networks are computationally intensive and it is impractical to use them in real-time diagnosis with low-powered on-body devices. We propose Staged Inference using Conditional Deep Learning (SICDL), as an energy efficient approach for creating healthcare monitoring systems. For smart diagnostics, we observe that all diagnoses are not equally challenging. The proposed approach thus decomposes the diagnoses into preliminary analysis (such as healthy vs unhealthy) and detailed analysis (such as identifying the specific type of cardio disease). The preliminary diagnosis is conducted real-time with a low complexity neural network realized on the resource-constrained on-body device. The detailed diagnosis requires a larger network that is implemented remotely in cloud and is conditionally activated only for detailed diagnosis (unhealthy individuals). We evaluated the proposed approach using available physiological sensor data from Physionet databases, and achieved 38% energy reduction in comparison to the conventional deep learning approach.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8036767","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036767","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Comparing deep neural network and other machine learning algorithms for stroke prediction in a large-scale population-based electronic medical claims database","C. Y. Hung; W. C. Chen; P. T. Lai; C. H. Lin; C. C. Lee","Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","3110","3113","Electronic medical claims (EMCs) can be used to accurately predict the occurrence of a variety of diseases, which can contribute to precise medical interventions. While there is a growing interest in the application of machine learning (ML) techniques to address clinical problems, the use of deep-learning in healthcare have just gained attention recently. Deep learning, such as deep neural network (DNN), has achieved impressive results in the areas of speech recognition, computer vision, and natural language processing in recent years. However, deep learning is often difficult to comprehend due to the complexities in its framework. Furthermore, this method has not yet been demonstrated to achieve a better performance comparing to other conventional ML algorithms in disease prediction tasks using EMCs. In this study, we utilize a large population-based EMC database of around 800,000 patients to compare DNN with three other ML approaches for predicting 5-year stroke occurrence. The result shows that DNN and gradient boosting decision tree (GBDT) can result in similarly high prediction accuracies that are better compared to logistic regression (LR) and support vector machine (SVM) approaches. Meanwhile, DNN achieves optimal results by using lesser amounts of patient data when comparing to GBDT method.","","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037515","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037515","","","","","","","","","","","","11-15 July 2017","","IEEE","IEEE Conference Publications"
"Oro Vision: Deep Learning for Classifying Orofacial Diseases","R. Anantharaman; V. Anantharaman; Y. Lee","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","39","45","This experiment is an attempt to apply deep learning techniques to orofacial image analysis. Health promotion is recognized as a viable approach to preventing diseases and disorders and promoting changes in health behaviors or practices. Each year, oral cancer kills more people in the US than does cervical cancer, malignant melanoma, or Hodgkin's disease. A first line of defense against oral diseases is an orofacial selfexamination. The goal of this experiment titled ""Oro Vision"" is to provide an assessment tool for field workers to perform initial examinations of orofacial diseases, using a camera enabled mobile phone. For this experiment, we chose to implement Oro Vision to detect mouth sores. The goal is to extend this model to identify several other Oral diseases such as Thrush, Leukoplakia, Lichenplanus, etc. One variety of mouth sore, referred to as the ""cold sore"" is highly contagious and an infected person can easily pass on the infection to another person just through skin to skin contact. ""Oro Vision"" is implemented as an HTML5 mobile responsive web app that can be accessed through any mobile or standard browser. Oro Vision uses deep learning to train a model and subsequently uses this trained model to distinguish a cold sore from a canker sore. In addition, an accurate diagnosis by a trained healthcare professional is required before any kind of treatment is discussed since several other conditions of the mouth including oral cancer may mimic canker sores.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.69","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031130","clarifai;deep learning;mouth sore;retrained inception","Cancer;Machine learning;Mobile communication;Mouth;Tools","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"Continuous Assessment of Children’s Emotional States Using Acoustic Analysis","Y. Gong; C. Poellabauer","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","171","178","Emotional and behavioral disorders (EBD) are a widespread healthcare concern in children and adolescents. Prevention and early intervention are the most powerful tools in ameliorating the problem, and therefore, timely and accurate detection of abnormal emotional patterns is of vital importance. In this paper, we propose a system that detects second-level emotional states of children using hour-level audio recordings. The proposed system consists of an audio segmentation and speaker tracking front-end along with an emotion recognition back-end. Supervised support vector machine is used in the front-end to improve its robustness to short and inconsistent child speech pattern and end-to-end deep learning is used in the emotion recognition back-end to improve its robustness to noise and segmentation error. We further demonstrate the potential of the proposed system as an automated emotion analysis tool.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.53","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031145","children emotion recognition;continuous emotion assessment;deep neural networks;emotional and behavioral disorders","Acoustics;Emotion recognition;Medical treatment;Pediatrics;Speaker recognition;Speech;Speech recognition","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"Visual FHIR: An Interactive Browser to Navigate HL7 FHIR Specification","N. Hong; K. Wang; L. Yao; G. Jiang","","2017 IEEE International Conference on Healthcare Informatics (ICHI)","20170914","2017","","","26","30","The HL7 Fast Healthcare Interoperability Resources (FHIR) specification is emerging as a next generation standards framework for the exchange of electronic health records (EHR) data. The rich semantic representation and sophisticated structure definition of the FHIR requires a relatively deep learning curve to understand and utilize. The objective of our study is to design and develop a user-friendly interface for navigating and manipulating the FHIR specification. We prototyped a visualization platform for interactively exploring FHIR core resources and profiles. We evaluated the utility of the FHIR visualization platform using the evaluation metrics mainly focusing on its usability, interactive mechanisms and content expressiveness. We demonstrated that the visualization techniques are helpful for navigating the HL7 FHIR specification and aiding its profiling.","","Electronic:978-1-5090-4881-6; POD:978-1-5090-4882-3","10.1109/ICHI.2017.54","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031128","HL7 FHIR;Interactive;Visualization;clinical data model","Browsers;Data models;Data visualization;Medical services;Navigation;Standards;Visualization","","","","","","","","","","23-26 Aug. 2017","","IEEE","IEEE Conference Publications"
"A Deep-Learning-Based Method of Estimating Water Intake","Y. Yamada; T. Saito; S. Kawasaki; D. Iketa; M. Katagiri; M. Nishimura; H. Mineno","","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","20170911","2017","02","","96","101","In Japan, which has become a very aged society, the increasing burden of nursing care is an issue. Services and systems related to automatic recording of healthcare management of elderly people have been proposed in order to reduce the burden of nursing care. Water intake is one of the items necessary for healthcare management of elderly people. However, it is not currently automated, which is a burden on caregivers. In the case of the conventional method, the swallowing sound is used for estimating the water intake. However, the estimation error for each subject is large. Accuracy of estimated water intake is improved by using deep learning. Specifically, three features, namely, mel frequency cepstral coefficient (MFCC), duration of water intake, and a RASTA filter auditory spectrum, are extracted from a subject's swallowing sound (which is thought to be highly correlated with water intake). A method of estimating water intake, which considers abstract features that are difficult for people to find, is proposed and verified. It is experimentally shown that RMSE of water intake estimated by the proposed method using deep learning is reduced compared with that estimated by conventional methods.","0730-3157;07303157","Electronic:978-1-5386-0367-3; POD:978-1-5386-0368-0","10.1109/COMPSAC.2017.14","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029900","deep learning;estimation;healthcare;water intake","Feature extraction;Hidden Markov models;Lungs;Machine learning;Medical services;Microphones;Senior citizens","","","","","","","","","","4-8 July 2017","","IEEE","IEEE Conference Publications"
"Classification of various daily behaviors using deep learning and smart watch","M. C. Kwon; M. Ju; S. Choi","Dept. of Secured Smart Electric Vehicle, Kookmin University, Seoul, Korea 02707","2017 Ninth International Conference on Ubiquitous and Future Networks (ICUFN)","20170727","2017","","","735","740","In traditional healthcare and therapy, human behavior has been classified into only two categories: specific behavior and active behavior. As internet of things and wearable devices become popular, however, it is necessary to classify human behavior into more various categories for providing useful services. In this paper, we propose a novel classification scheme that classifies human behavior into 11 different categories including active and inactive activities in daily life. We collect data with smart watch and use deep learning model with a neural network for the classification. Extensive evaluation shows that various daily human behavior can be classified with 99.24% accuracy, and that the classification of human behavior can be used for various services.","","Electronic:978-1-5090-4749-9; POD:978-1-5090-4750-5; USB:978-1-5090-4748-2","10.1109/ICUFN.2017.7993888","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7993888","classification;deep learning;human behavior;internet of things;smart watch","Acceleration;Feature extraction;Games;Intelligent sensors;Machine learning;Medical services","Internet of Things;behavioural sciences computing;medical computing;neural nets;patient monitoring;patient treatment;pattern classification;wearable computers","Internet of things;active behavior;classification scheme;daily behaviors classification;daily life;deep learning;healthcare;human behavior;inactive activities;neural network;smart watch;specific behavior;therapy;wearable devices","","","","","","","","4-7 July 2017","","IEEE","IEEE Conference Publications"
"Deep Features Learning for Medical Image Analysis with Convolutional Autoencoder Neural Network","M. Chen; X. Shi; Y. Zhang; D. Wu; M. Guizani","School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, HuBei China (e-mail: minchen@ieee.org)","IEEE Transactions on Big Data","","2017","PP","99","1","1","At present, computed tomography (CT) are widely used to assist diagnosis. Especially, computer aided diagnosis (CAD) based on artificial intelligence (AI) is an extremely important research field in intelligent healthcare. However, it is a great challenge to establish an adequate labeled dataset for CT analysis assistance, due to the privacy and security issues. Therefore, this paper proposes a convolutional autoencoder deep learning framework to support unsupervised image features learning for lung nodule through unlabeled data, which only needs a small amount of labeled data for efficient feature learning. Through comprehensive experiments, it evaluates that the proposed scheme is superior to other approaches, which effectively solves the intrinsic labor-intensive problem during of artificial image labeling. Moreover, it verifies that the proposed convolutional autoencoder approach can be extended for similarity measurement of lung nodules images. Especially, the features extracted through unsupervised learning are also applicable in other related scenarios.","","","10.1109/TBDATA.2017.2717439","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7954012","Convolutional autoencoder neural network;Feature learning;Hand-craft feature;Lung nodule;Unsupervised learning","Biomedical imaging;Computed tomography;Convolutional codes;Feature extraction;Image analysis;Lungs;Training","","","","","","","","","20170620","","","IEEE","IEEE Early Access Articles"
"Automated 5-year mortality prediction using deep learning and radiomics features from chest computed tomography","G. Carneiro; L. Oakden-Rayner; A. P. Bradley; J. Nascimento; L. Palmer","Australian Centre for Visual Technologies, The University of Adelaide, Australia","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","130","134","In this paper, we propose new prognostic methods that predict 5-year mortality in elderly individuals using chest computed tomography (CT). The methods consist of a classifier that performs this prediction using a set of features extracted from the CT image and segmentation maps of multiple anatomic structures. We explore two approaches: 1) a unified framework based on two state-of-the-art deep learning models extended to 3-D inputs, where features and classifier are automatically learned in a single optimisation process; and 2) a multi-stage framework based on the design and selection and extraction of hand-crafted radiomics features, followed by the classifier learning process. Experimental results, based on a dataset of 48 annotated chest CTs, show that the deep learning models produces a mean 5-year mortality prediction AUC in [68.8%,69.8%] and accuracy in [64.5%,66.5%], while radiomics produces a mean AUC of 64.6% and accuracy of 64.6%. The successful development of the proposed models has the potential to make a profound impact in preventive and personalised healthcare.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950485","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950485","computed tomography;deep learning;feature learning;five-year mortality;hand-designed features;radiomics","Biomedical imaging;Computed tomography;Fats;Feature extraction;Image segmentation;Machine learning;Training","computerised tomography;feature extraction;geriatrics;health care;image classification;image segmentation;learning (artificial intelligence);medical image processing;optimisation","3-D inputs;CT image;annotated chest CT;automated 5-year mortality prediction;chest computed tomography;classifier learning process;deep learning models;elderly individuals;feature extraction;hand-crafted radiomics features;mean 5-year mortality prediction AUC;multiple anatomic structures;multistage framework;personalised healthcare;preventive healthcare;prognostic methods;segmentation maps;single optimisation process;unified framework","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
