Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties,abstract,email,keywords,fullURL,source,year,key,use
deepbipolar: identifying genomic mutations for bipolar disorder via deep learning,/pubmed/28600868,"Laksshman S, Bhat RR, Viswanath V, Li X.",Hum Mutat. 2017 Sep;38(9):1217-1224. doi: 10.1002/humu.23272. Epub 2017 Aug 1.,Hum Mutat.  2017,PubMed,citation,PMID:28600868,pubmed,28600868,create date:2017/06/11 | first author:Laksshman S,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Bipolar disorder, also known as manic depression, is a brain disorder that affects the brain structure of a patient. It results in extreme mood swings, severe states of depression, and overexcitement simultaneously. It is estimated that roughly 3% of the population of the United States (about 5.3 million adults) suffers from bipolar disorder. Recent research efforts like the Twin studies have demonstrated a high heritability factor for the disorder, making genomics a viable alternative for detecting and treating bipolar disorder, in addition to the conventional lengthy and costly postsymptom clinical diagnosis. Motivated by this study, leveraging several emerging deep learning algorithms, we design an end-to-end deep learning architecture (called DeepBipolar) to predict bipolar disorder based on limited genomic data. DeepBipolar adopts the Deep Convolutional Neural Network (DCNN) architecture that automatically extracts features from genotype information to predict the bipolar phenotype. We participated in the Critical Assessment of Genome Interpretation (CAGI) bipolar disorder challenge and DeepBipolar was considered the most successful by the independent assessor. In this work, we thoroughly evaluate the performance of DeepBipolar and analyze the type of signals we believe could have affected the classifier in distinguishing the case samples from the control set.</abstracttext></p><p class='copyright'>© 2017 Wiley Periodicals, Inc.</p></div></div>",,bipolar disorder; convolutional neural network; deep learning; exome single-nucleotide polymorphisms analysis,https://www.ncbi.nlm.nih.gov//pubmed/28600868,pubmed,2017,c3510786-340b-45d7-9272-eee0c8960971,1
"deep learning for healthcare: review, opportunities and challenges",/pubmed/28481991,"Miotto R, Wang F, Wang S, Jiang X, Dudley JT.",Brief Bioinform. 2017 May 6. doi: 10.1093/bib/bbx044. [Epub ahead of print],Brief Bioinform.  2017,PubMed,citation,PMID:28481991,pubmed,28481991,create date:2017/05/10 | first author:Miotto R,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Gaining knowledge and actionable insights from complex, high-dimensional and heterogeneous biomedical data remains a key challenge in transforming health care. Various types of data have been emerging in modern biomedical research, including electronic health records, imaging, -omics, sensor data and text, which are complex, heterogeneous, poorly annotated and generally unstructured. Traditional data mining and statistical learning approaches typically need to first perform feature engineering to obtain effective and more robust features from those data, and then build prediction or clustering models on top of them. There are lots of challenges on both steps in a scenario of complicated data and lacking of sufficient domain knowledge. The latest advances in deep learning technologies provide new effective paradigms to obtain end-to-end learning models from complex data. In this article, we review the recent literature on applying deep learning technologies to advance the health care domain. Based on the analyzed work, we suggest that deep learning approaches could be the vehicle for translating big biomedical data into improved human health. However, we also note limitations and needs for improved methods development and applications, especially in terms of ease-of-understanding for domain experts and citizen scientists. We discuss such challenges and suggest developing holistic and meaningful interpretable architectures to bridge deep learning models and human interpretability.</abstracttext></p><p class='copyright'>© The Author 2017. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com.</p></div></div>",,biomedical informatics; deep learning; electronic health records; genomics; health care; translational bioinformatics,https://www.ncbi.nlm.nih.gov//pubmed/28481991,pubmed,2017,bae357bb-3bec-43da-8cc4-5095bc4d9bbe,1
hla class i binding prediction via convolutional neural networks,/pubmed/28444127,"Vang YS, Xie X.",Bioinformatics. 2017 Sep 1;33(17):2658-2665. doi: 10.1093/bioinformatics/btx264.,Bioinformatics.  2017,PubMed,citation,PMID:28444127,pubmed,28444127,create date:2017/04/27 | first author:Vang YS,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>Motivation: </h4><p><abstracttext label='Motivation' nlmcategory='UNASSIGNED'>Many biological processes are governed by protein-ligand interactions. One such example is the recognition of self and non-self cells by the immune system. This immune response process is regulated by the major histocompatibility complex (MHC) protein which is encoded by the human leukocyte antigen (HLA) complex. Understanding the binding potential between MHC and peptides can lead to the design of more potent, peptide-based vaccines and immunotherapies for infectious autoimmune diseases.</abstracttext></p><h4>Results: </h4><p><abstracttext label='Results' nlmcategory='UNASSIGNED'>We apply machine learning techniques from the natural language processing (NLP) domain to address the task of MHC-peptide binding prediction. More specifically, we introduce a new distributed representation of amino acids, name HLA-Vec, that can be used for a variety of downstream proteomic machine learning tasks. We then propose a deep convolutional neural network architecture, name HLA-CNN, for the task of HLA class I-peptide binding prediction. Experimental results show combining the new distributed representation with our HLA-CNN architecture achieves state-of-the-art results in the majority of the latest two Immune Epitope Database (IEDB) weekly automated benchmark datasets. We further apply our model to predict binding on the human genome and identify 15 genes with potential for self binding.</abstracttext></p><h4>Availability and Implementation: </h4><p><abstracttext label='Availability and Implementation' nlmcategory='UNASSIGNED'>Codes to generate the HLA-Vec and HLA-CNN are publicly available at: https://github.com/uci-cbcl/HLA-bind .</abstracttext></p><h4>Contact: </h4><p><abstracttext label='Contact' nlmcategory='UNASSIGNED'>xhx@ics.uci.edu.</abstracttext></p><h4>Supplementary information: </h4><p><abstracttext label='Supplementary information' nlmcategory='UNASSIGNED'>Supplementary data are available at Bioinformatics online.</abstracttext></p></div></div>",,,https://www.ncbi.nlm.nih.gov//pubmed/28444127,pubmed,2017,de37062a-9cfd-460b-9c90-e94689fefd04,1
deepcpg: accurate prediction of single-cell dna methylation states using deep learning,/pubmed/28395661,"Angermueller C, Lee HJ, Reik W, Stegle O.",Genome Biol. 2017 Apr 11;18(1):67. doi: 10.1186/s13059-017-1189-z. Erratum in: Genome Biol. 2017 May 12;18(1):90. ,Genome Biol.  2017,PubMed,citation,PMID:28395661 | PMCID:PMC5387360,pubmed,28395661,create date:2017/04/12 | first author:Angermueller C,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Recent technological advances have enabled DNA methylation to be assayed at single-cell resolution. However, current protocols are limited by incomplete CpG coverage and hence methods to predict missing methylation states are critical to enable genome-wide analyses. We report DeepCpG, a computational approach based on deep neural networks to predict methylation states in single cells. We evaluate DeepCpG on single-cell methylation data from five cell types generated using alternative sequencing protocols. DeepCpG yields substantially more accurate predictions than previous methods. Additionally, we show that the model parameters can be interpreted, thereby providing insights into how sequence composition affects methylation variability.</abstracttext></p></div></div>",cangermueller@ebi.ac.uk,Artificial neural network; DNA methylation; Deep learning; Epigenetics; Machine learning; Single-cell genomics,https://www.ncbi.nlm.nih.gov//pubmed/28395661,pubmed,2017,bb3fc9dd-5fc2-4cd5-9173-485ab5481c7e,1
a multi-resolution approach for spinal metastasis detection using deep siamese neural networks,/pubmed/28364643,"Wang J, Fang Z, Lang N, Yuan H, Su MY, Baldi P.",Comput Biol Med. 2017 May 1;84:137-146. doi: 10.1016/j.compbiomed.2017.03.024. Epub 2017 Mar 27.,Comput Biol Med.  2017,PubMed,citation,PMID:28364643,pubmed,28364643,create date:2017/04/02 | first author:Wang J,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Spinal metastasis, a metastatic cancer of the spine, is the most common malignant disease in the spine. In this study, we investigate the feasibility of automated spinal metastasis detection in magnetic resonance imaging (MRI) by using deep learning methods. To accommodate the large variability in metastatic lesion sizes, we develop a Siamese deep neural network approach comprising three identical subnetworks for multi-resolution analysis and detection of spinal metastasis. At each location of interest, three image patches at three different resolutions are extracted and used as the input to the networks. To further reduce the false positives (FPs), we leverage the similarity between neighboring MRI slices, and adopt a weighted averaging strategy to aggregate the results obtained by the Siamese neural networks. The detection performance is evaluated on a set of 26 cases using a free-response receiver operating characteristic (FROC) analysis. The results show that the proposed approach correctly detects all the spinal metastatic lesions while producing only 0.40 FPs per case. At a true positive (TP) rate of 90%, the use of the aggregation reduces the FPs from 0.375 FPs per case to 0.207 FPs per case, a nearly 44.8% reduction. The results indicate that the proposed Siamese neural network method, combined with the aggregation strategy, provide a viable strategy for the automated detection of spinal metastasis in MRI images.</abstracttext></p><p class='copyright'>Copyright © 2017 Elsevier Ltd. All rights reserved.</p></div></div>",pfbaldi@ics.uci.edu,Deep learning; Magnetic resonance imaging; Multi-resolution analysis; Siamese neural network; Spinal metastasis,https://www.ncbi.nlm.nih.gov//pubmed/28364643,pubmed,2017,f89cadf5-b09a-4213-8416-ae8448aec9bb,1
sequence-specific bias correction for rna-seq data using recurrent neural networks,/pubmed/28198674,"Zhang YZ, Yamaguchi R, Imoto S, Miyano S.",BMC Genomics. 2017 Jan 25;18(Suppl 1):1044. doi: 10.1186/s12864-016-3262-5.,BMC Genomics.  2017,PubMed,citation,PMID:28198674 | PMCID:PMC5310274,pubmed,28198674,create date:2017/02/16 | first author:Zhang YZ,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>The recent success of deep learning techniques in machine learning and artificial intelligence has stimulated a great deal of interest among bioinformaticians, who now wish to bring the power of deep learning to bare on a host of bioinformatical problems. Deep learning is ideally suited for biological problems that require automatic or hierarchical feature representation for biological data when prior knowledge is limited. In this work, we address the sequence-specific bias correction problem for RNA-seq data redusing Recurrent Neural Networks (RNNs) to model nucleotide sequences without pre-determining sequence structures. The sequence-specific bias of a read is then calculated based on the sequence probabilities estimated by RNNs, and used in the estimation of gene abundance.</abstracttext></p><h4>RESULT: </h4><p><abstracttext label='RESULT' nlmcategory='RESULTS'>We explore the application of two popular RNN recurrent units for this task and demonstrate that RNN-based approaches provide a flexible way to model nucleotide sequences without knowledge of predetermined sequence structures. Our experiments show that training a RNN-based nucleotide sequence model is efficient and RNN-based bias correction methods compare well with the-state-of-the-art sequence-specific bias correction method on the commonly used MAQC-III data set.</abstracttext></p><h4>CONCLUSTIONS: </h4><p><abstracttext label='CONCLUSTIONS' nlmcategory='UNASSIGNED'>RNNs provides an alternative and flexible way to calculate sequence-specific bias without explicitly pre-determining sequence structures.</abstracttext></p></div></div>",miyano@ims.u-tokyo.ac.jp,Gene expression analysis; RNA-seq; Recurrent neural network; Sequence-specific bias,https://www.ncbi.nlm.nih.gov//pubmed/28198674,pubmed,2017,83147fad-3d7b-4cdc-a52a-75e0717553d7,1
deep artificial neural networks and neuromorphic chips for big data analysis: pharmaceutical and bioinformatics applications,/pubmed/27529225,"Pastur-Romay LA, Cedrón F, Pazos A, Porto-Pazos AB.",Int J Mol Sci. 2016 Aug 11;17(8). pii: E1313. doi: 10.3390/ijms17081313. Review.,Int J Mol Sci.  2016,PubMed,citation,PMID:27529225 | PMCID:PMC5000710,pubmed,27529225,create date:2016/08/17 | first author:Pastur-Romay LA,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Over the past decade, Deep Artificial Neural Networks (DNNs) have become the state-of-the-art algorithms in Machine Learning (ML), speech recognition, computer vision, natural language processing and many other tasks. This was made possible by the advancement in Big Data, Deep Learning (DL) and drastically increased chip processing abilities, especially general-purpose graphical processing units (GPGPUs). All this has created a growing interest in making the most of the potential offered by DNNs in almost every field. An overview of the main architectures of DNNs, and their usefulness in Pharmacology and Bioinformatics are presented in this work. The featured applications are: drug design, virtual screening (VS), Quantitative Structure-Activity Relationship (QSAR) research, protein structure prediction and genomics (and other omics) data mining. The future need of neuromorphic hardware for DNNs is also discussed, and the two most advanced chips are reviewed: IBM TrueNorth and SpiNNaker. In addition, this review points out the importance of considering not only neurons, as DNNs and neuromorphic chips should also include glial cells, given the proven importance of astrocytes, a type of glial cell which contributes to information processing in the brain. The Deep Artificial Neuron-Astrocyte Networks (DANAN) could overcome the difficulties in architecture design, learning process and scalability of the current ML methods. </abstracttext></p></div></div>",pastur90@gmail.com,Quantitative Structure–Activity Relationship; artificial neural networks; artificial neuron–astrocyte networks; big data; deep learning; drug design; genomic medicine; neuromorphic chips; protein structure prediction; tripartite synapses,https://www.ncbi.nlm.nih.gov//pubmed/27529225,pubmed,2016,9098a849-e62a-450c-9c1d-6ea296fb6830,1
cgbvs-dnn: prediction of compound-protein interactions based on deep learning,/pubmed/27515489,"Hamanaka M, Taneishi K, Iwata H, Ye J, Pei J, Hou J, Okuno Y.",Mol Inform. 2017 Jan;36(1-2). doi: 10.1002/minf.201600045. Epub 2016 Aug 12.,Mol Inform.  2017,PubMed,citation,PMID:27515489,pubmed,27515489,create date:2016/08/16 | first author:Hamanaka M,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Computational prediction of compound-protein interactions (CPIs) is of great importance for drug design as the first step in in-silico screening. We previously proposed chemical genomics-based virtual screening (CGBVS), which predicts CPIs by using a support vector machine (SVM). However, the CGBVS has problems when training using more than a million datasets of CPIs since SVMs require an exponential increase in the calculation time and computer memory. To solve this problem, we propose the CGBVS-DNN, in which we use deep neural networks, a kind of deep learning technique, instead of the SVM. Deep learning does not require learning all input data at once because the network can be trained with small mini-batches. Experimental results show that the CGBVS-DNN outperformed the original CGBVS with a quarter million CPIs. Results of cross-validation show that the accuracy of the CGBVS-DNN reaches up to 98.2 % (σ&lt;0.01) with 4 million CPIs.</abstracttext></p><p class='copyright'>© 2017 Wiley-VCH Verlag GmbH &amp; Co. KGaA, Weinheim.</p></div></div>",,chemical genomics-based virtual screening (cgbvs); compound-protein interactions (cpis); deep learning; in-silico screening; support vector machine,https://www.ncbi.nlm.nih.gov//pubmed/27515489,pubmed,2017,71b68fb4-caf0-4c6a-a4e2-2dbbbdce52dd,1
dl-adr: a novel deep learning model for classifying genomic variants into adverse drug reactions,/pubmed/27510822,"Liang Z, Huang JX, Zeng X, Zhang G.",BMC Med Genomics. 2016 Aug 10;9 Suppl 2:48. doi: 10.1186/s12920-016-0207-4.,BMC Med Genomics.  2016,PubMed,citation,PMID:27510822 | PMCID:PMC4980789,pubmed,27510822,create date:2016/08/12 | first author:Liang Z,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>Genomic variations are associated with the metabolism and the occurrence of adverse reactions of many therapeutic agents. The polymorphisms on over 2000 locations of cytochrome P450 enzymes (CYP) due to many factors such as ethnicity, mutations, and inheritance attribute to the diversity of response and side effects of various drugs. The associations of the single nucleotide polymorphisms (SNPs), the internal pharmacokinetic patterns and the vulnerability of specific adverse reactions become one of the research interests of pharmacogenomics. The conventional genomewide association studies (GWAS) mainly focuses on the relation of single or multiple SNPs to a specific risk factors which are a one-to-many relation. However, there are no robust methods to establish a many-to-many network which can combine the direct and indirect associations between multiple SNPs and a serial of events (e.g. adverse reactions, metabolic patterns, prognostic factors etc.). In this paper, we present a novel deep learning model based on generative stochastic networks and hidden Markov chain to classify the observed samples with SNPs on five loci of two genes (CYP2D6 and CYP1A2) respectively to the vulnerable population of 14 types of adverse reactions.</abstracttext></p><h4>METHODS: </h4><p><abstracttext label='METHODS' nlmcategory='METHODS'>A supervised deep learning model is proposed in this study. The revised generative stochastic networks (GSN) model with transited by the hidden Markov chain is used. The data of the training set are collected from clinical observation. The training set is composed of 83 observations of blood samples with the genotypes respectively on CYP2D6*2, *10, *14 and CYP1A2*1C, *1 F. The samples are genotyped by the polymerase chain reaction (PCR) method. A hidden Markov chain is used as the transition operator to simulate the probabilistic distribution. The model can perform learning at lower cost compared to the conventional maximal likelihood method because the transition distribution is conditional on the previous state of the hidden Markov chain. A least square loss (LASSO) algorithm and a k-Nearest Neighbors (kNN) algorithm are used as the baselines for comparison and to evaluate the performance of our proposed deep learning model.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>There are 53 adverse reactions reported during the observation. They are assigned to 14 categories. In the comparison of classification accuracy, the deep learning model shows superiority over the LASSO and kNN model with a rate over 80 %. In the comparison of reliability, the deep learning model shows the best stability among the three models.</abstracttext></p><h4>CONCLUSIONS: </h4><p><abstracttext label='CONCLUSIONS' nlmcategory='CONCLUSIONS'>Machine learning provides a new method to explore the complex associations among genomic variations and multiple events in pharmacogenomics studies. The new deep learning algorithm is capable of classifying various SNPs to the corresponding adverse reactions. We expect that as more genomic variations are added as features and more observations are made, the deep learning model can improve its performance and can act as a black-box but reliable verifier for other GWAS studies.</abstracttext></p></div></div>",jhuang@yorku.ca,Adverse drug reaction; Deep learning; Genomewide association study; Pharmacogenomics; Single nucleotide polymorphisms,https://www.ncbi.nlm.nih.gov//pubmed/27510822,pubmed,2016,dd4a641b-39ff-4f3e-8265-be740acf420f,1
ipminer: hidden ncrna-protein interaction sequential pattern mining with stacked autoencoder for accurate computational prediction,/pubmed/27506469,"Pan X, Fan YX, Yan J, Shen HB.",BMC Genomics. 2016 Aug 9;17:582. doi: 10.1186/s12864-016-2931-8.,BMC Genomics.  2016,PubMed,citation,PMID:27506469 | PMCID:PMC4979166,pubmed,27506469,create date:2016/08/11 | first author:Pan X,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>Non-coding RNAs (ncRNAs) play crucial roles in many biological processes, such as post-transcription of gene regulation. ncRNAs mainly function through interaction with RNA binding proteins (RBPs). To understand the function of a ncRNA, a fundamental step is to identify which protein is involved into its interaction. Therefore it is promising to computationally predict RBPs, where the major challenge is that the interaction pattern or motif is difficult to be found.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>In this study, we propose a computational method IPMiner (Interaction Pattern Miner) to predict ncRNA-protein interactions from sequences, which makes use of deep learning and further improves its performance using stacked ensembling. One of the IPMiner's typical merits is that it is able to mine the hidden sequential interaction patterns from sequence composition features of protein and RNA sequences using stacked autoencoder, and then the learned hidden features are fed into random forest models. Finally, stacked ensembling is used to integrate different predictors to further improve the prediction performance. The experimental results indicate that IPMiner achieves superior performance on the tested lncRNA-protein interaction dataset with an accuracy of 0.891, sensitivity of 0.939, specificity of 0.831, precision of 0.945 and Matthews correlation coefficient of 0.784, respectively. We further comprehensively investigate IPMiner on other RNA-protein interaction datasets, which yields better performance than the state-of-the-art methods, and the performance has an increase of over 20 % on some tested benchmarked datasets. In addition, we further apply IPMiner for large-scale prediction of ncRNA-protein network, that achieves promising prediction performance.</abstracttext></p><h4>CONCLUSION: </h4><p><abstracttext label='CONCLUSION' nlmcategory='CONCLUSIONS'>By integrating deep neural network and stacked ensembling, from simple sequence composition features, IPMiner can automatically learn high-level abstraction features, which had strong discriminant ability for RNA-protein detection. IPMiner achieved high performance on our constructed lncRNA-protein benchmark dataset and other RNA-protein datasets. IPMiner tool is available at http://www.csbio.sjtu.edu.cn/bioinf/IPMiner .</abstracttext></p></div></div>",hbshen@sjtu.edu.cn,Deep learning; Stacked ensembing; ncRNA; ncRNA-protein,https://www.ncbi.nlm.nih.gov//pubmed/27506469,pubmed,2016,5df1da58-bc44-432d-9cf3-beb24cab99d2,1
